0,1,2,3,4,5,6,7
-4.2994714,-1.1453093,1.4332354,-5.58511,2.518746,3.5774794,10.80891,0.10681052
5.366415,6.9978485,-0.5082841,-4.738107,-0.12443345,7.1614776,2.3901482,3.4696925
-4.152321,-1.0976481,-2.596803,-6.7569823,2.5511625,4.4583135,10.779568,0.5963196
3.4550405,8.800905,0.060022198,-1.7444525,-0.16274914,6.8227267,3.4284873,5.470861
0.2764016,1.1012414,-0.08243792,-13.867257,3.4432282,1.2798338,0.45660004,1.28336
4.164847,8.0421715,1.4758431,-2.6389332,-4.1237164,7.7861342,2.9327362,2.7874913
0.18804964,0.8726702,1.192712,-5.3185625,3.6418467,4.1021557,10.544717,6.2446547
2.245436,5.1716413,1.6110638,-2.3639212,2.381299,15.862386,10.704593,1.7640884
5.673821,8.520118,6.924986,-0.2732253,5.634134,5.5214095,5.46222,1.4153023
3.48451,0.2109384,5.3167543,2.4049087,-3.3830757,4.7896895,-1.2546982,5.5607185
5.1882005,8.4540415,2.9764707,-2.892632,9.271877,8.4723835,11.418962,2.7402167
7.140333,2.2524123,-2.1657727,-3.0466444,-1.746116,1.099466,5.077325,-3.7975993
0.9302673,2.4067554,1.6171062,0.36416256,0.07144148,13.280752,-8.1395645,2.2295954
4.997106,-0.07301262,0.28881127,-0.41042358,3.3855743,12.076178,-3.7237315,1.4296361
1.9044751,-5.2153993,-1.1262171,1.1163896,-4.857767,3.6122785,10.64115,0.54852146
1.5818634,10.941664,3.4895282,-4.4938545,5.610876,8.808787,2.9165375,4.904589
-5.834506,-0.13362396,0.31266856,-5.2051544,9.82608,-3.0829072,5.4156604,-0.7727848
-3.4705932,-2.0690951,0.19035056,-9.918753,5.1852384,0.027291892,6.6687584,-1.5752316
-0.055759992,-0.4527615,0.23766065,-6.724645,9.575228,-2.211635,4.4021864,2.1010861
-3.3191721,1.442933,0.5314135,-5.9234824,7.9206886,-4.760643,6.57308,-3.9979568
4.4297433,4.2509694,-0.009185417,-9.599891,2.1215308,-2.5702834,10.449147,0.7257719
2.3910723,3.3550382,-1.0482252,-10.541507,4.6811576,-0.994098,13.318637,1.1626973
0.85781395,3.3497787,-0.2756314,-11.519895,3.9551198,-2.2924836,9.1066675,1.3456448
2.5543003,4.237475,-1.5406806,-9.936023,3.8610718,-1.1583841,11.116511,-2.8684647
0.6603837,6.17934,-4.0567436,-7.1434927,2.5322132,-1.9076803,10.725172,1.6414431
1.3260672,6.717684,-0.35768417,-11.328311,1.8625525,0.5311623,11.025455,1.3799835
1.423843,6.352815,-2.7889569,-6.9711747,4.6655965,-5.630545,10.434097,0.8730163
2.4704604,2.687171,-0.56931967,-12.602781,0.4294398,2.3449168,11.138614,1.5853847
-0.98456717,6.9635715,-0.33545437,-6.7558026,3.2111247,-2.844761,11.763153,0.35116532
1.7062757,3.031897,0.647925,-16.055988,2.6969094,2.6698377,9.872663,0.7487161
0.05015868,11.442772,4.7414074,-0.9418132,5.112559,6.459083,3.273619,4.744913
0.41539472,-1.0739655,6.108469,0.6159694,-0.28805175,3.0833054,0.32487988,1.1994135
-1.9454349,4.819211,-0.42224884,1.1950438,7.4753933,4.558489,4.671062,0.2908471
-3.8771465,0.015431537,-3.2819002,0.84388363,-4.740462,7.067368,-0.2840776,5.4385195
4.8330407,7.0678473,-3.0337248,1.1744343,7.752617,0.88368315,0.45965523,0.9394608
-3.429568,-0.7985577,4.461975,-1.9511918,0.8475468,4.504965,6.593507,7.3678265
7.931015,3.4253232,-2.8420064,2.6919463,2.7679946,-1.720786,5.077781,-2.4422238
-4.2198696,-5.621102,1.0193753,1.4970628,-4.3990736,-4.903088,9.524797,-2.3885128
8.695357,3.4737904,-0.6874888,0.21856618,3.3597062,-3.7121134,4.5721774,-3.7983606
1.366037,0.96747434,0.6485692,-3.1932454,-7.79528,3.4287858,12.247206,1.1744236
6.883187,-5.7812295,3.2395725,-1.2461439,0.32747996,2.1147597,6.4028444,2.456166
4.1406145,6.824016,0.5696855,-1.1075068,-5.3168592,4.5777426,11.498053,-2.7644832
7.587473,7.041309,0.5815747,1.5353311,4.5557947,3.2610357,-10.939428,0.97694594
1.8311136,4.8099403,5.477371,-0.2438897,2.5036874,14.035864,9.499687,1.9229112
