0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-0.20313844,1.2633016,2.30397,2.5509398,-2.031642,-4.8290915,0.32301223,0.009755671,-0.7978155,-0.3522102,1.2045631,-0.020417487,0.110911496,-0.24072763,0.32648706,0.25493056,0.42629564,-0.4210238
-1.1717409,0.046183735,-1.5348041,1.5586329,-1.6946939,-2.6829493,0.43614984,-5.4537616,-0.7266123,-1.8315995,-2.3558116,-0.029427247,-0.49390653,-6.123424,2.8526676,-0.3697633,-1.6232245,-0.90731966
0.0047210385,0.8995327,0.61700815,2.973961,-0.07043277,-4.868029,2.3784494,-0.23733053,-0.92561215,0.8177576,1.462924,0.13650641,0.05530358,-0.8125799,0.62448967,0.3704845,-2.3142405,-0.30693722
-1.1094072,0.87609977,-2.1145627,1.5898029,-1.8481362,-2.715222,0.2784113,-1.5385852,0.5796196,-2.1753805,-2.5935545,-0.11286446,-0.4587722,-8.008456,3.3057413,0.19775906,-1.6214254,-1.1519128
-0.5493257,-2.3054128,4.410822,1.2350422,-2.3960123,-4.614402,-0.047404125,-0.37574443,0.4328305,0.8084405,-0.16063872,0.06692842,-0.09519529,0.87028015,0.7232642,-0.86383957,-4.5016847,-1.2631577
-1.2851595,1.3802451,-1.4242469,1.5107573,-1.684605,-2.440277,-0.81462383,-2.7643995,-1.9510326,-5.0861006,-1.9442959,-0.09009067,0.14623466,-5.6577926,2.8467894,0.5782554,-1.5919551,-2.1670587
-1.2050573,1.1787841,0.104417704,1.1813242,-2.9768589,-4.48153,4.8382654,-3.7609177,-1.2429003,-0.4791558,-3.9011905,-0.22303303,0.33869746,-3.3885,3.005647,0.23082542,-2.6446276,-3.602096
-1.2912904,4.211711,-0.47732878,2.558369,-2.7554104,-4.117992,1.7585173,-7.5317073,-4.1142764,1.026756,-9.632146,-0.13822933,0.3645827,-7.612901,3.533995,1.4357218,-2.4619737,-1.4986646
-0.40970188,0.85355556,-4.2715693,2.272293,-2.5490901,-3.8472464,4.988676,-1.6041613,-2.7741914,-0.120708875,-2.2332246,-0.06485062,0.7268655,-8.327996,1.0376077,-0.27765962,-2.2628932,-0.499654
-0.18267757,1.2675947,-0.23812011,-0.12824857,-0.03088463,0.8561004,-1.0526056,-2.6659293,-0.18686347,2.1372588,-3.2041664,-0.07169714,0.38639387,-1.9229715,0.6176963,0.6005485,-1.4725639,-1.4107232
-1.7794232,4.177466,-2.76035,5.685126,-6.1106253,-8.839942,5.8722215,-3.1501327,-3.995268,-0.71772677,-5.3358727,0.07223397,0.43115467,-7.948752,1.8524488,1.1750791,-4.375389,-2.1434236
0.044193666,4.066796,0.30180192,2.1685445,-0.6857787,-1.3396925,2.460512,-0.3138204,0.5598108,1.1741655,-1.8231072,0.05162473,-0.05116507,-0.39366972,0.1956514,0.019345293,-1.2974056,0.20604484
-0.38979262,1.613718,-1.5420603,-4.662801,2.1222465,2.655276,-0.8632093,-1.8397378,-1.6323789,-0.5158319,-2.6951716,-0.05041986,0.20781526,-4.8089514,2.5876653,0.4893178,1.2450006,-0.4497873
-0.5089886,0.29258406,-0.7270043,0.14472471,0.10005954,1.6781981,-3.2032409,-3.2708538,-1.8239777,0.15976967,-5.759018,-0.046638217,0.030733557,-5.8346324,1.3874019,0.3212372,0.39770842,-0.43979868
-1.9435061,2.7255898,-0.22312212,-0.6140932,-0.82302725,-1.1718031,4.817411,0.2983118,-2.4333014,0.4030022,-0.15676793,-0.090250835,0.25715876,-1.7236674,3.260707,0.22092119,-1.990816,-2.9875433
-0.8703158,5.5635214,0.031026334,2.2239375,-1.9221306,-2.5942326,2.064896,-4.106075,-2.577853,0.5028016,-4.504889,0.1575358,-0.44731858,-2.687114,1.4009898,0.7964892,-1.0290103,-0.32994235
-0.9529351,-3.8712223,0.24474615,1.1271378,-1.5858392,-3.584983,-1.2491528,-3.1592047,1.5803137,0.5960216,-2.7068536,0.05989646,0.08259209,-0.79112893,2.7827365,-0.37638384,-1.0155421,-1.2941725
0.80729616,-0.32015288,-0.094834805,3.1191373,-2.0521815,-7.575316,4.188037,-0.95636654,0.045261417,-0.07136555,2.2345223,-0.005915205,-0.09805501,1.6389195,-1.3764485,-0.21351491,-1.5458919,0.84905833
-1.1516169,-0.96958524,-0.323012,0.67807347,-0.9355623,-3.1592789,-0.8757472,-7.0781336,0.55815995,-0.8698335,-2.3551674,0.016573321,0.11620538,-1.3832335,2.771573,-1.4086848,-1.2484632,-1.365898
-2.83128,3.3007803,0.081281215,-0.81571287,0.690633,-4.263083,0.26906145,-1.9959552,-0.71668905,0.04573088,-2.4069126,-0.052399438,-0.071236104,1.822405,3.3055077,0.27754742,-1.3003372,-1.6569322
-1.7807776,0.5071272,0.45089728,2.6991313,-2.061295,-2.602325,3.8039975,-1.1670765,-2.6179817,0.32589978,-2.523924,1.0366664,0.019433439,-1.5507567,4.652033,2.5734222,-2.0338159,-2.5605593
-2.7989185,1.3319441,0.24174502,1.7131522,-2.0136883,-3.7541668,5.3835373,-1.1152111,-2.0049741,0.702328,-1.6740144,-1.73146,0.074293315,-1.6379989,6.457594,0.4064001,-2.4344606,-3.3190148
-2.48645,0.6365804,0.2740324,2.7280638,-1.9535941,-5.7509317,1.4562305,-1.1084014,-2.7652721,0.57550275,-1.62956,1.5872718,0.09239048,-2.018129,5.159942,0.36122766,-1.6834477,-3.321748
-1.7026657,1.2281162,0.58270085,2.1470535,-2.343658,-3.8631501,7.098921,-0.8956671,-3.2153585,0.5294501,-1.3123921,-0.7747376,0.00477463,-0.526511,3.3663847,1.4628696,-1.006671,-1.798022
-1.200131,1.311123,0.21941108,2.1369176,-2.4294236,-5.842957,4.2948666,-1.131608,-5.9314647,0.17190492,-0.07411976,-0.39621732,0.103395596,-1.4258311,3.5672126,1.1611834,-3.691472,-1.4732293
