0,1,2,3,4,5,6,7,8,9,10
0.20888427,8.026412,2.928279,3.8341272,1.0587771,1.0587585,3.7323682,0.34624934,0.8868446,-5.6171412,-1.0156482
-5.728604,2.531319,4.0630193,-1.0564063,-0.50254506,5.9660673,-0.7483544,-1.8790439,-1.8090317,0.89286554,-5.051139
-1.0355977,6.8929543,4.177702,2.3702216,1.6708655,1.0681177,2.7382174,-0.44452462,-2.1290574,-3.4568994,-1.1388719
-6.50674,2.8022768,2.6130881,-3.4640744,0.055707026,4.072744,1.067347,1.0860592,-1.6380724,1.3298718,-5.3092203
-1.7590982,5.364916,0.65153885,3.2789896,0.097149506,1.61703,3.7450154,-4.4373207,-3.5522695,-2.42986,0.23656484
-8.386119,0.47436845,3.6839476,-1.298379,-0.86257595,4.90393,1.5708874,-0.5129426,-0.405562,-1.4491041,-6.7421083
-2.3178725,8.322487,4.7278934,-0.90797085,2.1775706,0.2846203,4.563696,-0.049422048,-2.7725396,2.7414005,-6.234055
-4.563271,1.0932165,8.681176,-1.4158204,0.12736097,2.2430985,7.201703,-0.26754534,0.6343665,6.042152,-9.082191
-5.8528557,4.6074986,6.3545146,1.0081757,-0.09409122,2.799541,2.5242643,-2.199699,0.60753113,4.3339334,-5.6599994
-1.3680736,-0.8087925,3.7125359,-0.7591679,-2.6247504,-2.7943177,0.6559189,-1.6432376,-1.1445404,4.6295743,-1.8602219
-5.3670697,5.6208897,9.603866,-0.47625196,1.1700679,8.774819,4.375402,-1.7592491,-1.3429374,1.9352024,-7.9575806
2.372243,4.421075,5.896341,-2.3597178,-1.2390851,-0.013540685,0.083874494,-0.42081475,-1.1601743,1.870779,0.02631282
-0.7297877,-6.7578,5.0127716,-0.39774993,-0.08231683,-1.4943157,-0.5723461,0.23699425,-0.55870694,2.1182222,-9.270332
-3.7544634,-3.9769318,5.923057,-4.384115,-0.5793697,0.8106622,-1.6596618,0.13499603,-0.030556092,2.793972,-7.7406435
0.2435649,5.959533,0.3400186,5.341696,-0.06010401,-3.8191297,6.480927,0.089844055,-0.28743356,-0.07422108,-0.19098051
-4.173466,-4.304588,7.4887085,-0.5889267,3.9573433,3.2155986,3.8155227,-0.74041194,-0.18321693,1.8290702,-7.5502143
2.208947,2.6992798,6.6384683,2.7272692,-0.20648098,5.748996,3.8974342,-1.3576372,-0.27374086,-1.277528,3.5696044
1.0468886,5.679175,-0.460195,0.9133212,-1.2611856,6.0709314,1.1236637,3.1879005,1.6658354,0.11402393,0.92264026
0.5387222,3.7069995,1.2399572,3.4814804,-1.452412,8.008162,2.7450702,-0.43728837,3.0194128,-0.5456301,0.8886464
2.428547,4.4943247,3.8097847,1.7669296,0.14872284,2.2441196,5.0959997,-2.4079983,0.15273464,-2.8482397,2.9843068
