0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
-0.035128724,3.8295453,-0.04789203,-1.033659,0.023756124,0.5498392,0.00180497,-8.61282,-6.294951,0.62487066,1.2893379,-2.7522964,-0.09562419,-0.0019957058,1.1745932,-0.074226454,0.47394446,0.1803726,-0.06952736,-0.6371643,0.6988754,-0.053594977
0.1753975,-0.39228857,-0.07152817,-0.7648586,0.009183983,-1.6865146,0.053802334,-0.37294772,1.1232383,-3.1036623,1.5655341,-3.0552266,-0.7127259,4.520602,3.1576343,0.25656462,0.025404932,-0.8839529,1.6063966,-1.4067713,-0.43075606,-0.030092468
-0.03919678,0.26438466,-0.051314596,-0.8289495,0.03368299,0.5994099,0.051024977,-8.275858,-4.714853,-1.2762846,1.21313,-3.1731865,-0.4849484,0.78580934,1.0955617,-0.12069583,0.41894498,0.26693287,0.10076632,-1.4394479,1.3811237,-0.05466988
-0.13930912,-0.27235878,0.04651291,-4.206727,-0.02108569,-1.0084281,0.026918953,-0.44952816,1.2276297,-3.9295561,1.1589739,-3.8652472,-0.4425906,3.8602724,1.5477431,0.21332064,-0.5520936,0.2722398,1.648435,-0.98205143,0.80423385,1.4566902
-0.31700763,1.812467,-1.1897749,-2.0947206,0.018312758,0.82318026,0.49080995,-5.6206675,-0.5400617,0.15823953,0.2990073,-1.3707459,1.1989739,-0.50907797,0.43101957,-0.14092204,-0.4030364,0.17494826,0.67436445,2.1636798,0.9947651,-0.38787222
-0.15778674,-0.9706155,-0.089542426,-3.6040585,0.032248795,0.8933428,0.02006317,-0.719215,1.514545,-4.598589,1.7156762,-0.6809732,-0.3752815,7.244052,2.161039,-0.24087168,0.5469276,0.043566186,1.460441,-0.9226343,0.28928843,0.022578709
-0.005028424,-1.5578018,0.07698133,-3.468663,-0.04783787,0.32160935,-0.08194913,-5.6207323,0.5375804,-2.1961513,3.1825168,-5.52715,0.022174563,2.832305,1.8458813,-0.1578475,0.4805195,0.39102978,2.6706579,0.5630989,1.5279338,-0.0052297343
-0.12929137,-5.6780105,-0.19036353,-3.035472,0.12143938,2.2747998,0.0421948,-4.629702,5.8592896,-5.2966824,3.5079916,-10.292995,-0.668462,3.8472893,2.297849,-0.22252032,0.81006825,0.9142209,1.6619015,-1.1535524,2.6848228,-0.24962707
-0.88227725,-1.2521372,-0.694842,-0.53375226,-0.031865776,4.1688085,0.05720462,-2.6022108,1.2082565,-3.4909968,2.0030696,-7.153029,-0.324976,4.2583404,1.76682,0.2906362,-0.5138327,0.47616678,1.8374885,-0.6576191,2.1461706,-0.11843214
0.2674539,-0.7069253,0.5681019,0.017126128,0.023610808,0.51496816,-0.036582086,1.186733,1.0160273,-1.7839991,1.3306004,-0.66671234,2.326638,3.643634,0.6121884,-0.068537,0.48941064,0.1162533,2.2973118,-0.2700484,0.5348109,-0.0013809929
