0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.18196005,-0.26593795,-0.10870861,-7.714355,0.22019507,0.22569571,1.0805328,2.425177,-0.36872047,-4.648329,-1.9132391,1.2012489,0.40779135,2.2521796,-0.022935633,-5.949326,0.6535599
5.2544107,0.11181995,-0.1756167,1.0761583,4.202272,0.08116528,0.9384707,0.07943927,-0.8034761,-2.8163083,-1.1164968,1.654702,-2.655418,-1.705561,-0.03633012,-3.1578236,0.164797
1.6370697,-0.3171371,-0.06397636,-6.2142787,0.14606285,0.115641564,0.4862066,0.28850025,-0.55288357,-5.9436035,-0.6364513,0.5403976,1.0560333,1.0819935,-0.61380583,-3.942687,0.71347284
4.6899743,3.1056206,0.11973436,2.3733535,4.010072,-0.054940425,-1.3950372,-0.35070476,-0.61173946,-2.740941,-0.902905,1.0393606,-0.7354117,-1.4793919,0.067078516,-3.0090141,-0.07993744
-0.1485728,-0.01057884,-0.041419297,1.5031072,-3.6422753,0.036560435,0.06500197,1.467592,0.17887859,-6.546664,-0.208405,-0.2729038,0.30070314,0.06089801,1.7790856,-2.3754895,-0.1478279
4.7063007,-0.1313108,-0.15939228,2.6484156,6.7930393,0.15491696,-2.4953432,0.7536831,-0.70870537,-2.8374848,-1.7371776,1.6420776,-1.6970531,-1.6883463,0.57631993,-4.0952015,0.40806165
2.9256306,0.042009022,0.3139344,-7.131473,1.4914367,0.0643498,-2.3725815,0.18442428,1.5421386,-6.9013433,-1.1672264,-0.8708982,-0.072486535,-1.972417,-0.29338834,-4.2542806,0.3853552
10.320667,-0.36820057,0.87213147,-0.3566788,2.7695324,0.1913765,-7.5023074,-1.5433792,-0.7263208,-8.08834,-1.8912574,2.8038511,-0.044155266,-7.230263,-0.6044175,-4.5134506,0.53189963
4.9206643,-0.5537221,0.352452,-0.9724788,0.7074426,0.18432125,-2.470102,-0.397356,-0.27568525,-3.326904,-1.733094,3.0928025,1.585255,-3.9149072,-0.24162853,-6.114687,0.843079
0.22424802,-0.03494681,0.029926917,-0.04809163,0.3971647,0.055063624,-0.6463202,-0.18919139,-0.7640749,1.494241,-0.58874667,0.8138397,-2.0765855,-4.0652666,-1.2011458,-2.7180204,2.2429457
4.384774,-0.9885904,0.34927183,-0.09918285,1.0842223,0.37580204,-3.0310817,-1.6889914,-2.185916,-8.690534,-3.9658785,5.3069477,-0.00092546514,-2.4346027,0.12425291,-10.228532,1.0322837
