0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
-1.399307,-0.25589842,-9.520837,0.7056817,1.8369589,-3.9251165,6.0365987,1.9080199,-0.6515529,-1.8641964,-0.71752644,0.29351902,-1.6451848,0.0045999093,-0.24411264
3.761453,1.1912394,2.217745,1.0679339,4.5524135,-2.759687,0.34102637,3.4231966,-2.1341014,0.29900408,-1.0766188,-0.5751682,-3.2406821,-0.12801877,-0.8012428
0.6962674,-0.31498358,-6.4989014,-0.035983466,1.6742,-3.7510223,8.873446,1.6422402,0.6275512,-2.6422238,-0.27100232,-0.122274145,-1.2892811,0.15195067,-0.1752741
5.0089087,0.986174,-1.3519764,-0.46495783,5.006937,-2.3241673,-0.012891362,3.4685547,-1.1640124,0.36433122,-0.33809882,2.0573237,-2.6843314,-0.017230427,0.3081542
0.8565979,-0.19725552,-1.8138921,5.640339,-0.11872819,-1.0701118,2.470474,4.341641,-0.19983438,-1.0455147,-2.4865866,-1.2802855,0.7937665,-0.10941451,-1.3387654
7.652485,0.39306292,2.6941738,-0.36750162,5.361331,-2.7042162,1.4804807,2.2457957,-0.08285471,0.5583605,0.45117632,0.5756579,-2.2423813,-0.0032611627,0.5546807
-0.01957072,0.388939,-1.6866678,1.9455786,6.0835557,-5.5538692,8.96323,2.8156,-1.3292747,1.5650656,1.1806905,2.4207945,-1.9794437,0.033186514,-0.2982282
0.4143865,1.4629405,-2.3986082,2.842219,2.9907465,-9.8898325,4.4406023,3.1548781,0.12472263,4.807234,-2.227064,7.3613687,-2.4669569,-0.07003371,-0.5150401
1.4069427,0.26511365,0.4252796,4.134202,5.0676017,-2.90646,2.220786,4.6029925,-0.21211492,1.8125619,-5.291112,3.4742355,-3.132752,0.63087076,-2.9369566
-2.5648894,0.4422661,3.186771,-0.6449527,2.8747907,0.19851395,-1.3745759,1.6674442,-1.3506807,-0.35252348,0.4481689,3.8383086,-1.7040099,0.007147967,-1.7498595
-0.31886634,1.6035575,-2.5828912,7.0115266,8.930005,-4.719677,5.715902,6.4749303,-0.6627595,5.607843,-4.4953313,6.0562224,-3.5825863,-0.12172883,-1.0480788
-0.13038166,0.07821355,3.7060432,3.0126889,0.3837076,-2.93331,4.5872574,-0.084778935,-0.7034967,0.27337265,0.023565717,0.9080896,-0.686722,-0.1212126,-0.07525319
3.4880664,-0.050667718,-0.5829899,1.5819829,8.814033,5.010662,2.23409,0.14472051,-0.10428402,0.061029423,-0.54198074,2.759481,-1.3776535,-0.039580017,-1.7804197
0.727845,1.3581353,-0.1624409,-2.3219128,4.8446593,1.8050183,-0.6567797,4.8560343,0.41442794,2.2356067,0.15147746,5.8247,-3.6809475,0.07218839,-0.9131591
2.5761282,0.44963053,-1.1181084,-3.705583,-1.9927071,-3.9730432,2.9701424,1.9148003,0.047609285,0.38417923,3.1855178,-0.030761153,-2.2014208,0.10990168,-0.12215652
1.8038553,0.8258036,-2.5837784,2.5382662,7.2624497,-2.5824757,0.9647462,2.5921454,3.0473459,2.4403303,-1.0472232,3.3695245,-3.421085,0.2855811,2.540228
1.5513121,0.6178598,-3.853719,2.0042534,6.0163016,3.1802757,9.532125,1.5403965,-1.0561883,1.5054141,-0.8671121,1.8845325,-1.6139771,0.21957901,-0.8828679
0.17708133,-0.63058555,-1.1152345,3.3876066,2.0630176,0.81875235,4.610359,-1.0204501,-1.0558258,4.500537,-2.7446146,1.4871066,-0.80370426,-1.8832484,0.55043083
