0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1.1025325,-0.62435883,1.480807,-1.3423308,-0.20357825,-0.1908169,-0.8402324,-6.9467635,-0.31992233,1.0095603,1.4645461,0.4196129,2.3762197,-0.27765885,0.97687936,3.9714408,0.7649638,0.018328255,0.020954404,5.4061675,-0.054998815,-2.197115,-0.32654938
1.6523249,-0.27942854,0.18257661,1.6462916,-0.7623578,-0.44923592,-0.8485358,2.366142,-2.2148583,1.3097861,1.0265716,-1.8025229,2.582456,-0.49258617,1.230954,2.3928103,0.9117577,0.035496872,0.0071658785,0.4647796,0.96813345,-3.6372507,-0.15181264
1.8238138,-1.0433546,2.1243372,-2.124969,-0.14154108,-0.47595015,-0.781089,-2.9249516,1.0413777,1.2816308,1.9922171,0.36498386,2.2940319,-0.12156884,1.0864438,4.0643477,0.7169909,0.044357054,0.22461314,4.767827,-0.09918765,-1.607723,-1.1450353
1.1789962,-0.4180888,0.14456767,-0.8293471,0.78554076,-2.65819,-0.8916062,2.9035988,-4.3873453,0.014506632,1.4119545,1.0010959,4.104055,-0.59374756,0.34469032,1.5410404,1.1485901,0.06415959,0.69719756,0.2655326,-1.9328948,-3.5948105,-0.32080537
0.43530312,0.1289383,8.459675,-0.6647064,-0.11392675,-0.23966104,0.30092928,0.16337326,-0.6940333,0.3760884,-1.8747051,0.18025248,0.93363154,-0.11715062,0.50692433,1.6371491,-0.2167781,0.009597213,0.02215222,4.1538467,-0.081992514,0.3986187,0.41680923
1.148465,-0.43781486,0.26383138,1.9979725,-0.7765176,-4.2314353,-0.862418,2.7468982,-5.422641,1.4816579,1.0821804,0.8146345,2.1030703,-0.1469182,0.8604597,1.877591,0.9790571,0.010821685,0.18501242,0.8058055,-0.37268016,-5.138065,-0.41869643
1.5452436,-1.0872028,-0.19797741,-1.7896982,-0.32119474,-1.0439795,-0.95536053,0.565376,-2.2655008,2.1191456,0.6124161,0.77933604,3.0075333,-2.9401202,2.2169156,3.9002523,1.0640146,0.07180451,0.051566433,5.2232056,-0.5697178,-4.825326,-0.46893567
2.778389,-0.93080765,0.6584594,-2.880352,-0.09754338,-0.53532743,-1.5470494,9.903219,-0.47845528,1.4472656,1.9986907,0.76590234,4.252446,-0.58700734,1.7231075,4.466528,1.473225,0.043866068,0.08573549,1.9653817,-0.2486813,-8.580556,-0.5946359
1.5109925,-0.53099614,0.24288711,-2.145766,-0.17585807,-1.7665997,-0.89369386,0.7220339,-6.6822343,6.8984413,1.4235681,0.55233395,3.1253798,-1.0330528,4.0706344,3.3066816,0.8494954,0.030434038,0.38014245,0.90609765,-1.1499876,-5.1159816,-0.50838226
0.7102278,-0.05054908,-2.463652,-0.62962276,-0.8810838,-2.465318,-0.10574004,3.2607734,-3.0211723,1.4456284,0.054649178,0.9235724,0.5439368,-0.3092408,0.41292772,-0.9465706,0.28189075,0.019234622,0.04157222,0.1638851,0.13246897,-1.7279756,0.2525727
3.451571,-1.5516696,0.63935083,-4.6560717,-1.2729791,-2.6442075,-1.9582001,3.0292952,-7.761242,4.1495585,2.5362206,2.119832,6.932855,-0.93191814,4.2894707,4.1029916,2.4174337,0.068589106,0.2213466,2.6554763,-0.76137364,-11.751387,-0.8423151
