0,1,2,3,4,5,6,7,8
0.39092806,-1.7277998,0.5803004,0.2436548,-8.466478,-0.005057017,-0.9218221,-0.4114749,9.94239
-4.8423023,1.3590331,5.750198,3.7359786,2.9787927,-0.43442276,-1.3095204,-2.1517365,5.2480607
-0.21039578,-4.907995,0.4355572,0.028591622,-6.2890334,-0.4732025,-2.197205,0.2507972,8.159351
-4.525084,-0.8458544,6.3315916,1.8032813,0.13622546,-0.719379,-2.4987156,-4.343513,5.4933867
0.2675581,-1.755303,-3.177445,-0.7431536,2.8615096,-10.28354,5.6009088,1.4030509,3.600378
-6.6770773,0.50292194,6.75425,4.571036,-1.158836,1.6082997,-0.52312714,-2.566191,6.648728
-1.8995208,3.5731776,1.0921117,-5.4808316,-3.96758,-4.2339287,0.60593915,0.18469171,11.508425
-15.012703,0.1675849,11.223412,-2.3238287,-0.69390637,-7.3806977,-1.0220486,-0.29939598,7.5797563
-2.6827855,-0.13036132,9.199856,-1.6522756,1.6147122,-2.9549398,-1.2160319,1.8711509,8.47913
-5.4200687,-1.8179749,-1.7323189,-2.9921868,-0.41277292,-3.9078293,0.712131,-4.9423914,-1.6743617
-9.873806,-0.82029593,3.2842638,-0.32041746,-3.1739967,-7.5475116,-3.2259545,-0.72748107,12.165386
-5.520276,2.3130662,-1.4078952,-0.40615532,5.272038,1.5784546,-3.3025434,-0.20946218,4.843708
-5.5098896,2.7887466,11.383287,-0.67342925,0.007013735,-0.1987466,0.06878087,-2.0404425,-5.8159246
-4.985474,-0.50303125,9.537708,2.2790904,-0.2990086,-1.9900879,-1.972674,-2.8000855,-1.3336413
-0.64646214,0.5518304,-10.094693,-2.376719,4.128049,-3.4786515,-5.2701426,-0.8432351,4.7119145
-6.9964113,6.412039,9.116727,-0.26231363,0.5315273,-5.1374865,2.6302161,-0.081802495,4.8069158
9.588969,0.4165216,2.3549042,1.9065089,1.8083248,0.20823194,0.02182609,0.18429649,8.897402
2.1034973,-0.1291838,3.323221,4.694164,2.232752,1.6023703,0.6368116,4.53561,8.283059
5.1520596,-1.1922486,4.231582,3.7541535,4.433824,0.20953628,-2.389496,1.9494998,7.4463415
7.4716,-0.2660401,2.213844,-1.553222,0.702788,-0.432877,-1.7903067,2.8554223,8.170678
-6.359414,1.0743477,-1.6959296,4.85489,-0.52575994,-1.2545942,0.036461696,-1.7555169,13.828698
-6.0043387,0.73399353,-1.7070094,3.1420288,0.5629466,-0.19268475,-0.08080324,2.7946837,14.264767
-5.5544086,-2.239518,-0.6368401,3.0316484,1.0543388,0.1966855,1.6521994,-0.7041567,14.598905
-5.490184,-0.32186714,-1.6508025,4.0902,2.384199,-0.043318745,-3.2657835,-0.2620565,13.874193
-3.485535,1.2031436,2.554656,4.5929375,0.4536116,-3.3562086,-1.5426792,0.3571809,15.551324
-5.3424554,-1.3691945,-0.08325712,2.948117,-2.6139333,0.017659716,-1.8282547,0.15577644,16.03643
-2.0788448,-0.19900581,0.7436261,7.721372,1.3193115,-1.6355252,0.062247813,0.48004276,15.813648
-5.8540125,0.6145343,-2.235642,-0.22924094,-2.5259802,1.868427,-0.29343084,-1.1146438,15.470261
-2.7424014,-1.1022292,0.8417123,6.052061,-1.3662595,-3.571768,-0.92810917,1.1661881,12.701375
-7.151696,-0.08086866,-0.88769,-1.291896,-5.254779,2.7145333,-1.6924537,0.30413285,12.925916
-6.019209,8.114923,8.012794,-0.7515493,-0.6816519,-4.524063,-1.1313709,1.7359242,5.1961226
-3.952888,2.6075912,-3.7924714,-0.6069335,3.1450377,-6.2004986,-0.3420345,-0.0028055306,-2.8425663
-2.206549,-1.7809926,3.4918432,1.8969009,-2.339441,-8.942253,4.8648057,-0.986397,4.513792
-0.4649878,1.1515388,4.1139565,3.7959592,-4.4374475,2.4756467,-6.608278,0.8078069,-0.85711783
-1.0192797,-1.872402,7.7699003,3.0907404,-2.3921978,-5.4999557,-0.9190529,0.3229292,1.2453442
-2.0296748,-0.39513406,6.2631636,-2.1687913,-7.9953327,0.2627357,2.0610583,-0.6776645,6.8862386
1.2550778,-7.3270807,3.9873242,4.5060253,1.3240871,-3.5674853,0.72817576,1.6750711,1.0971923
-3.891803,5.570766,-3.5845249,0.8962838,-4.5562587,-1.6884483,1.9809622,0.9411192,-1.9686081
4.078886,-6.804923,3.9989412,4.3940887,-1.60281,-4.2708235,0.9171314,0.6379205,2.287393
-2.203191,-1.8978035,4.9099126,1.2417848,0.63646895,5.0454865,2.8488026,0.22455476,11.70461
-7.121694,-6.5308566,-1.8267548,-1.1500287,-3.7007034,-0.2460665,2.4418187,0.8228106,4.5049
-4.2576375,1.8732681,-7.1502147,-4.58803,-1.5831141,1.9583018,-0.64420825,1.5253667,8.7883005
-2.6094272,-0.8328518,10.120376,0.38400483,-4.0572033,-0.40517312,-5.8653803,0.69561297,-4.889561
-14.145562,0.9142697,10.83052,-4.92317,-0.062621735,-4.42086,-0.1798729,-2.980562,8.69856
