0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0.0006643612,0.21228696,-3.0292268,0.39777577,0.012632073,-1.4738207,3.8047245,0.17792192,-0.49365196,-0.049669784,-0.5008853,-1.5733792,-1.3003447,-0.030447371,1.0487899,-0.6272041,0.6537488,1.6326891,0.5512029,0.4143172,-0.08018829,-0.96892285,-0.4881272,-0.5195671,-0.49589804,0.72607136,0.7924675,0.19954626,-0.034692448,4.5788593
-0.0018482138,-1.1113726,-0.921086,0.66401416,0.014237768,-1.862892,-1.6449993,-0.07342561,-1.6247249,-0.043068025,0.1613673,0.45468092,-1.5906664,-0.01688799,4.837562,-0.6757036,0.8699486,2.5681558,0.95920163,-1.0917047,0.050378498,-0.690202,-0.1822822,-1.1537755,-0.368461,7.4526315,1.0153366,0.21025452,1.4456159,1.4732592
-0.0058776974,0.24791595,-3.298164,0.44053662,0.06862208,-1.4510313,1.0747156,0.20993249,-0.10187469,-0.3330384,0.029859832,1.0883472,-1.5219806,-0.076664895,1.0020936,-0.19907017,0.64142823,1.623791,0.68824023,-2.5548913,0.3478916,-1.31338,-2.0635123,-0.7998478,-2.0764983,0.6927734,1.1661793,0.21363242,0.04795569,4.612009
-0.016037835,-1.1484884,-0.4595807,2.3026152,0.005314928,-1.7151349,-1.7170916,0.22249494,-1.1440185,-0.04652741,0.26346377,-0.4045457,-1.492727,-0.025723256,5.0782366,-1.1202427,1.0729593,1.2054626,1.2506071,-1.9362091,0.5187774,-1.0324656,-0.2512902,-2.3077803,-0.50071335,3.602249,0.85054016,-0.0057093226,1.4764056,0.94849485
-0.008121802,-0.08523279,-1.2636617,0.29764086,0.0033270526,-0.24162468,-0.21332778,1.9037563,0.19608049,-0.006098954,0.019564504,-1.8988138,-0.38736957,-0.17462157,0.7812314,-6.232835,0.20571613,0.6721918,0.1579319,-13.007009,0.264569,1.256331,-0.5155178,-0.08314644,-1.737624,0.35638055,0.14746727,0.0731352,0.08576648,4.5931993
-0.0019229039,-0.53258556,-1.7382636,2.1152296,-0.009587075,-2.6149535,-1.5861213,-0.73745406,-1.3454021,-0.039472792,0.16468473,0.32097748,-1.3760027,-0.012962443,6.259541,-0.7174692,0.7817181,-0.054299597,-0.4864268,-1.2473657,0.058181323,-0.8034024,-0.22019182,1.1304003,-0.6655997,4.735282,0.8641747,0.15887406,2.940851,0.7257975
-0.0067777033,-0.2255678,-4.13022,1.7057883,0.046474643,-1.3675702,1.6316019,0.14575396,-1.9000348,-0.19367908,0.03643094,-0.38621998,-1.9677365,-0.043721415,4.161957,-1.2160784,1.2203747,3.6913316,0.6581886,-2.2301664,-0.35804135,-0.6354011,-0.5368318,-0.7052675,-0.75437397,1.489046,1.507593,0.2464433,0.9145584,4.5738363
-0.00696296,-1.3113098,-4.1403723,5.2281322,0.00993547,-3.2877448,-3.017431,0.41915694,-2.6125402,-0.065925315,0.3300582,-0.23593953,-1.434657,-0.04401578,6.742563,-1.3728132,-0.1853372,4.4662232,3.4216099,-3.4732156,0.21639849,-1.6035298,-0.3903253,-0.79177874,-1.1087546,1.7865394,1.521922,-0.03310472,2.6790073,2.95169
-0.003700557,-0.84429216,-3.0463912,4.101915,0.011119127,-2.723732,-2.3363063,0.29290602,-1.5137496,-0.054043896,0.22624865,-0.23214824,-0.8200179,-0.01526803,5.977968,-0.56496286,0.77844363,5.1430464,-0.3781779,-1.0515431,0.11923588,-1.2178702,-0.21274501,0.04141653,-0.569197,3.0541143,1.1567872,0.5119983,3.1423283,1.7529114
-0.00964768,0.26095632,-0.72946274,2.6652694,-0.0016380192,-0.68017995,-0.03974894,0.6485198,-0.22015661,-0.006103927,0.006112172,-0.28087416,-0.32971123,0.019890947,3.615422,-0.123004936,0.09048576,-1.2931082,0.95407903,-0.026996372,0.34630904,-0.33416203,-0.12962824,-0.34755412,0.5073767,1.7805033,-0.197629,0.06616342,-0.26721126,-0.36217493
-0.0060429643,-0.47342452,-5.7638016,3.276518,0.013433279,-4.142545,-3.4326942,0.42051193,-5.019058,-0.07663516,0.3147985,-0.30833238,-2.8713982,-0.04091903,8.51019,-1.4406435,1.3312603,6.024023,1.6475344,-2.5785596,0.19014756,-2.659239,-0.43541294,-1.6477548,-1.1329998,3.56062,1.9291507,0.078194894,1.9149867,2.582705
0.006780739,-1.1874425,-1.8612559,0.34401703,0.10349962,-1.7688619,-2.7466125,-0.15729874,-0.59377474,0.037123464,0.27176887,0.041759368,-0.3645876,-0.11662079,0.723963,-1.691716,-0.7954963,5.2450147,0.3465458,-2.3892462,0.025949595,-1.0714258,-0.2894391,-0.15272705,1.0122004,0.1489199,-0.41028073,-0.30684817,0.9384585,1.3444977
0.0012876006,0.71162784,0.46612254,6.316278,-0.0030190388,2.4628437,1.9941576,-0.6547315,0.008255262,0.004204098,-0.19661805,0.53708583,-0.32446003,0.014391949,6.9320374,1.2812563,0.29449347,2.747842,3.5854576,2.7096364,-0.023650534,0.2482424,0.5912836,-0.9591159,0.3982051,1.4959179,-1.2056798,0.16543959,2.6146343,-1.4161623
0.0049356553,-0.82734156,-1.8817365,4.140449,-0.0023585623,-1.1014582,-0.75902116,-0.15173657,1.351768,-0.028194942,0.11421287,0.08555685,-0.9046078,-6.237753e-05,5.041024,0.5201064,0.6370663,1.8997278,2.136914,0.57601833,0.0056858617,0.28624636,0.96847266,-0.17720965,0.2745038,1.3813109,0.5667932,0.30143878,1.6216571,-0.7828391
-0.007213915,-0.59424245,0.65014774,0.71529436,0.0016625321,-1.1371567,-2.323463,0.95856965,-0.5058284,-0.042234637,0.24187806,-0.7047534,-2.3789608,-0.020711264,1.9795171,-2.3540435,1.2838552,1.0499719,0.1579303,-3.529496,0.22377282,-0.19439968,-0.5290921,-1.615617,-0.7820243,0.4661579,1.7308054,0.33676642,-1.8285458,4.7913346
0.011114391,-0.7085388,-0.518721,2.5344925,0.003765614,-3.0506036,-1.8459774,0.114751145,-1.2898465,-0.046997223,0.16771683,-0.092074536,-1.2580974,-0.026285399,6.88654,-1.5278405,3.002838,4.8925714,1.7126658,-1.4056299,-0.29950163,-1.2723727,-0.14293812,-0.28475434,0.3832274,1.6830201,0.95084465,1.3269503,-0.2843252,2.5519896
-0.005886133,-1.9521273,-2.7082155,-0.337722,0.010078517,-3.1441588,-1.24055,0.36986065,-1.3002707,-0.17361514,0.49472213,-0.24864377,-4.287336,-0.009836446,-1.7319099,-1.1215243,4.393075,0.9112755,-0.294328,-1.3213286,0.09631061,0.26785612,-1.120122,0.44461012,-0.44188812,0.86250395,3.4955914,0.41883048,-0.4130236,3.9071698
-0.00044309083,-1.575697,-3.228607,-0.58392185,0.01204232,-1.4509964,-1.8372073,0.026715498,-1.0549121,-0.07967309,0.24395747,0.21745762,-0.46547967,0.010808204,-1.224836,-1.6398373,0.66526777,-0.07750093,-0.27207217,-0.9625512,0.084875524,-0.7584267,-2.5457757,0.08865128,-5.5969124,-0.030155966,2.3346286,-0.06568009,0.17630696,4.236671
-0.0032549251,-2.1384375,-2.7248244,-0.29078108,0.00707308,-3.5771742,-1.9023502,0.20539398,-1.3996567,-0.14476588,0.32519388,-0.11731248,-2.3440804,0.0035577877,-0.7081256,-0.4424118,2.6151268,-0.6365085,-0.057651732,-0.825081,0.07898307,-0.3432509,-0.45025548,-0.05857257,-3.7022555,-0.077056654,2.696332,-0.017109768,0.4294701,2.2712245
-0.004292524,-0.88003993,-2.476113,-1.9262003,0.007941788,-2.2130709,-0.9193743,0.31278536,-0.8494053,-0.03975653,0.18876787,-0.213689,-1.3799301,-0.008620681,-8.731117,-0.9015928,0.87868315,0.88345593,0.14339322,-1.2604848,0.06739653,-0.16985756,-0.86170596,0.22302108,-0.6150245,0.6614401,0.8203123,0.18169409,-2.4231782,3.871655
0.0020860247,-0.29064265,-4.051133,0.99752057,0.021532394,-3.1372716,-1.6004616,-2.72178,-0.98090845,-0.031063048,0.08953525,-0.64729244,-1.4537401,-0.1065491,2.6975193,-0.5596762,1.3159578,2.5894225,0.5194916,-4.90391,-0.11911614,-2.0407524,-0.17118542,-0.5609511,-1.9539748,1.1694854,0.9978977,0.27308473,0.03289272,4.964596
-0.067241445,-0.3983625,-4.014972,1.0006052,0.009552359,-1.8025322,-1.6473109,5.6270375,-0.346053,-0.036289528,0.09899838,-2.4208462,-1.4125239,-0.06821774,2.7655222,-0.44816443,1.4666915,2.5417228,0.5126402,-5.804558,2.2098384,-2.3160949,-3.1154373,-0.5087332,-3.3963757,1.1520518,0.95532936,0.28829977,0.38159895,4.356834
-0.010473735,-0.92391264,-4.300964,1.0151712,0.017162226,-1.7573824,-2.1567583,0.87163776,0.073176354,-0.032919433,0.21693274,-1.267473,-1.9226673,-0.10643303,2.4892755,0.8794981,1.2225044,2.6079068,0.47284922,-3.1517613,0.25535417,-2.229631,-0.58540565,-0.499452,-1.5938087,1.0453784,1.6434298,0.3256211,-0.37100297,5.9208493
-0.041523986,-0.87588227,-3.958585,0.9661067,0.010840547,-3.94857,-1.9705181,3.1602485,-0.7421891,-0.04141285,0.21192802,-1.3312085,-1.5941235,-0.100941226,2.5557094,-0.6396007,2.0037212,2.7636724,0.5069655,-7.3904595,1.3395367,-2.3178365,-2.0232434,-0.4956288,-3.0527446,1.191395,1.0831041,0.33123824,0.21278001,1.6661905
-0.021424547,-2.2558467,-4.115434,0.9122303,0.023552418,-8.351009,-1.7552937,1.4216149,-1.4579936,-0.03226747,0.5569756,-0.7563473,-1.7652737,-0.11017463,2.4209223,-0.91718,1.4510356,2.5180361,0.49239385,-5.5660233,0.6715571,-2.1612456,-1.2271537,-0.49386215,-2.8105705,1.143992,1.4445087,0.25024304,0.1994666,4.4746184
-0.025744474,-1.2123731,-4.022274,1.0317991,0.012851501,-4.1902323,-1.6278858,1.9538618,-1.0228432,-0.033352938,0.31114945,-0.9706643,-1.5295148,-0.06993886,3.0005186,-0.5198045,1.3122276,2.5656137,0.50488317,-5.198195,0.82390225,-2.0309162,-1.320335,-0.5541179,-2.5271976,1.1572073,1.102714,0.23559941,0.20909165,9.115078
-0.01955849,-3.580117,-4.044867,0.8864461,0.023389721,-12.922615,-2.072629,1.4229022,-1.3814545,-0.037869163,0.8977215,-0.8346908,-1.8271234,-0.12364782,2.3542626,-0.9469921,1.4447865,2.5190015,0.4876904,-5.82403,0.61343676,-1.9789732,-0.9903425,-0.46648404,-1.993818,1.1395087,1.5176528,0.2371788,0.17361452,4.1938586
-0.02702801,-0.49772644,-5.067968,1.0880208,0.01160341,0.15634587,-0.1718651,2.5527139,-1.2653997,0.015057602,0.09008564,-1.856152,-1.3617599,-0.05208627,3.6477838,-0.584299,1.0499744,2.27523,0.611188,-4.6910367,0.85925794,-2.006894,-1.2544968,-0.6643767,-2.1980186,1.0771784,1.0928493,0.20626248,0.46710372,8.433917
-0.0325936,-2.7209134,-4.1031575,0.83845323,0.04622812,-3.7802827,-2.3627288,4.125962,-1.9126846,-0.029590826,0.68806756,-1.076053,-1.7200099,-0.04073062,2.3149042,-1.1768,1.4094589,2.5067344,0.48266572,-3.8926878,1.0503471,-1.973517,-1.3714257,-0.484592,-1.8438213,1.1441314,1.5694242,0.18767829,0.2623071,4.3507223
-0.02140902,-0.006195299,-4.419072,1.286302,0.011146337,-1.2221771,0.23431978,1.7839779,-1.08792,0.04721169,-0.012827091,-1.0099458,-1.2173288,-0.050254617,3.8993084,-0.6399638,1.0297564,2.2866106,0.5949584,-4.2320943,0.6808884,-2.0242376,-1.012873,-0.6336738,-2.093548,1.1529121,1.0104749,0.20993331,0.47353363,12.842254
0.016680049,-0.7308555,0.60123146,2.4889307,-0.0003677975,-2.398994,-1.9559654,0.15429485,-1.32748,-0.06374302,0.22475575,-0.11830998,-1.2588891,-0.028036281,3.7816656,-0.36396408,4.4865556,7.127402,1.098139,-1.2559127,-0.5332682,-0.76034343,-0.15907383,-0.47016692,1.0477055,1.434016,1.0161324,0.7011687,1.4057833,2.783745
-0.0003570802,0.21423148,-1.4276292,1.301324,-0.0024623706,2.9687936,0.4579858,-0.021101436,0.91491055,0.12720673,-0.07500699,-0.07855701,0.5930243,-0.32857972,3.4109156,-1.2040888,-0.31457412,0.36874717,0.36841866,-1.3366003,-0.0053392346,1.5233952,-0.138888,-0.077647194,0.20941117,0.14608279,-1.8926501,-0.7330975,0.98915434,-0.0075272233
-0.0022462641,-2.4015512,-2.1238093,0.9330607,0.0063021188,-5.4173794,-4.775745,0.11010887,-5.7387967,-0.084861495,0.4370406,-0.081883304,-5.0140867,-0.003932411,2.4088335,-0.47130793,1.7840835,1.305022,0.299395,-0.63671106,0.061865024,-0.7137414,-0.10073392,-0.3176587,-0.12924442,0.45446378,1.276728,0.040727742,0.8458593,0.88374823
0.002037203,-0.8897342,0.73009175,-0.68918395,-3.21929e-05,-0.041114457,-3.0063698,0.532357,-0.99403864,0.012195796,0.7853017,0.094263986,-0.17713042,-0.008561871,4.023092,1.3712982,0.68026054,0.5226147,0.42191043,1.4007181,-0.0620304,1.0973927,0.51415217,-1.1692576,-0.26980215,0.7202392,0.25813195,0.1273722,-0.29333156,-1.4890996
0.0019078947,0.75102323,-1.6916342,0.88929313,0.002477868,-2.604263,-3.4198525,0.09567609,1.1765001,-0.0914334,0.31292418,-0.10454304,-2.2206266,-0.0044010566,2.5600808,0.28824744,1.2379922,2.9351935,0.3179474,-0.15591736,-0.00937116,-2.366135,-0.038591772,-2.3581426,-0.29232576,1.1409353,1.6092272,1.0947788,1.6688428,-1.5604397
-0.004336108,0.16730672,-2.3552883,1.0762216,0.00316301,-1.6663225,-0.55483365,0.70149827,0.75570357,-0.016699903,-0.1665524,-0.5807776,-1.7209958,0.0033540786,2.7926846,-0.3565189,0.10682155,1.6204662,0.44059262,-0.89192647,0.19953994,-1.6052166,-0.442889,-0.50844175,-10.417082,0.9650219,0.7164547,0.20554698,1.0458106,4.5046964
-0.0009908578,-1.1850674,-9.649309,-3.6851864,-0.001638345,-7.632981,-9.74382,0.05979867,-1.7532184,-0.21772502,0.2796306,-0.034630712,-6.666769,-0.089847654,-3.6714718,-0.33487126,2.6807935,6.87773,0.61844236,-2.6638656,0.03582423,-1.270283,-0.08598195,-0.2313389,-0.21385877,0.8405362,1.0773213,1.5017735,0.6990543,-0.69886017
-0.0005486414,-1.123208,-2.3811133,-1.9078717,0.011885831,-1.7091962,-1.9449173,0.17602958,-1.6882675,-0.01975054,0.27001992,-0.028137563,-1.4524921,-0.004962396,-2.3161619,-0.3336163,1.2027962,2.4615571,1.0209308,-0.9332874,0.03644393,-0.861773,-1.1557275,1.3223162,-0.029074412,2.051239,0.3896399,0.2413295,-2.1334872,-1.4367121
-0.0014986468,-1.2040893,0.6411317,1.5062922,0.0066611925,-1.3532307,-1.172621,0.09858054,-1.9009241,0.034036417,0.311512,-0.12558071,0.9631944,0.023674916,0.05693508,-0.7950788,0.023641156,0.5866215,-0.8900302,0.07068215,0.08517503,-1.3386921,-0.1784551,-0.12123644,-0.24411447,0.25893086,1.2380993,-0.42950848,-3.7566187,-2.8172038
-0.009704272,-0.6913418,-3.9782078,0.6829537,0.0060228435,-1.2813715,-1.4658028,0.58497906,-1.1889032,-0.03567277,0.19973847,-4.3764687,-0.71181685,-0.033739485,1.6956701,-1.8069863,0.5228922,1.5382291,0.22780643,-3.508537,0.3234303,-1.6594573,-2.4773834,-0.35206798,-1.7424797,0.76921153,0.5222736,0.15721822,0.088874005,4.550409
-0.0035934874,0.83472264,-3.3928583,1.772524,0.008137162,-1.3262658,1.5418164,0.20552398,-1.9295343,0.0026808959,-0.22652759,-0.14862297,0.31605414,-0.019763608,3.400913,0.24467714,-1.3206697,1.126087,0.3961936,0.16358136,0.12947199,-1.8635211,0.0344551,-1.2583126,-0.26164457,0.66577727,0.18660207,-0.06300553,1.1785064,3.7268484
-0.005581213,-0.7945947,-9.821865,1.0389539,-0.0033084154,-0.88864857,0.1085134,0.33642134,-0.9356923,-0.04705941,0.16679598,-0.3231091,-0.33561057,-0.016824974,1.8843764,-3.2455766,0.7972685,2.7528439,0.4796647,-0.4390857,0.16887322,-2.2959254,-0.38229033,-0.57461864,-1.6415311,1.3435863,0.9422656,0.18401174,1.0612527,2.9153922
0.0014698588,0.06594636,0.60976285,2.2889223,-0.0017837271,-0.19936337,0.2227437,-0.2234139,0.8962224,-0.0215564,-0.0467122,0.18419358,-0.72525996,0.002120857,5.6774654,2.275286,0.27098483,3.1183372,0.5711453,3.8794487,-0.02316513,1.9927073,0.79818577,-3.273973,2.0181365,1.815698,0.32856968,0.19003765,1.0610064,-0.9464232
-0.005626356,-1.2386824,-4.1474447,4.254194,0.012572128,-3.1621912,-2.964575,0.23042314,-2.477581,-0.07046827,0.31190464,-0.18991725,0.20839483,-0.028525755,8.297778,-1.4528093,0.22995691,3.2499654,0.5721821,-2.2395704,0.14926912,-1.8673283,-0.4618755,-1.0422138,-0.8417246,-0.041401833,1.6065179,0.12954865,4.5779753,3.729497
-0.0031324713,-0.8505932,-1.6071875,4.4571195,0.007603469,-2.4359152,-2.177826,0.1633499,-1.5475326,-0.05831847,0.2253718,-0.1528732,-1.451733,-0.019084433,7.1958756,-0.14015178,5.843641,1.4717753,0.3303471,-0.34548205,0.09409722,-0.83692724,-0.03623651,0.28427202,-0.26653937,2.0862298,1.9669762,0.26786116,1.1583353,1.2313628
-0.005209403,-1.7882618,-5.878562,5.0531387,0.014840004,-1.0730301,-4.481289,0.6325695,-2.8331423,-0.04007688,0.4597307,-0.58921605,-2.213601,-0.040728632,10.235817,-1.5829997,1.5401748,5.446224,1.4978479,-2.8367033,0.16255523,-2.017501,-0.45823216,-1.407266,-1.2205322,2.2563784,1.3946725,0.33909342,3.0984347,3.663275
-0.017382475,-1.5227935,-7.9329085,1.3984925,0.016118016,-6.993299,-3.4202626,0.8891257,-3.3200338,-0.07688319,0.327767,-2.2510867,-0.9232508,-0.029119646,3.5405653,-2.4024436,1.1734835,3.1040618,0.71045,-7.841723,0.37215316,-2.405583,-0.8195416,-0.7602844,-2.2807481,1.518506,2.0019627,0.30444744,0.70624924,8.398043
-0.0048678466,-1.2878617,-4.002525,3.4420376,0.009494975,-3.2058396,-3.4550307,0.30756938,-2.1380372,-0.055545636,0.34164035,-0.28788581,-1.8931545,-0.026028024,10.561652,-1.1326654,1.9736531,8.675776,1.6530807,-1.9514642,0.15176284,-1.5983772,-0.42288205,-2.877621,-0.9182703,6.082135,0.8473314,1.3930472,1.6973059,3.2527132
-0.0073095476,-2.948433,-6.0292764,2.7068172,0.018237157,-7.5788245,-7.219999,0.47130886,-4.974241,-0.15252726,0.7417678,-0.38869062,-4.208894,-0.047558434,6.8218455,-1.8459361,2.5110745,6.313203,1.4021481,-3.345029,0.22628404,-5.7324796,-0.51954657,-1.3146839,-1.3630091,2.9765625,3.1492097,0.52142787,1.4847922,3.0181384
-0.00062499294,-0.6069727,-1.4926629,0.56752217,0.004282719,-2.7484617,-1.7848927,-0.79750437,-0.47484747,-0.05623182,0.14814521,0.014493945,-2.3889627,-0.07807673,1.5556784,-0.9095344,2.3605604,1.3609531,0.21038114,-2.3132157,0.014350602,-1.2780075,-0.29384363,-0.033704825,0.7275838,0.50542885,1.1658748,0.026892697,1.4369445,-4.9526196
-0.0016283098,-0.56538224,-1.4672625,-1.2756914,-0.00913312,-1.9120722,0.60830474,0.1113232,-1.3853322,-0.014124271,0.11570452,0.32148805,-0.59160894,0.0086667165,-4.2066555,0.08977645,0.2658192,-0.46528915,0.039756205,0.74046516,-0.050955407,1.6251599,-0.26923648,-0.85623723,-1.441923,-0.35445574,0.19563562,0.80732894,0.18272543,3.2756143
-0.011208361,-4.0927863,-5.3162313,2.8535144,0.0054911124,-4.8456855,-4.665117,0.37611243,-2.8373775,-0.11522543,0.47323114,-0.30637392,-3.7179105,-0.042961746,7.221095,-1.8235785,1.8696408,4.7966075,1.0714707,-3.242523,0.33950463,-2.3975863,-0.5122606,-1.3435742,-1.6721787,1.7368747,2.6100855,0.4709539,1.7208579,2.4510477
-0.006393031,-2.437758,-5.480553,2.3584082,0.01605666,-6.4878154,-6.169173,0.38430324,-7.584494,-0.13306114,0.6254879,-0.307832,-3.660804,-0.03759298,5.821657,-1.5247836,2.2699604,6.0868816,1.3934966,-2.7183008,0.19781648,-1.617968,-0.46847564,-1.1681342,-1.2178224,2.9434707,2.7163126,0.5074486,1.4657406,2.986266
-0.005749886,-2.4678519,-4.5210514,3.7111535,0.015096763,-6.921801,-5.9812975,0.1775921,-4.748401,-0.15117028,0.6656771,-0.30643445,-3.8628006,-0.02587696,9.391011,-1.3968866,2.341929,7.502345,1.7223566,-2.493662,0.1771956,-1.1306012,-0.41916972,-1.5335358,-1.1146524,3.4180975,2.7855163,0.58919847,1.782856,2.9675455
-0.0035880636,-1.1531583,-3.3313496,3.9282746,0.00968246,-4.134802,-2.95095,0.19586773,-1.9778687,-0.27326754,0.29924703,-0.13764788,-4.300228,-0.019864729,10.488678,-0.7507152,2.954097,7.688331,3.2387009,-1.4132086,0.10832872,-1.2515866,-0.24705906,-2.8687224,-0.6564561,3.6414723,3.443885,0.5776125,1.6314425,1.326958
-0.0037963942,-0.1089382,-1.8144927,0.94146687,0.005574328,-1.7449882,-0.050042596,0.1466284,0.36638242,-0.03686711,0.12796468,-0.1187361,-0.94912183,-0.009002164,5.344105,-0.6145368,0.8639893,0.63258576,-0.56966895,-1.0694408,0.113235846,-0.89256585,-0.20390794,-0.7569189,-0.7283471,1.2645812,0.102656685,-0.035812773,9.221431,0.48771712
0.00033298112,-0.8162149,-2.257196,3.0634413,0.0042827586,-3.2009003,-2.557989,-0.056968663,-1.4338177,-0.06325713,0.25279987,0.025890315,-3.0260885,-0.0041415314,8.338798,-0.16956133,2.5132065,10.082357,1.6321706,-0.34966224,-0.008799273,-0.9762701,-0.032513518,-2.129696,-0.015889762,5.9715786,1.9384391,0.8952113,1.7283144,0.06630528
-0.005125508,-1.014948,-6.383406,1.1437262,0.01579505,-2.1923804,-3.0012634,0.19618598,-1.6770551,-0.04953543,0.23904793,-0.22968,-1.1210755,0.09534164,2.663851,-2.5211587,0.8757313,1.753483,0.8621639,-2.9944162,0.17392637,-1.3668756,-0.27926534,-0.82191676,-0.9725838,1.6465839,1.1921523,0.22949879,-2.562197,0.60130656
-0.004227594,-1.8997419,-2.4621406,0.44902977,0.007614921,-2.3105106,-1.4545851,0.29138646,-1.2163972,-0.21906544,0.42264113,-0.21250874,-2.0426812,-0.013531676,2.2159665,-0.9777467,3.3488522,1.0114814,0.0704777,-1.3398353,0.09170828,-0.030931411,-0.5556012,0.13738056,-0.8176055,0.6252965,4.0362225,0.3624373,0.75760746,4.4970303
-0.0041428916,-2.9311173,-3.1585548,1.7351387,0.0066463333,-6.408033,-7.161556,0.26957616,-7.200837,-0.09226038,0.7305871,-0.2151984,-2.4867644,-0.018990263,4.420528,-0.99256206,1.244981,3.4068296,0.8965843,-1.7673521,0.12229804,-1.3955035,-0.32834274,-0.7553686,-0.8044842,1.8358207,1.5960174,0.3273945,-0.40835723,1.9057903
-0.0043128724,-2.392697,-7.8991685,0.8698667,0.020354789,-5.664967,-5.973399,0.2949969,-6.5196614,-0.076429866,0.58040005,-0.2155869,-2.2309854,-0.030719424,2.2844627,-1.0479778,1.325771,3.533812,0.8196141,-2.025727,0.12984401,-3.9845684,-0.36511442,-0.65248716,-0.81432796,1.806872,1.5447923,0.29528794,0.32694212,2.082778
