0,1,2,3,4,5,6,7,8,9,10,11,12
1.080419,1.0652403,-10.8617,3.9502606,-3.0669596,0.9951566,-0.39375222,0.5690414,-2.4470074,0.1438694,-3.4115283,0.33622745,3.3283203
-1.9882231,0.6435476,-0.50975466,-1.4623368,-1.6524466,5.607656,-4.08467,0.7831699,-3.4674275,-0.52938205,-5.2101617,-0.09748649,1.3911387
0.21257643,-0.44638494,-8.030483,3.282969,-3.3484774,-0.4923934,-0.25750303,2.7243767,-0.8776447,1.0961124,-3.897519,1.6037668,4.0368547
0.6156808,1.7964901,0.0072410707,-1.3400462,-3.047454,4.510668,-3.5203931,0.38737404,-6.9227257,0.49325785,-4.607043,0.61790293,2.182446
2.268129,2.0918002,-1.130829,1.8129617,-6.706349,0.54522836,-0.062065147,1.2020588,-0.057782643,0.20250423,0.5700311,0.18411082,10.266908
-0.4294122,-0.23650296,-0.8445788,-1.6254598,-3.4022164,7.7233887,-1.9189808,-2.375113,-5.701272,-0.7656529,-4.074575,-0.09630785,1.1375118
3.0569499,-0.2775539,-5.584878,-3.0960183,-5.705559,1.2786525,0.06757703,2.4730346,-2.797493,2.6455376,-5.3432302,0.39174992,6.1552835
0.15660085,-1.4297554,-1.569653,-8.66006,-11.917695,6.5010858,-0.6328662,0.40734512,-2.1471736,0.006284422,-6.277848,-0.041616533,5.4213758
-0.4114027,-1.0599711,-1.4032426,-0.8244563,-5.1722045,7.492948,1.0669545,4.740897,-3.6568153,-0.86808115,-3.4903374,0.76688385,5.111549
-0.004252282,1.2019637,-1.9711696,-1.3860346,-2.73241,4.122501,-0.07891052,-1.7665613,-0.68538463,0.22791007,-0.15817459,0.4412019,-2.8317237
0.9906437,-0.3652547,-0.17903936,-2.6012871,-9.303525,6.2339606,-0.67372644,4.0700674,-3.931581,3.295411,-10.800736,-0.01994517,7.1543455
-0.28436252,0.47712597,-0.27740812,1.29744,-5.4639907,3.685279,0.7081367,1.408055,1.7766745,1.1057422,0.7649486,0.37308854,2.0795028
0.32606524,0.06511881,8.137579,-2.279361,0.49609023,6.724296,-0.35676092,2.5916622,-1.1600016,0.42417154,-0.60972416,0.74228793,0.25844896
-1.6626629,-0.11632617,3.4640913,-3.4685285,-1.5146359,5.0969253,-0.43337288,2.007731,-3.218006,3.3043318,-2.5010698,0.51612425,1.3257468
4.875919,0.23916322,-1.7187524,-1.7988406,-0.79289407,-0.33749703,1.2601327,-2.675973,-0.28077146,-1.2326865,-0.024242071,-1.2041485,5.935097
0.10615757,-0.6778934,0.1465421,-5.5420475,-6.5891013,3.6284604,-1.051636,4.527032,-6.59028,0.9152106,-6.940856,0.09567662,1.1348039
