0,1,2,3,4
-2.5982351,6.6429195,-10.11743,11.673581,-2.2582405
-14.988702,-1.334463,6.070316,7.548436,-3.5196612
-0.8481264,4.848204,-10.569911,10.103863,-2.3726485
-16.154968,-0.7751955,7.0591125,7.9372463,-6.4290147
2.8232343,9.444564,-12.208631,9.281119,-2.4124043
-16.813152,-4.0743628,7.221118,5.941353,-5.086139
-14.1785145,0.8543956,-14.576827,6.21269,-10.342708
-3.4369462,-4.0507183,10.375522,14.780273,-15.059157
-6.268224,2.2890193,-0.18694904,9.742723,-20.584843
9.84502,1.0823803,5.370637,-10.541868,-9.503614
-18.727146,-4.216672,-7.4370914,13.193702,-19.766016
-4.2755327,2.884679,0.6679865,1.7594489,-5.638384
10.729115,-8.602156,-5.2606683,15.478508,1.2096473
7.268843,-5.168344,-4.4937406,19.658848,-2.6177022
-0.96246976,2.2053523,-1.5592095,13.624139,10.0601425
1.5266222,1.4742169,2.0906773,19.911268,-11.9656515
-14.94451,-8.377953,-2.0935748,-8.958283,-2.1685748
-14.123792,-0.5333936,-0.80954576,-10.836097,-4.9498553
-15.970102,-3.4364667,1.1170785,-10.5644455,-2.0280507
-14.957386,-7.437445,-1.4025811,-5.230802,-3.4753842
-7.5580506,15.779657,-4.336331,1.5376785,-9.800473
-8.3376,13.413248,-4.3793116,-1.2103027,-9.447827
-9.880794,13.535931,-4.3863525,1.5748985,-11.277422
-8.605467,15.8447075,-6.7920747,-0.9738779,-10.442235
-11.983571,17.31792,-2.6627643,0.79916203,-7.713417
-9.856252,13.480672,-5.7783356,1.947998,-7.4246545
-13.232878,17.71296,-5.2550945,-0.47106847,-6.639981
-12.476435,11.63243,-6.215404,0.03755631,-7.357018
-10.023277,17.974174,-3.6330929,-0.8279895,-5.873613
-11.698299,8.490881,-6.287599,-0.77656746,-6.767062
1.3120518,0.7939228,-1.215223,19.054163,-11.506608
9.064697,6.3353376,2.4366336,-8.03903,-10.913588
-13.628745,6.5736876,10.526997,7.99701,-2.1147263
-2.7264385,-3.36142,-6.4061294,5.1976037,-0.9135935
-0.4565161,-13.480197,7.1743636,6.5946054,-7.2400246
2.3781688,10.807323,0.18443757,9.750992,-13.9709215
-11.066184,-8.420866,5.593045,4.07172,-0.33179605
0.9243422,-3.3243241,2.196786,12.337445,6.929921
-10.375061,-9.947951,6.892264,3.7664564,1.5807613
-2.4229152,-2.0782266,-12.218937,16.774387,-4.309653
-5.6484213,2.922027,10.688426,12.769691,-8.038359
-7.4822874,-6.366067,-13.052026,1.4903287,-16.23164
13.97155,-0.32420608,-15.703231,-0.70905143,12.989338
-2.8504672,-5.0829873,9.519579,14.025225,-18.43455
-1.4289494,-0.778213,-1.9545603,11.796944,-16.579428
-15.625396,-0.0053861504,-3.7099035,13.730171,-17.979473
-19.024729,2.2283416,-4.8391633,-3.3374317,-14.564472
-16.398806,0.97393274,0.7962784,14.853015,-14.760999
-14.999156,-4.0207405,-9.277738,15.950079,-17.837322
-6.7423897,-7.3055024,4.2581286,10.548745,0.9669959
8.844037,11.483505,0.17789802,12.7310505,-0.26522258
-16.255522,-1.8922746,-5.7160015,9.977053,-19.475605
-16.47899,-0.024984272,-8.2522335,13.84175,-19.674402
-14.670158,-3.3924563,-5.4485817,14.324665,-20.74106
-16.099396,-1.5270387,4.9054174,15.398732,-10.931434
-12.547075,-4.254108,4.0451326,15.497425,-3.9202547
-13.393193,2.988099,4.0958056,12.878428,-10.333033
-8.850282,-6.5058613,-8.98039,-2.5348349,-13.8697605
-13.911058,-5.990531,-0.7102287,-6.4268475,-2.9037855
-9.293793,-4.278208,7.9622006,10.482452,-20.408497
-5.4067974,-6.9479847,9.217568,7.7221875,-20.549438
-11.53699,-3.6928966,10.645817,8.729541,-19.952646
-8.165476,-5.6211534,8.5569315,4.9915705,-20.907936
-10.196553,-7.7280407,9.759746,8.725704,-20.518946
-7.545943,-5.949542,12.468849,6.545061,-21.27942
-4.9501524,-5.9742904,11.316121,8.14797,-22.702314
7.0480824,5.0089965,-6.3845725,3.557578,-5.862287
7.154354,1.6311644,-6.30116,5.5161967,-3.6274219
-7.869102,-1.0380172,-1.6125067,11.428801,-14.124112
-5.875899,-0.15454923,-6.035428,-8.547926,-14.771014
-6.486496,2.7098005,-9.88133,-9.705066,-15.939133
-12.577095,3.4988246,10.505597,-5.8674483,-6.319848
-1.5713651,-0.42303967,12.416423,-0.7020337,0.35004643
15.58948,7.982881,-2.023473,-6.398907,14.879834
15.983415,7.5853415,0.4372931,-7.989379,15.438177
3.5062299,2.1330833,-4.078995,-5.10623,-17.13893
-13.585427,-3.9668212,-4.468639,9.515979,-7.8708534
-2.4432364,-0.561646,-9.614786,-7.5663595,-16.926523
-5.3411274,7.57609,-7.5958557,-5.8230643,7.897397
-18.390814,7.0807357,-4.0224566,10.060671,-14.3886
-17.790546,-2.518592,-6.0207224,17.32954,-18.07366
-18.338316,2.6468582,-2.4529197,10.697993,-15.701882
-16.59272,5.9601164,-1.2288765,12.645461,-14.849934
-16.47002,5.1587296,-1.746504,9.219599,-12.353453
-17.096655,8.302504,-2.3227468,11.546351,-11.469006
-4.12505,-4.6373734,-16.764133,-7.0766397,-6.7395244
-1.7020313,-4.3925343,-1.4989623,1.9172233,-4.2294335
6.265156,0.13469966,-0.99321526,0.06857873,-12.554084
5.7971234,5.426156,-5.1866612,-11.353461,-9.457234
5.5499587,-10.249114,1.1153646,9.85106,-7.2803288
7.564991,-2.1403608,-2.4848487,-5.578789,-13.769895
-4.8646016,1.4898053,-0.54470336,5.0156593,-5.6180663
-0.75808024,-11.438193,5.338743,19.9046,-2.9732218
5.202351,-2.569368,-0.7780962,11.981651,1.181946
2.1610951,2.4462368,-2.8452775,-11.526349,-13.836965
10.44684,-12.8928795,-6.2646837,-4.9602666,-5.005035
6.947219,4.9938974,-5.3349147,11.556558,-0.85991865
9.5614605,-10.8974,-5.5200176,-5.1972284,-6.712267
9.365208,-3.9061925,-7.312051,20.481556,-4.529822
3.010453,5.583401,0.4048208,15.750949,-5.555593
-17.341969,-6.662347,4.7224374,-7.758154,4.1702423
-12.647356,5.284064,-4.5412645,10.73477,-15.463594
-6.3294053,-4.081373,-6.5833297,13.630777,-14.121214
-13.638093,-0.75887126,3.7522829,17.581161,-12.498183
5.9914,1.8270715,-0.9682464,-1.8230803,-8.357039
-1.304605,-6.187038,-8.036686,-13.393596,-13.075302
-0.5793992,3.0021806,1.2612315,21.213596,-8.349133
8.59584,13.008344,6.6856585,2.4703128,-4.0200806
5.9073396,4.0847116,-2.5834818,-3.2869034,-14.839883
-2.2947767,-10.304207,-3.12046,11.451191,1.260035
-12.522727,8.633616,9.859935,13.766913,-6.8222604
-11.482967,7.565878,5.7682133,13.964147,-7.8218813
-9.749263,9.049902,6.8393683,12.0162525,-6.1800146
-7.7761035,8.541256,9.302551,12.66381,-4.930618
8.395258,12.655786,-1.3005,-5.9658713,-4.951644
8.198155,16.686235,-1.3887622,-3.1661224,-2.0785053
8.082174,14.7273245,-1.7149647,-3.4173622,-5.1167827
6.267509,15.090447,0.16577941,-5.2114787,-5.2405014
8.635001,4.656499,2.8144028,-8.936111,-14.832035
-16.717705,-1.6386944,-15.307879,7.080499,-11.431041
-17.381144,0.43070483,-12.935304,7.714779,-8.656903
-12.531169,-9.095515,0.10053415,8.620054,-6.5719614
-9.420023,-6.7599645,-15.149124,10.183971,-9.538538
26.565773,-0.17768744,-2.5721579,-7.606396,10.741315
-0.07908125,-14.256038,-4.4692316,10.396828,4.260907
-8.242999,7.828223,-10.142093,2.5234575,6.0103917
-16.916397,-0.9077628,0.33923855,14.843217,-9.1954155
16.569292,-4.035355,0.565045,2.9645598,11.660315
9.37194,12.579423,-0.3559396,9.623367,-0.6316424
-6.4758368,3.9789195,-1.1113304,3.037734,-7.926601
10.523629,-6.5736485,-6.732835,13.438259,-0.030578883
-18.021374,-5.093745,-7.255941,14.914327,-15.114602
10.8577585,0.49271873,2.9484131,-9.402591,-11.083558
-6.4008436,-0.9277167,-0.3514808,13.885747,-10.626753
-7.81377,3.2215457,-5.5623746,-8.110993,-16.91698
-6.640231,-12.176195,-2.9592938,10.27113,0.87071896
-14.437638,-9.036962,-3.241399,4.7812014,-9.3506975
-14.412423,-7.7988453,-1.3502076,6.5192113,-8.333635
-10.386578,0.93296146,-13.584296,3.0351129,-11.306221
-16.135962,9.717904,-2.332916,7.561979,-13.229907
-3.6868212,2.7596724,-7.0250807,9.466095,-9.052108
-4.415931,5.9291363,-18.58789,13.901792,-7.3658767
-9.670726,9.305155,0.43148786,11.118701,-18.616785
-3.6767728,-3.8259747,-7.8198166,15.255471,6.761452
7.9799743,-2.306859,-11.915268,-3.107556,17.822832
4.069901,1.4803084,-13.799092,16.773687,-5.8852324
4.625948,0.5023175,-10.705232,17.238873,-4.991078
5.795711,1.0812174,-11.312775,15.501942,-7.309209
4.3216634,-0.825624,2.5380538,-13.42454,4.4083047
1.6947912,-8.043191,-7.070745,-15.787752,4.0908856
1.4887443,-9.445475,-6.724167,-12.113282,3.9047203
1.6115828,-6.825632,8.06259,6.6252136,-8.159574
-1.3603902,1.7465669,8.252577,4.8811064,-12.30419
-5.750356,12.8955555,2.9478803,-4.963433,-13.71184
-8.042608,11.832838,2.6084332,-6.1361523,-14.956818
-13.357886,-2.7254534,6.1184006,14.92542,-5.239059
2.4054077,-8.907711,-7.3947163,-6.5010114,9.048902
1.4673498,-5.6128216,-17.800753,-6.2266736,4.8719144
-1.2426645,-4.2051973,-19.265837,-4.694889,4.0063047
-5.0820613,1.7300062,-2.330975,6.429056,10.6812525
-4.025958,-0.061724264,-3.5811167,7.447033,8.89048
-6.9230375,4.470551,-20.343018,0.7113983,-12.837992
-9.093545,2.462079,-20.378773,-0.048381433,-12.365985
12.711004,0.13916968,-3.3800325,2.5751023,-11.863183
10.818223,-11.806306,3.1761713,-5.291268,-7.2600927
-8.465535,5.6185665,-16.4413,0.16802508,-9.004365
-15.446556,1.2755475,-13.588897,10.387004,-11.711616
-5.07802,-0.6729441,5.5124893,18.830114,-15.425715
4.628916,11.083421,-11.915558,7.6947284,-2.5865948
-2.8697104,2.724726,-3.284548,2.3735054,-7.4396496
-6.046753,2.5090349,-2.4315927,1.9494768,-4.7577806
9.726205,-6.7085457,-3.8247051,13.958032,1.6871959
7.6219525,-1.5123844,-18.828753,5.176873,1.2262849
-9.415244,-3.4793828,-4.940373,10.181945,-11.791742
-7.9293523,8.09445,-2.819454,-1.8899443,-16.91035
-8.115184,-4.642689,-16.647415,10.155476,-9.61442
1.5619024,-4.80455,-3.1446257,8.90772,2.2605731
-6.6087255,8.925507,-1.4595895,-10.2840395,5.439392
-12.641455,2.7319577,10.659284,5.3243937,-8.039078
-12.810554,1.6706244,12.362771,2.8156052,-6.4992642
-9.238765,-2.1017282,-12.411625,-8.201435,-8.186361
-1.3023436,4.0435486,0.25954926,21.935701,-11.791057
-9.236271,-0.113066874,-7.7764106,-6.5425563,-16.277905
-12.846784,-1.4619727,-7.0541677,12.368746,-17.326914
-14.459438,-3.324482,2.8419292,15.786797,-13.098277
-14.46184,-3.9959533,9.252853,9.927084,-13.759326
-11.583298,12.275569,-7.693925,10.876521,6.4625783
-13.45575,6.886247,-11.196005,9.372692,8.911924
-11.583955,1.7103927,-9.194818,11.243688,7.3380003
-11.15362,4.15063,-7.303323,9.970188,7.10076
-13.032267,-0.79196525,-6.1012115,8.664382,7.680557
-13.74353,2.1358094,-5.661122,6.70219,8.0341625
-15.764946,1.3372658,-6.7178164,9.544326,8.720972
-15.133844,0.7845297,-8.152996,7.6079907,6.179763
-14.250582,1.3885677,-4.686299,9.690699,3.6943426
-15.017337,3.687298,-4.721489,12.34602,1.8161677
1.4683573,2.9391444,-17.468615,-8.757243,9.510879
-0.8372814,3.3416839,-18.827196,-6.5803175,9.733242
-1.9594243,5.4561234,-16.653349,-7.8565116,8.094902
-2.8610053,2.6806273,-15.130934,-6.985359,8.523989
-4.892297,2.7520213,-16.491873,-7.383168,6.196315
-13.27488,9.043483,-8.627573,10.792992,7.8506937
-10.682783,8.711832,-9.334415,12.280369,6.4554605
-12.052407,5.1245866,-8.944033,14.21948,6.6023307
-12.879024,5.4315147,-9.173173,13.023449,3.4824452
-12.689804,5.3106756,-6.041093,14.059804,4.2503343
-12.264391,6.6296387,-13.478708,8.854568,10.53534
-12.255258,-0.5022827,-8.315914,14.378636,3.4713352
-11.343883,-0.5842341,-4.99515,14.051738,2.7509556
-12.237933,0.52941483,-6.0104346,13.492912,0.2535058
-18.390198,1.1072958,1.4822353,13.516166,-3.1709576
1.1011227,5.1380687,-14.158658,-8.542323,6.339185
-0.9221405,3.3754888,-14.395912,-10.504712,5.9789395
-12.703057,1.9807336,-4.385702,3.9271262,-1.5715219
-14.075286,1.7583901,-3.7934477,6.41578,-2.9487576
-14.950383,0.97522515,0.43135142,6.9678993,-2.550104
-18.968126,3.436531,1.906064,11.480154,-4.704382
-17.524643,2.4485917,4.7247224,11.581633,-4.2983327
-10.125149,3.5268023,-4.6568484,10.685842,3.4894056
-11.705792,0.19756746,14.797868,-1.1814528,-0.30131266
-14.556436,-0.7511433,16.54296,-0.3476018,0.3794103
-11.384556,-2.063276,17.652592,-0.2825364,-0.15947388
-13.349524,3.9713993,16.453993,0.56164765,0.21617
-11.608241,2.05604,18.277765,0.27053973,1.8740371
-12.328964,1.7946243,18.634947,0.27764463,-1.7165164
-12.085286,0.09952317,16.693172,3.189542,-0.24918401
-10.800175,-0.91254646,7.7445774,3.902249,-6.05396
-7.8905067,1.7898028,8.847598,5.335718,-7.1004996
-9.2375765,0.41317326,9.457947,2.7998548,-9.9474945
-8.874716,0.7302212,10.348149,6.6883273,-10.786285
-8.711647,-0.23382388,5.2181177,4.309814,-8.577915
-9.271392,-3.3738763,8.15809,5.2659297,-9.122835
-7.39813,-2.2537632,6.710702,6.843655,-6.1232615
-10.937424,-2.7011003,4.821367,7.280637,-7.73158
-8.538203,-0.9236104,6.2169056,8.689664,-10.20682
