0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
-0.70051116,0.01231838,-0.55500346,-0.3936989,0.07907164,0.010067661,2.9179904,-1.4293271,-1.1867514,3.0105755,0.7292738,0.037227552,-0.6457272,-0.0032727148,-1.9735992,0.4046303,0.003177458,-0.6469733,0.31896397,-3.223462,2.856618,-6.026469,1.5038861,0.020131987
-0.44876596,-0.038054537,-0.34114712,-4.249844,-0.0022118592,0.0033302426,1.2991554,-0.18162274,-0.54024553,2.5287056,0.65244263,0.19864276,-0.05708606,0.005374162,-1.0846968,-3.0503345,0.39611867,1.9124788,1.2749578,-1.6587943,-0.43950492,2.2013535,0.4584921,0.47755224
-0.034368705,0.08248589,-0.27692443,-0.9218352,0.21816367,0.010679614,3.4994206,-3.071276,-1.3533443,2.9347034,0.38731506,0.056168083,-2.190136,-0.0061519747,-2.0455782,0.8577024,0.1552713,-0.36462584,-0.28256223,-2.3956017,-0.61124766,-5.268471,1.6827545,1.019887
-0.5873776,-0.056449942,-0.3405321,-3.646826,-0.45784414,0.016301902,1.7122755,-0.86024326,-0.54301006,2.9508426,0.40881267,-0.005183299,-0.40972954,-0.0029389907,-1.0170372,2.3335574,1.1707122,3.4567428,-0.8031328,-4.100987,-0.70212173,1.8784093,0.50166243,1.3910031
0.7492603,-0.43276924,-0.4106777,0.4652159,0.019316873,0.005237247,1.1582139,-5.313836,-0.73282284,2.2041676,0.6892047,-0.14781988,-0.06890249,-0.00034352174,-3.8445024,-0.14647369,0.03829359,-0.3586545,0.09290679,0.09780294,-1.112336,-7.4337254,0.8051661,0.23894085
-0.41287157,-0.03501131,-0.47374815,-7.150455,0.033167567,0.0044017876,1.5498321,-1.0878326,-0.63598126,1.5189445,0.64848584,0.24483554,-0.19196734,-0.00028130188,-0.93018365,-0.23232624,0.45696828,2.8736026,-0.15448108,-3.2580392,-0.34047484,3.2776392,0.63351315,1.3301291
-0.7951766,-0.034504008,-0.67703766,-2.9498105,-2.355186,0.01095911,2.695311,-2.6416144,-0.9251309,3.5584383,0.83609265,0.22979374,-0.13748077,-0.00322577,-2.3727756,0.16509722,1.430709,3.6075053,-0.8996414,-1.0006849,0.07092011,-6.410781,1.8200738,1.9031327
-0.96881795,0.049250092,-0.863817,-4.336517,-0.07922287,0.005371864,1.8935192,-0.053414688,-0.8220038,4.7005596,1.1312888,0.8461442,-0.60271263,-0.005510092,-1.267991,0.3635701,1.7658167,12.5587015,-2.3304687,-4.524858,-0.6570137,-1.6544667,2.28211,4.934968
-0.20261712,-0.09012764,-0.6848412,-3.616325,0.021013472,0.0043252674,1.3020141,-0.1317045,-0.7542901,5.8963165,0.16520557,0.214982,0.82541615,-0.00572195,-1.1915123,-1.0028639,2.7651927,3.6008968,-1.5557424,-6.5199704,-0.70618176,-0.3899319,2.752735,3.8558636
-0.48983213,0.15580502,-0.9651603,-2.2835472,0.09581916,0.021747632,-1.3421048,-0.19497238,-0.7117139,1.8669285,0.91694444,0.45154637,0.6054166,0.0045125815,1.0688758,-0.301378,0.012637538,3.3708088,0.17080808,-0.16173902,0.6789722,1.5286471,1.9188408,0.2386698
-0.9300151,0.06117861,-1.6957164,-5.6200104,0.081139,0.012405692,3.9006512,-1.543444,-1.6871295,10.048846,1.2897922,0.5706074,-0.91672224,-0.010006477,-2.1814075,0.7682362,0.8752809,7.1631517,-1.3156554,-7.9123125,-0.73005015,-2.6985362,4.4688525,2.410532
0.5377384,0.5875523,-0.08842819,-0.22336243,0.8792147,0.006325721,1.764293,-4.487458,-0.5872141,1.2182146,-0.40873605,0.11614536,-0.15053603,-0.000784085,-0.17334595,0.03542411,0.16088194,2.1067202,-0.4349998,-3.5877979,0.2790412,-1.1844805,-0.119385175,0.36565143
0.3189712,-0.003918884,0.07061675,-4.5242724,-0.27459008,-0.0010772377,-0.44244868,1.3522611,0.17985603,-2.5499258,-0.3490585,0.18371297,-0.10410845,-0.0005402494,0.82540095,-0.02125394,4.5980234,3.5667186,-1.5246271,-0.83189434,0.011361716,0.21582825,-0.115126185,5.9591107
0.4620408,-0.14825295,-0.19216567,-4.9330316,0.0071005407,0.0030918766,0.69855267,0.6548413,-0.37811834,1.0292952,-0.4348308,0.70517045,-0.17509726,-0.00094388373,-0.26278922,0.14360511,0.83685315,8.011615,0.6099104,0.10318489,-0.39745906,0.6111815,0.47250795,2.444589
-0.2663271,0.19314004,-0.069348134,-0.27574816,0.20123105,0.015596432,4.32048,0.10413811,-1.4613849,3.6497176,-0.12570094,-0.017420193,-0.05072891,0.00028260425,-3.7912898,0.016926985,0.022524973,-0.8048159,0.16918331,0.14483856,-0.3235282,1.382192,0.0401695,0.1715786
-0.4326833,0.0045977407,-0.48368946,-3.5128956,0.06363916,0.0041792854,1.2743253,3.337887,-0.67713064,2.7670045,1.5327504,0.4240421,-0.7179137,-0.00869669,-0.7881206,-0.06435623,1.3190836,5.463487,-1.236069,-6.213067,0.09349129,0.4014903,1.2169895,4.2066407
-2.4282148,-0.036447283,0.2348604,-0.13334873,0.117375314,0.03713239,5.4103928,-0.413454,-2.091687,7.127216,0.8170826,0.027846012,-0.04120555,0.00083865743,-1.6048272,0.1209601,0.65519,0.6500244,-0.21228975,0.47287676,0.25216508,-0.8565,0.98924947,0.48482367
-0.6654103,-0.12301617,-0.21241193,-0.4696611,-0.6048535,0.0077516483,2.367949,-3.3512385,-3.9980042,4.2888823,2.786781,0.114720225,-0.04482109,-0.00089834514,-1.2152317,-0.042336415,0.19146137,1.5118332,-0.20360509,-0.80205405,-2.362706,-0.32972592,1.703045,0.62296396
-0.80825174,-0.1497454,0.3698496,-0.75645316,-0.80914044,0.009684351,3.1477726,-3.5909724,-1.4278778,6.340981,0.117132954,0.076628186,0.57971853,-0.00042872425,-0.47447953,-0.45842323,0.22478566,1.0542883,-0.009523468,-0.29209447,-0.021327961,1.6150901,1.5468802,0.5884752
-4.6403823,0.009721064,-0.11601359,2.436375,0.19911191,0.011536047,3.9259958,-1.3170812,-1.6089073,3.8984857,0.8096135,-0.23442522,-0.1864547,0.008582081,-2.1505928,0.091486365,0.34533772,1.0293016,-0.087534696,8.152572,0.37215012,-0.9993184,1.1855793,0.50223917
-2.5004637,0.25972512,-0.5232434,-1.7630839,-1.4658535,0.010553571,6.294504,-3.5239818,-0.98903215,1.9876369,0.9397211,0.24704815,-0.21934235,-0.0021304328,-6.2671375,0.1740019,0.652741,2.980743,-0.68840766,-1.8441082,-0.3034097,-5.0549364,1.2650725,1.3887527
-1.1622787,0.3041543,-0.588039,-2.3138888,1.7595409,0.0077738687,4.633958,-4.165303,0.23018497,0.2657554,1.1597571,0.20389576,-0.29657778,-0.0027924129,-3.2374856,0.18451507,0.8077644,3.0781212,-0.851615,-2.6540496,-0.61679333,-4.523219,1.2263238,1.724517
-1.5254927,0.06924334,-0.48218954,-2.101449,0.13638078,0.00919152,5.6603756,-7.2582335,-1.5665551,1.4135089,1.0282652,0.22207429,-0.24112538,-0.0029534812,-4.5745745,0.1519718,0.45886946,2.9852498,-0.7338624,-2.1477368,-0.050528135,-6.266467,1.2479565,1.3007746
-2.1009371,-0.060404133,-0.57292104,-2.2376719,0.42298487,0.00185604,5.337285,-3.8266773,-0.32741615,1.8922777,0.91616434,0.21176645,-0.46750993,-0.0028941834,-5.4178114,0.19888501,0.531033,2.9120889,-0.66869766,-3.3757355,-0.32706589,-1.1168985,1.365383,1.4403986
-2.925785,0.005558516,-0.16724515,-4.351267,0.20091432,0.0098910695,6.930659,-2.1072357,-2.3156188,2.8674157,1.2043755,0.2147589,-0.5802207,-0.005935562,-6.3285637,0.20119524,0.5225017,3.166243,-0.8366831,-4.806964,-0.7817979,-3.404595,-0.9560563,1.5219729
-1.3408929,-0.5135696,-0.27179578,-2.7800946,1.3073083,-0.009335249,5.8764305,-2.7581434,-2.2449408,1.2383025,1.0193892,0.21407014,-0.29858163,-0.0032167383,-4.5504413,0.1765536,0.38910928,3.8411698,-0.9996712,-2.6145756,-0.053895917,-7.8847218,1.0822924,1.7400376
