0,1,2,3,4,5
-0.418334,4.814158,2.6287851,-13.889983,7.2538447,-0.8303136
-0.50681597,13.720129,-1.1368943,5.8855906,5.5716476,3.2901022
-2.0299072,1.9765744,3.0355835,-12.748942,7.3350134,-0.5658128
1.1770964,13.58789,-0.15221152,5.9299717,7.7266974,0.79793096
-3.3672721,1.9322242,-9.751027,-9.847512,5.0466275,-3.5072837
0.15996104,11.348173,-0.8010891,6.897178,9.149918,4.1964054
11.094199,6.6985393,-2.3161006,-9.424903,8.011199,-6.1272154
6.6618133,6.09018,-4.734284,4.9167395,18.592216,1.6479821
4.671202,5.6379323,-2.5639706,-1.6560924,14.722604,-9.116696
-11.000859,0.20263766,-2.108241,0.71114486,8.47305,-6.2383466
10.264786,16.960323,-1.9341079,0.8038701,13.429519,-6.7286983
4.005066,8.946881,3.7802455,4.0226974,-1.5939958,1.2717927
-8.39986,-2.1778395,3.1582808,0.014078001,11.457409,2.673572
-1.8810174,-5.1401086,5.4439416,3.373428,13.671668,4.646469
-10.124035,10.162896,-4.7954264,1.6455336,-0.27288502,0.28778407
-4.0081344,3.7383876,-3.6647003,2.3685856,15.900496,4.7955055
10.85869,-3.4369626,-1.3184386,-0.5061829,5.7133136,-13.030802
10.130872,2.8726256,-0.6640712,4.263853,1.427014,-10.916941
9.917719,-0.543434,-3.1497328,4.4517922,4.306035,-11.840908
7.16054,-1.5591843,0.06819262,-1.562747,6.2276344,-13.440885
14.188424,10.76587,-0.30113557,-6.7055554,2.5883608,1.382847
14.260329,8.6202135,1.1668594,-6.32998,0.0085808495,3.3632536
14.776173,8.928207,3.0116405,-5.593987,3.0505307,1.4908729
12.87835,10.343946,2.1273937,-8.381638,0.027926205,0.83526725
12.075792,13.578552,2.5838947,-5.6513734,2.0555682,4.9126577
12.814531,8.935285,1.8654803,-8.214069,3.8801224,4.299007
10.057375,12.553636,-0.36378694,-4.9590006,1.9763136,5.498372
13.117639,7.41469,-0.031261086,-5.2404838,4.6468115,5.8213773
9.56696,12.32897,2.404411,-4.8337274,2.8314965,2.5649204
14.151197,4.834992,-2.0907526,-6.244167,5.2327323,4.5432725
-2.2072258,3.616566,-5.153445,3.9353755,16.809975,7.469636
-8.199188,3.8415313,0.66205347,3.8213763,6.6551986,-3.6756155
-6.649763,14.280435,-2.0221844,1.7425084,6.16013,-3.0769186
-2.3530078,7.6818204,4.33138,1.2563924,1.8619732,8.704432
5.017646,1.5129702,1.1456842,8.186401,7.5985007,1.9540788
3.1966753,14.923022,-4.286736,-4.1538486,2.8859305,7.6747503
8.27056,3.357803,0.62626415,2.5132818,5.0284534,7.7634397
-9.985607,7.1441617,0.25174534,-5.045463,3.6735115,5.5507383
8.959218,4.074578,-1.0966496,1.3363514,6.217238,9.918098
5.01668,-0.5077158,1.0027105,-9.086469,7.9734955,4.712731
-2.1144555,8.89808,3.7929294,1.9899199,9.182119,-5.4321623
14.256976,7.596255,-3.979521,-1.7757502,4.8732877,-12.109399
6.4360347,-14.187493,0.2988603,8.441522,6.1643324,-3.7992485
5.667241,4.6802545,-6.246649,8.20333,17.966316,0.546022
-0.7616106,3.8661685,-8.537934,-3.1226106,14.377797,-4.2144623
8.63619,18.229443,-0.8003115,-1.5721822,15.299883,-2.9176815
9.549343,13.687696,-1.051619,1.4340256,4.71645,-5.986171
4.8641586,16.674635,-1.4162917,-3.640794,13.830463,1.782167
11.079152,15.6409,-6.2028656,-4.7130847,15.412059,-7.4567485
-3.9986565,4.8015847,-10.672559,-4.210179,5.340119,8.613614
-1.0899825,11.677905,-0.81783223,-10.835434,-6.355687,-3.4976075
10.27568,14.383154,-4.5215487,-2.242651,11.616305,-4.7399535
10.232636,12.919434,-2.6362836,-1.7937498,14.912827,-8.131289
8.80771,16.661377,-3.3639739,-1.4384515,17.855028,-6.492909
0.08946546,16.82852,0.49544883,-0.031005172,14.810502,2.0091038
-5.977599,4.0287294,-2.473253,4.1947203,13.529896,-3.537985
0.4175923,11.963547,1.0417175,-0.5676749,13.072636,-2.591372
16.787014,5.063317,-3.2701128,-3.2286248,5.5601487,-7.260572
8.044858,-0.54120123,-0.95140153,-0.3081957,6.3933134,-11.511154
5.1709104,11.019306,-2.3382094,7.89172,14.812155,1.6885843
4.9159675,7.59348,-4.398129,10.324382,11.936386,-0.70653486
3.9955583,12.596553,-2.3180668,9.346342,16.853727,-1.3940573
5.6698623,10.814394,-6.664341,10.55715,14.049219,-1.3031149
3.129131,10.662363,-1.3260946,11.664619,13.78748,0.44112644
6.582618,9.192224,-3.085111,12.651199,14.5542555,-2.290438
8.279037,6.9373937,-3.7456882,10.765173,12.587817,-1.7000477
0.3547819,7.702767,10.862338,-2.8032713,-0.46308059,-1.292795
-0.49085662,7.9613395,6.2221613,-6.9977937,-4.4678264,0.66600233
0.96107256,5.0019417,-4.758815,-5.4321165,10.449745,-5.6389184
13.123293,7.0774136,-5.4510922,2.9164593,-1.6698467,-2.5463836
11.321784,7.558561,-1.6579291,-0.15052365,-1.8914788,-4.1062946
10.246937,-0.5146924,-9.827489,-2.99694,0.2171823,1.0300508
8.185641,-3.9797826,-1.5469807,-0.10794178,-1.8855717,-0.8475827
-8.692399,-5.5599446,-1.1860963,-2.9145942,-19.420542,4.069684
-9.078371,-6.6666875,-1.7034141,-5.0711317,-19.235325,1.5935171
-3.0307984,3.8010201,-4.339569,7.1981583,2.7474897,-9.829652
4.8829317,1.2982948,-9.715807,-6.17501,10.042938,-4.1250534
16.391413,6.5686617,-3.4192417,-0.41623718,0.65461385,-0.7641705
-8.488695,-4.722928,1.35394,-4.5169597,4.79898,2.849946
10.907095,10.776038,-1.8370636,-3.8361452,9.780848,0.79082817
11.886798,15.448627,-6.600829,0.107068196,15.584785,-5.9115605
8.580155,13.110953,-4.225055,-2.8786378,13.231824,0.49006656
8.203919,14.099193,-2.6123486,-4.779273,9.701734,2.4479449
9.81846,13.355715,-0.6141643,-1.0136428,10.717332,2.519623
8.172668,10.182052,-2.274643,-2.607077,10.530423,4.080443
9.607611,1.9294292,-4.7241354,-10.941709,0.24786916,-10.995831
1.5229012,8.6480055,0.45765764,0.7397899,2.7232385,3.5780745
-3.9627972,3.8089163,0.5089477,3.2545528,-0.7338069,-9.756188
-8.708217,2.2581353,1.2576373,11.7369375,1.9090213,-3.8580697
1.9631617,0.17952912,-1.5789976,-1.5759679,9.161724,6.6897745
-0.2965798,2.7122436,2.0200353,10.744856,1.4393222,-5.7035127
5.2941604,10.13413,6.268135,2.3123746,-3.9770293,1.1409297
-1.7902148,-2.774283,5.3574677,5.43097,13.851741,-7.9880366
-1.8696843,7.3161225,-3.418646,-6.824512,-0.3565114,6.2759647
-5.387807,2.0980341,-5.293621,10.873245,3.970381,-3.2517405
-2.3973901,-9.92509,0.7324913,6.418727,7.6594944,6.878935
-6.6464505,9.791115,0.517802,-9.103113,-2.683534,1.0038712
-3.6520243,-8.823746,-0.31608966,8.632279,6.482288,5.749337
-1.0639518,-7.991118,4.785013,0.29395562,13.798411,6.455039
-2.5352814,1.3211936,4.8780217,-2.647878,16.278627,-8.685883
9.152082,-4.3152304,-0.6852689,5.6442394,-1.8383323,-10.514429
6.7292957,9.964845,-0.46031114,-1.8876302,11.550908,-1.8731747
1.9950238,2.757729,-0.69527954,-5.7210665,8.6477165,-9.4073925
0.579247,15.752423,-1.7154016,-1.5570638,17.335917,0.043443
-2.0137947,5.976966,-0.15861101,3.5308554,-0.5565159,-5.3629003
0.799299,-1.2413143,1.8481245,18.577932,3.0102184,-2.3384924
-2.5019047,2.2249794,-0.37025058,1.9991815,18.600842,6.6033554
3.852174,4.491882,-0.66343874,1.8939828,-5.246333,10.529201
-1.3704251,5.0125422,0.16273287,7.204885,2.2840655,-9.442216
-4.1501617,3.1213484,-1.3953784,-1.7325834,5.165287,10.7971525
-6.3206153,13.860269,3.2278206,0.76783586,11.33894,-1.3120008
-4.8976355,10.694749,2.030661,-0.5152859,14.016365,-0.100376636
-7.263863,10.00325,1.1166555,0.98121,11.453319,0.7132594
-8.154645,9.062508,3.6637247,2.7102747,10.61327,-1.2488598
-0.73648936,-0.1822463,11.185332,5.171399,4.264583,4.8722277
-2.952671,-0.70389336,8.792599,10.107351,4.3356457,4.0766773
-1.9357007,-0.44025078,9.40319,7.4854007,4.30808,6.987272
0.45487782,-0.7980278,11.600426,8.713956,3.4766517,6.1687407
-10.38146,1.4854443,-1.178042,5.9832087,7.4793625,-1.6775379
11.672242,7.876861,-3.872761,-9.217623,11.409026,-4.3335238
11.959444,7.3206077,0.45061356,-9.429495,11.654547,-6.092026
7.1879435,5.3031783,-11.101349,-0.96094024,9.046946,1.2016184
7.562677,3.4467783,-4.4760237,-12.349384,11.745126,-0.759189
-3.0325975,-10.700376,6.6989717,9.2713995,-18.957973,1.5363696
1.21946,3.495713,0.72494626,-3.7582262,5.6182013,10.297846
2.7061381,4.3249793,-4.616383,-12.027256,-0.69204706,1.4524959
4.2912974,13.539049,0.5581965,0.46952504,14.076865,1.4567633
-3.0863752,-0.39514107,5.6723657,0.58561325,-13.140429,-0.36366552
-1.1363655,13.019832,1.8016367,-10.952976,-7.5395837,-1.2756155
6.5775394,8.8320465,5.8988543,5.5904274,-2.3096628,-1.0953766
-9.43415,0.49568346,1.9718379,1.671131,9.798481,3.303369
10.851138,19.462355,-5.376312,-2.283842,14.004874,-5.499878
-9.639628,1.3845739,-4.1969543,1.1897303,8.266125,-3.6749082
-2.251238,4.0231404,-2.9003644,-2.950777,9.600711,-3.646473
11.902698,8.556756,-3.7720118,0.4756219,-1.1333351,0.8276234
-5.4631467,2.2361703,-1.7819091,-4.7012706,8.100617,8.184217
9.114291,6.6317606,-8.409528,-4.928237,7.647436,-1.9701976
7.553353,5.1403313,-10.64757,-3.4012117,8.251255,-2.1818478
9.355681,7.0974884,-5.1584187,-5.4266987,6.5056505,-5.126567
11.461161,10.31391,-4.470439,0.10181788,9.846759,2.7452936
5.146005,7.5747757,-2.678022,-7.0468645,5.5106897,2.016207
6.237266,4.5858073,7.6016245,-14.258302,2.0925457,1.3784709
8.837233,4.097827,-0.22984159,0.17200124,15.655632,-4.7636433
-9.575591,9.791598,1.6219609,1.7184645,3.8047254,5.402983
-6.614819,-3.2529752,-1.6850001,3.2848852,-10.867342,9.919855
1.3928133,-1.4197408,-3.7989526,-12.174892,8.52418,5.640878
1.7859062,-2.1470268,-1.8649988,-14.745321,10.57201,5.3171053
2.273481,-1.5836544,-3.6186469,-15.029003,8.5091505,2.895597
-5.916839,-11.384312,4.785373,1.8584164,-1.4216982,3.8898797
-11.3188,-8.891645,5.435286,10.429905,0.50168806,-1.5421654
-10.043196,-6.3463674,3.7225657,11.358922,-1.4781058,0.3066146
4.4519835,-1.7154889,-2.984609,3.9636376,10.197204,-1.0483136
12.588684,2.7556314,2.811054,-0.17939074,4.5368505,0.012521838
5.817129,9.77546,4.8087454,-0.85842675,-0.6875243,-10.229537
7.615917,11.010428,2.3868756,-1.8889447,-1.5170662,-9.656818
-6.333562,5.435549,-4.4770694,4.3733706,12.311792,-1.3032601
-10.147377,-3.9659336,2.2251165,7.292625,-5.5956345,-1.2250283
-8.601372,8.486403,5.476601,7.6414137,0.40425125,3.0719743
-5.625691,9.973401,7.418093,8.638617,1.6101353,2.1060982
-6.8883862,5.931401,0.7398828,3.6136076,-4.5222497,-1.5191985
-7.8088727,7.0289345,-0.4514776,2.9650538,-4.786521,1.5639732
4.079449,1.1803391,-10.234018,-11.873255,4.704607,-4.6484723
4.7648587,2.7143583,-9.4882345,-11.956931,5.288496,-7.6668873
-6.8903923,-0.96205485,0.16964492,4.287972,2.7631884,-13.640796
-5.202192,-11.404859,-3.52553,11.183616,5.1723733,-1.7105552
8.328277,2.5113165,-8.580645,-8.71821,2.8839476,-4.073019
7.8331013,7.682412,-0.821356,-7.8965254,10.687846,-4.3203044
3.1370249,4.3791747,-7.012883,-0.70993835,19.916128,0.2970807
-4.451766,1.487451,-10.023256,-8.203244,4.6862025,-6.243233
6.35914,8.976602,5.172595,1.6335893,0.33052027,-1.3630761
6.149553,12.30591,4.361081,4.0183954,-1.4291091,0.11580554
-9.304028,-2.4266143,3.5588663,3.293742,11.245367,3.45824
0.056582063,-7.85685,-4.389469,4.1319284,10.687456,-5.7404737
4.003741,1.6605406,-4.9606547,-7.826884,9.5200405,-6.87817
7.8119555,12.997554,-5.5454755,-3.5219781,-4.4000077,-2.653932
5.2384343,5.4538717,-5.300666,-11.320217,12.390893,-0.9210154
-5.5044575,5.2810917,0.08863664,-4.2982564,-1.8542289,8.418493
-3.8608859,-7.7704363,-6.6943808,-4.6663313,5.861031,-2.316257
0.96153975,14.316761,-2.27261,2.9158914,3.5932999,-3.1105273
2.197304,15.957892,-4.57924,3.4123223,2.6867905,-0.713258
11.996017,3.6354473,-9.479934,-4.506706,-0.80921197,-8.788029
-0.031205678,5.0134697,-1.0477053,2.503824,17.061337,5.322756
12.284536,9.52395,-5.762362,0.12887111,1.1893139,-3.2633696
10.504361,13.6633625,-2.0397058,-0.1936365,15.437676,-3.2608573
0.9928277,15.77523,-3.3740098,-0.5661268,15.604241,2.9175835
-2.4703872,13.3037405,-2.544784,5.7784157,13.477502,0.014980111
4.585955,16.804373,-0.80563456,-8.7874155,-1.7057266,-3.1658285
4.2152705,13.200388,4.1471925,-9.537953,1.3605229,-0.66238064
-1.748769,12.371472,3.8831134,-11.280811,2.1266024,-3.6616716
0.9582613,12.052887,1.3526742,-12.298479,2.1373265,-3.686571
-3.0598218,12.264888,1.3228866,-13.444777,4.0699306,-0.21104494
-0.43941033,15.040132,2.7430108,-13.853699,3.8075278,-0.19727974
-1.8326371,14.719404,0.42691615,-11.106348,2.1312623,0.33188117
-2.7507596,15.673813,0.18744057,-13.045986,3.957907,-2.423906
-0.61467135,13.631785,0.54381317,-10.805188,7.497213,-1.4444634
0.8653707,13.47431,0.06885654,-7.2189965,7.3314905,-3.6041577
-6.5574727,-1.409742,-0.93013656,-11.443641,6.2070603,4.966758
-4.2758026,-1.815281,0.7920608,-11.679739,3.5331588,5.2345634
-3.9971008,-0.3149212,-2.9779606,-11.821899,2.6181755,4.2617497
-4.1789994,2.1276531,-1.4000962,-10.294327,3.0576372,6.321766
-3.3478315,3.7563784,-0.642519,-11.684335,1.7602322,3.5880392
3.5408404,16.33972,2.5905411,-9.227006,0.865394,-2.8801405
3.99855,13.994923,1.6443241,-9.221842,-0.32046643,-5.513086
1.9721723,13.313364,4.6519513,-10.068714,2.3323917,-6.5367103
1.6196897,11.755086,2.7420866,-7.228641,3.1830938,-5.8369083
1.2245505,14.170562,1.9173422,-9.041602,5.187946,-6.8237796
5.5317025,12.812056,7.366899,-10.185955,0.93332344,-0.8668153
0.53349054,11.84874,6.6963177,-9.826239,6.475893,-2.9984677
0.17688805,11.047069,4.638359,-9.06898,9.416657,-4.3286448
1.3847569,10.144183,3.5080283,-7.891188,7.9953303,-1.8856119
4.8533435,13.977909,4.1557617,-0.6713558,7.1741633,2.0613923
-6.9520288,1.1455423,-5.057743,-9.979444,4.6352496,3.7262547
-4.422812,2.1960762,-3.1804984,-9.738748,5.864744,2.2843282
-5.865837,5.542607,-2.9893718,-7.979544,5.54613,1.7048485
-3.5852342,6.69175,-2.7160904,-9.717408,7.143956,0.45428404
-3.981007,8.38308,-3.9909582,-6.8428783,10.204361,-0.38004303
1.9333854,15.543622,4.1477494,0.78279126,7.762093,3.6519372
3.7849252,13.386219,2.8668725,2.7823563,8.431287,4.326168
1.516188,11.157773,0.76521355,-12.220697,6.905412,-4.969347
12.340385,10.180868,2.531766,0.41150808,-7.385908,2.1022532
11.055823,8.318183,0.9719662,1.9300786,-8.803695,4.3277793
