0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
-0.23783614,0.39981514,0.3960691,0.7498875,-1.2949101,-0.00033473124,2.0339653,1.6699972,0.27426553,-2.016641,-0.7358817,-2.195991,4.2058024,-3.1486044,-2.7532098,-1.8620684,0.8880722,-0.97590625,2.9371846,-1.3501242,0.6979733,0.4529633,0.056622367,0.043948136,0.63810897
-0.16302332,0.3464642,4.452242,0.5060432,1.972718,0.25214428,0.340757,1.1474031,0.16897945,0.6306143,-0.56547415,-1.0341448,4.6863556,-2.2087152,-1.5801865,-1.2747784,0.7770737,4.275833,-1.6017103,-0.045226857,0.7270398,4.391151,0.4304818,0.8578985,0.34860045
-0.15524513,0.18447752,3.1637304,1.1582114,-1.5495676,0.059579745,2.545327,2.207689,0.29460105,-0.81401974,-0.9723178,-2.5223396,2.1036093,-4.097631,-3.2293932,-2.4786768,1.1783855,0.55071044,1.1992688,-1.3024889,0.19112803,0.36763933,-0.050734963,0.280012,0.7160349
-0.51770866,0.9760263,6.20462,0.6470012,-1.8713937,0.23370425,0.43564427,1.3621237,0.14302717,2.562544,-0.51623535,-0.87803054,0.6533725,-2.7131505,-1.2924496,-1.4228891,1.4397537,3.08656,0.59893054,-0.4126242,1.006614,4.078682,0.25153124,0.5119909,0.44872037
-0.01771316,0.022605317,0.50443256,2.108259,-0.19390865,0.0141003635,10.741805,2.4481452,0.029789133,-0.106961384,-0.23999543,-0.43963557,0.22140521,-6.4317393,0.3016762,-0.53659236,0.1956392,0.40717953,-0.029541865,-2.4496367,0.05073921,0.24170297,0.026205698,0.079652935,0.7144955
-0.14950734,0.22545083,9.209943,0.6368715,-0.2573147,0.26942694,0.54323965,1.0659646,0.12490017,3.1889122,-0.49268636,-0.6980821,2.0953074,-1.9921572,-1.1686182,-1.0860404,0.77238166,5.2882996,-1.5353627,-0.3613284,0.64664626,4.551218,0.5460566,1.0664027,0.30738494
-0.20193021,0.40515807,1.9729074,2.6788516,-1.2117827,0.052650195,3.8732204,3.068313,0.45367956,-2.3653586,-0.96797305,-3.5398772,0.82877755,-6.2511525,-3.1838305,-3.4193146,1.2403095,1.7130321,-3.5536005,-1.172233,-0.0142533695,1.0274049,0.049339626,0.3108699,0.65935
-0.63422763,0.7633837,5.357821,0.98744065,-3.8045473,0.19440037,0.7550194,1.8037051,0.21294045,1.0186878,-0.8282411,-1.3703249,8.145256,-3.4677856,-2.2763174,-1.9477949,4.565136,4.3475447,-10.813664,-0.46767354,2.4730823,2.9058173,0.32017136,0.79937893,0.48623496
-0.19149476,0.2641576,3.5012512,1.089548,-2.0542598,0.34659043,-1.3257014,2.0740592,0.26212582,5.672371,-0.83281124,-4.114085,2.5267286,-3.7054605,-2.7179105,-2.313196,1.4982433,2.4662933,-3.1160345,0.028693922,0.44349286,5.3041224,0.3591065,0.6548188,0.81629574
-0.00986738,2.3362534,0.7817545,0.12087047,-1.5338091,0.09822159,0.5519744,-0.10887075,0.004438392,0.6127186,-0.08544985,-0.18043807,2.2284849,1.9707901,-0.6878158,-0.17797746,0.85968924,0.8831641,-3.4032006,0.5238928,-0.8363273,0.8806563,0.13519077,0.13247281,-0.021551587
-0.4711359,0.620555,7.362573,2.1837916,-3.757996,0.18977356,1.9500862,3.6134582,0.5841055,0.93267924,-2.0212746,-3.7540317,4.648724,-6.907401,-5.755814,-4.8945127,0.39011607,6.4701667,-7.8990765,-1.1637946,1.2035475,2.9963229,0.39385635,1.2062685,0.9484115
-0.3228571,0.43273637,0.18220562,3.1611621,0.7974878,-0.015039169,0.4416822,2.1665382,1.1698097,-0.10783285,-1.5374987,-1.0484204,1.694979,-4.0671144,-3.328226,-2.4158258,2.5369992,0.5192778,-0.12044833,0.11399087,0.10384751,-0.10923119,-0.05862553,0.031235943,2.5001369
-0.12436722,0.2183223,2.4788694,-0.37443116,-1.5616899,0.079327404,-0.8336002,-1.231374,-0.10216298,0.5489408,0.7048692,0.48208374,0.9160776,1.0146683,0.5036246,2.8899941,1.027948,1.8978481,-3.0545824,4.1939416,0.57953227,1.2089113,0.061350245,0.27790436,-0.3003992
-0.13989025,0.20638621,2.5173776,0.16316979,-1.436831,0.13069296,-0.10182826,-0.094108686,-0.7097411,0.52174914,0.56977725,0.5462147,4.7467237,-0.15713632,0.62096286,3.5863354,1.2495335,2.0193133,-3.2252562,0.061333153,0.5866278,1.4817551,0.1417741,0.38300592,-0.054933228
0.100004636,-0.1338674,2.817206,2.5093572,0.50359976,0.09857017,3.291465,0.82029337,-0.00429974,-0.79490525,-0.12403924,-0.27284536,-0.105834216,-0.9783406,0.21114074,0.12276635,0.23608544,2.6892085,-2.2624588,-4.1198387,0.10336815,1.7130048,0.26924765,0.5003268,0.35180473
-0.27870342,0.34022367,2.622037,0.99055374,-2.1292174,0.25305176,1.197274,1.3816466,0.15959439,0.79224855,-0.7031785,-1.0214355,-0.4103562,-2.527394,-1.2958328,1.1589571,1.4100225,4.5016966,-5.601928,-1.6073936,0.7474721,2.9365323,0.14774388,0.1926674,0.38827035
