0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
8.168137,-0.84835744,0.357959,-6.7643886,0.4277592,-1.2322916,0.7330414,1.5498307,-0.096301645,1.6501139,-0.8779913,0.28764018,-1.4114947,-1.7160666,-5.0159054,0.19671647
0.9260092,-1.5360212,-2.9140937,-0.7692691,-5.290693,-4.8635235,0.059373442,2.5942812,-1.0974923,0.38217187,-0.68990946,0.9527309,-0.06837455,-1.7079645,-3.1015503,0.1632517
4.8271832,-1.8538667,0.1450368,-4.369449,0.13439001,-0.9838022,0.79390407,2.0883248,0.31368166,2.1136386,-1.4523646,0.08732255,-2.1815047,-2.3847783,-4.810517,0.42174107
0.7794969,-0.89911246,-4.511556,0.6028283,-4.9612336,-1.2954317,0.31566843,2.3833294,-2.206903,0.7110627,-0.26700264,0.04791595,0.1574549,-3.0758426,-2.7653897,0.14777195
1.2172426,-0.57447433,0.16349436,-0.6860742,0.057727695,-1.3145069,-1.126831,8.979997,-0.069955654,-2.285168,-0.6013704,0.25048625,1.773451,-0.6447736,-0.85236484,-0.8530108
1.1336038,0.045080863,-7.404984,-0.19141364,-5.206701,-4.3373876,0.4160956,2.5349247,-0.38927767,0.9337856,-0.037393548,0.25740752,-0.68728346,-1.5050799,-2.58257,0.2100838
2.7355635,1.960483,-2.60797,-4.1152315,-3.788895,-3.124445,-0.5617606,2.0269728,-0.23384255,2.3945065,-1.2054827,0.096324585,-0.4103824,-3.3148794,-7.6989493,-0.1781998
3.2874858,5.6128387,-7.347941,-1.8993412,-5.605185,0.7590726,0.9322395,6.1485753,-0.99235874,2.0246263,-0.1842978,0.3618888,1.7599833,-5.1917777,-5.181962,0.4283918
2.182333,3.19828,-3.2640765,-1.3271868,-4.8505516,2.7527783,0.9772271,5.0862503,-2.2503872,1.7720584,0.11928317,-0.16800988,0.83253145,-4.060432,-2.8896732,0.66013896
-0.38646922,1.3152479,-1.4637609,1.8586041,-3.3370209,1.1731778,-0.9541621,5.7601748,0.07696903,-1.91459,-0.38776988,0.1475827,0.21184835,-0.989245,1.5713183,-1.1398634
2.9989097,4.347621,-6.0647235,-2.316522,-9.287378,-6.473087,1.388312,6.2088537,-1.1443332,2.9672406,-0.39218712,0.1675892,2.738344,-9.237836,-7.097341,0.5902796
0.79783326,-0.3634794,1.2158592,-1.9003019,-0.22826563,0.58777905,0.953868,4.5472918,0.009189951,1.4754212,3.0581033,-0.3411916,0.66370535,-3.2161024,-1.0674906,0.1113939
-0.9160402,7.8211455,-3.6815355,0.435074,-4.6746173,0.21780637,-0.35279825,-3.3179355,-0.0927838,-0.42460835,0.85232615,-0.31951436,-0.84957194,-1.3996469,1.67038,-0.069515996
-0.19222338,7.2427273,-3.4443362,1.464935,-4.876275,-1.6611191,-0.9294081,1.5364995,-0.27147385,-1.678062,0.093633175,0.0026182155,1.2326111,-3.3968182,1.1097962,-0.023903567
2.427419,-0.34337163,1.1486484,-2.764421,1.489328,1.2873278,1.5737134,1.7094414,0.7958714,3.4255664,2.4653597,-0.36660478,-0.81387156,2.2545798,-6.7199945,1.6556255
2.175195,4.706441,-4.722421,-0.9650912,-4.7174964,-1.2209128,-0.22829682,2.160231,-2.1397793,0.1297992,-0.044340387,0.09405957,1.6944339,-10.433698,-3.6406548,0.0045538526
-0.672233,0.38926715,0.73405546,-0.6954925,4.0822168e-05,-3.3479056,-0.3240023,0.5878184,-0.9052352,-1.4836878,-0.08214986,-0.0755581,-0.85685563,-3.4555304,-5.949718,-0.2352595
0.9491519,0.04902578,0.9997351,-2.8390806,0.73964083,-2.2584846,0.8354849,2.1990328,0.25243968,1.1957237,1.8990259,0.041071273,6.3390827,-1.3221993,-4.3571005,0.32209617
1.0596963,0.50649834,-0.6265933,-1.1452023,1.2632314,-2.5666292,0.7596872,-1.7936977,-0.76495403,1.5442321,-0.23179185,-0.22534634,0.711657,-7.864633,-3.4468305,0.47629166
1.1000677,-0.36373842,0.4745575,-6.9100266,0.052180182,-5.1330743,0.33276197,0.7709433,-0.7466143,0.5278006,-0.3688123,0.9776266,0.11899313,-3.683565,-3.141675,0.15053941
6.3043556,0.9202416,-0.9317458,-2.8929863,-1.9611772,-0.6436308,1.8666452,3.2798843,-0.35690752,0.6202795,-0.5727693,-0.078825,-0.030301137,-2.452654,-8.873563,0.24138318
3.3569875,0.92694694,-1.4713838,-3.4182982,-2.571572,-0.20583145,0.9889456,3.6664653,-0.40806362,0.82463604,-0.40795267,3.3814144,-0.5741294,-3.4387023,-9.540559,0.47153693
4.111455,-0.09971593,-0.7018874,-2.9671504,-3.027426,-0.76253563,2.6295128,5.1927423,-0.39489192,0.90801036,-0.24429753,0.46316537,-0.7858625,-2.7368004,-12.110977,0.31977108
4.7864304,0.8950394,-1.5401186,-2.5592675,-2.2614055,0.5050373,0.9848748,4.1799827,-0.4278702,-0.08978031,1.8737752,1.8118776,-0.8460471,-3.073422,-6.2691293,0.25662032
5.723076,-0.8224576,1.6917722,-3.8217366,-3.9622722,-1.2822429,1.9411572,4.1750712,-0.3453714,1.6926584,-0.18898298,0.5345829,0.48602644,-2.8651452,-5.4512506,0.84643006
4.799387,0.76163703,-0.97917414,-6.321368,-3.4379838,-0.8565561,1.1916984,2.9671319,-0.33787626,1.4459366,-2.1612167,0.7107635,0.2122275,-3.2339876,-11.09515,0.68550897
9.761011,-1.2836505,2.5504377,-4.7528143,-2.4688346,-1.2405789,0.9548198,4.22107,-0.32635877,1.5887883,-0.22825843,0.11808675,0.5750495,-2.853618,-5.1472063,1.454388
3.7256222,1.615594,-1.9651004,-2.9807591,-2.9562485,-1.0179104,1.4632567,0.17838871,-0.10252717,1.6747262,-1.1982051,0.5957749,0.38327587,-3.1996486,-12.074804,0.59655905
2.7336237,0.1738236,1.0473713,-4.427274,-2.3181043,-0.5053283,1.3247403,4.6001706,-0.14827794,0.30461937,-1.3307325,-0.49264276,0.81444585,-4.0385547,-6.479887,0.029293273
3.4418988,1.2355459,-1.4271337,-4.1803617,-2.239437,-0.9154216,1.7063129,0.67700243,-0.18926318,1.5607986,-2.7857347,0.79901665,0.32816744,-2.2577887,-16.067446,0.4122741
0.89007705,2.979961,-3.8827176,-1.0385667,-5.1921597,-1.5222048,0.36891863,2.7136447,-1.9307669,0.7733687,-0.34206957,0.11754018,0.6958724,-13.976059,-2.0534897,0.1981995
0.14227903,0.85544,-3.1797194,0.80040365,-1.2731107,2.023769,-0.7568403,1.5219865,2.3177829,-1.2496959,-0.1612048,1.8900567,-0.069116846,-1.1164782,-0.04663391,-0.38407427
1.4841684,0.9084607,-1.1476271,-0.8141595,-1.5344241,1.690739,2.0553129,10.746698,-0.039307743,5.2593784,-0.25314692,0.10451697,-3.0894566,-0.90771514,-3.0697515,1.1650512
-0.015951002,2.0603468,-0.76711535,-1.1836194,-1.8168985,2.8400235,0.18975216,-4.0778313,-0.35529178,0.47661766,-0.16720173,0.18248427,-0.16827999,-2.592079,-1.0282502,0.2297419
