0,1,2,3
-2.6563652,5.113761,-14.303572,8.635774
-10.846881,17.339691,6.3599224,-2.0977712
-1.7216368,3.7305965,-13.736183,7.4978914
-10.094937,16.548925,7.5147448,-0.22160919
20.608185,4.4362235,-11.843899,0.9024402
-9.04429,16.975208,8.925264,-2.9361563
0.25988722,26.763784,-6.2695084,11.281785
-6.2480745,27.51088,-6.1466517,-8.331369
-13.590504,21.341843,-10.041037,5.8666496
14.993429,4.848339,-6.7360115,13.304403
-2.5316322,32.118282,0.78914523,3.0802143
-4.1271715,5.6057777,3.4073417,19.546783
9.067029,1.1573373,-6.133466,20.994392
-0.78762263,3.812645,-27.783638,-5.7243423
-2.3009377,0.08132277,-8.4928875,-6.5473957
-6.8914814,20.446291,-15.748217,-12.455617
6.306892,14.145221,18.047394,-1.5826242
-3.5803483,7.4217987,17.44113,15.219609
1.5418764,11.433155,17.774935,-1.8772405
5.804417,14.648513,15.031045,-0.6506699
-10.758519,14.404341,-1.3042097,20.569319
-9.0265045,16.558979,-1.747875,20.959234
-10.005063,14.803347,-3.3149998,22.081598
-11.232472,16.73583,-0.5519462,21.912533
-14.997158,14.41923,-3.1129112,20.399048
-11.052978,16.317926,-4.003076,19.527594
-15.112314,13.64173,-3.0147288,18.077698
-9.328571,15.468563,-4.8299212,17.56601
-15.284503,15.593963,-1.3398182,19.202145
-7.5502243,15.270656,-5.4552555,15.942042
-6.2623982,18.566832,-16.03749,-14.151909
14.093024,3.4009895,0.13251008,15.674799
-13.763232,9.921535,5.560745,-3.5162442
5.820895,3.9714708,3.9723134,0.4897457
7.0609875,17.78271,1.1562232,-16.21013
-12.263995,16.547974,5.2289248,13.780298
18.253962,9.117028,3.8812547,-6.2511024
-2.408574,4.8782673,-9.384447,0.6913258
19.157162,10.075263,5.27193,-5.7854958
2.6747873,10.203606,-16.032871,1.9800278
-10.482844,15.760114,-0.88146573,-8.067597
8.606883,19.789684,-4.82567,14.931964
22.69159,-15.8776865,-7.445401,-5.0378175
-4.8325486,26.4291,-7.244633,-6.37522
-11.963895,18.839535,-12.7261305,1.2985704
-4.8536344,29.275375,1.8873851,2.6740274
-4.8124347,23.427916,12.668818,10.964257
-11.200581,27.629202,-0.88613695,2.880588
-1.4143429,29.519375,3.0546134,8.0256
2.035958,9.06464,-1.9608074,-1.659656
-19.507864,1.4431854,-9.771756,-4.733734
-6.612705,32.60817,3.138789,4.458484
-3.3978028,34.037502,2.3435016,5.8724384
-3.8029094,31.611076,5.1296,6.724791
-14.027388,24.78115,0.6562121,-0.45114127
-13.47409,11.287281,-15.277486,-0.42179602
-12.907946,20.766407,-0.79071826,1.7291448
10.249179,16.423164,-4.2742033,11.29221
4.6107254,14.398233,15.558243,-1.0835114
-8.273374,28.80099,1.5120198,-8.023628
-3.4708233,28.616184,1.677892,-7.7129507
-7.234547,27.266993,1.6627021,-5.5862036
-4.1743236,27.810804,3.0425003,-10.445895
-6.7389197,27.270893,4.2558985,-7.7524896
-2.8208497,28.216036,4.801947,-7.838008
-2.459646,29.844707,3.0594358,-6.701795
5.204516,-1.8418885,-6.7344894,13.555435
4.503926,-5.100614,-5.132727,12.794734
-8.937722,16.683083,-9.547195,5.4062757
4.371329,18.807686,4.291512,9.435519
