0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-0.71921945,3.6283283,0.000119538294,-3.3778682,0.055790074,6.0520496,-0.13993403,-0.120050594,5.994415,1.0378836,-0.3485178,0.053245433,-3.99995,-1.9477577,0.652272,1.8872857,0.13105533,0.80031264,-0.02634717,2.0935194,-2.1654446
-1.1819144,1.7097477,0.08160989,-1.0021274,5.084624,0.8839197,0.050924916,0.048782457,-0.4682309,0.46015677,-5.795245,-0.52339625,-1.3163395,3.6132653,-0.7254587,0.34859896,0.44097,-0.36964768,-0.009722133,1.1124035,-3.7524958
-0.8901356,4.48881,0.019151963,-3.1115377,0.23090269,5.7518854,0.08730851,0.070895836,3.2586691,0.69810885,-1.1643385,-0.0064549632,-1.6115309,-0.41964662,0.1698263,0.6988548,0.21171527,0.18731923,-0.1865504,2.0658824,-3.2303843
-1.2640463,1.8355883,0.05919774,-0.6961696,-2.5535123,1.365939,-0.26976448,-0.29315466,-0.78160775,0.20783275,-6.2460423,-0.69121534,-1.3781242,1.8200701,-0.8282101,0.5485566,0.5166923,-1.4175334,-0.019096209,0.48608977,-3.9760165
-0.3397776,2.887113,0.0236979,-4.4725094,-0.043579508,1.7175747,0.66767126,0.5355875,0.39343438,-0.5597175,1.5712463,0.18630026,-5.2178187,-1.6678163,0.23921184,2.5881703,0.101074025,0.30127233,0.025927696,2.5426543,-0.2679873
-1.2243434,2.236699,0.025688818,-1.2176276,1.1545942,1.7774991,-0.09462747,-0.102809526,0.23134217,1.0378226,-7.762897,-0.3888922,-1.9116809,4.103293,-1.3978071,0.7132461,-0.2775493,-1.8296032,-0.0322488,0.77191794,-3.7637668
-1.2949531,3.9732718,0.07683799,-4.3933907,-0.7208299,6.317649,-0.18654868,-0.13169509,-2.3382854,1.9270194,-1.1646256,-0.18425749,-2.5902138,1.1457924,-1.7910956,-0.6345304,1.0733823,-2.5142179,0.33353788,3.0966437,-3.2482417
-4.033113,2.8469706,0.35351008,-1.2744213,1.1119189,1.5287775,-0.28333765,-0.21808104,-7.549017,2.159347,-3.942391,-0.71938556,-1.6215411,3.8702872,-3.9637334,0.6771396,2.1267142,-5.1163964,-0.01141312,0.50193363,-12.111342
-1.5862528,2.5532956,0.15910181,-0.48702955,3.429772,2.2594755,-0.15741093,-0.058053553,-1.8145462,1.6584849,-1.8737451,-0.19777302,-1.3603742,0.7195186,-4.9529724,0.50928086,0.60914034,-3.8947701,-0.088146806,0.54173136,-4.825147
-0.70790386,2.0610206,0.00906774,-0.37152916,0.6679788,-1.6252803,-0.010773147,-0.02227489,-2.5837352,-0.36658746,-1.720568,0.2814097,1.8810178,1.7370434,-0.7806027,0.5227545,-0.350042,-0.88440233,-0.362177,1.6635952,-2.082004
-3.144444,4.382102,0.14740969,-2.9412863,4.283829,3.5830636,-0.4792843,-0.39433926,-1.3780473,3.5918016,-1.584203,-0.3808706,-2.9033291,2.0638716,-4.2688313,1.5026466,1.1862571,-5.5693398,-0.01737189,2.138275,-9.266127
-0.21654303,0.52089715,-0.065380946,1.1803417,-0.09730488,4.376401,0.5114459,0.48197818,-0.02724719,0.09173941,-0.28718072,-0.0006192719,1.0099617,0.13211848,-1.549321,-0.7837197,-0.12838951,-1.909686,-2.769995,2.5189674,-0.6750631
-0.533494,-1.9971995,0.26166517,-0.06856774,0.23841834,-4.5894985,0.034013204,-0.047504295,-4.339581,0.20618673,-1.9142241,-0.4759646,1.300311,2.203729,-1.2075797,0.09519356,0.7739366,-1.574056,-0.0070218192,-0.22105083,-2.1644318
-0.9560826,1.286709,1.0952342,-0.90829146,0.7266081,-1.2543609,-0.065958515,0.17964354,-3.8603046,0.8611399,-0.8001441,-0.036643274,-0.50322837,2.8101346,-1.3927168,0.16898511,1.0136249,-3.310173,-0.31349137,-3.7197409,-3.9260578
0.1180076,6.486485,0.21601036,-0.51764333,1.3666478,2.500451,-0.1194328,-0.13196908,-1.4703413,0.39279893,-0.75920326,-0.3028783,-0.41474375,0.54508114,0.6095558,-0.1245475,1.6605508,0.80384165,-0.40990287,-1.0932739,0.38858682
-3.0109832,1.7017376,0.06675194,2.5247781,0.75200766,1.4048783,-0.18745627,-0.14198533,-3.8463497,1.3112984,-2.6742544,-0.31376266,0.9819153,1.91923,-2.6252294,0.06498922,1.099387,-3.8850822,0.0028778305,-1.6059722,-9.100452
0.068286106,4.312887,-0.013695547,-5.2057104,-0.029822731,0.53013176,-0.13593686,0.4776982,0.7288704,4.433569,-0.087647155,0.11085243,-3.4852917,-0.4860321,-0.29202098,0.9253353,-0.045221865,-0.38154635,0.10991252,-0.028785704,-0.5275695
-0.1614983,3.0694175,0.07622164,-0.35798246,0.23198536,-0.63272095,-0.130962,0.024413716,-0.6009678,4.195243,-0.42728117,0.12691768,-4.1598763,0.020542372,-0.6675685,0.28373238,-0.0131643135,-0.8684957,0.84115905,5.02447,-0.7012402
-0.17228462,5.3208747,-0.08019148,1.0578315,0.16374384,0.86322373,-0.1273343,0.20036635,-1.1241612,3.5021727,-0.90817666,-0.1975682,-4.9989605,0.88210994,-0.5033455,-0.8859006,0.3284403,-0.22973251,-0.16046816,1.4493659,-0.8771079
-0.56233513,4.826274,-1.0199039,-4.811086,-0.49936035,1.3828143,-0.16445525,-0.041232035,0.4999154,-0.41717595,-0.13657267,0.39691228,-2.4318273,-0.8256973,-0.4684061,0.24075489,0.09225852,3.304591,-0.059420954,1.1006038,-1.5571964
-1.2411429,8.590014,0.05904752,-1.5623207,0.22102095,5.0247493,0.6755689,0.15901306,-1.0011705,1.110412,-2.6860363,-0.27343535,-6.0701685,0.82219017,-1.3446065,0.46302807,0.56077725,-1.6857066,-0.034554273,2.755829,-3.7377815
-1.553266,5.859562,0.16876568,0.16540691,0.21139802,5.317617,-0.2941997,-0.24326687,-0.69043446,1.0522244,2.0251858,-0.18839717,-4.005757,0.8715713,-1.0770296,-0.3177922,0.66537094,-2.0626068,0.20170048,2.6520836,-4.699672
-1.2165847,9.884112,0.06665507,0.9372707,0.34337345,5.5876484,0.40365383,0.26016957,-0.665389,1.1668143,0.5855133,-0.15699485,-4.31813,0.567553,-1.4864137,1.1390064,0.5026542,-1.9851487,-0.23089053,2.6183746,-3.737143
-1.6248289,5.860867,0.14134051,-0.49035922,0.32721567,2.5574617,-0.36990288,-0.58253443,-0.39570084,0.7576008,-0.8154238,0.0041437233,-6.096142,0.16314833,-1.3276387,0.6325872,1.1995399,-2.4956496,0.15737554,1.9887902,-4.613611
-1.3206007,8.659893,0.10322231,-5.6672244,0.30613908,5.967213,-0.25963694,-0.11998254,-0.26076284,1.175887,-1.1785307,0.10541904,-5.3577857,-1.4596337,-1.5857108,3.0581422,0.17119735,-2.0971184,-0.0016964203,2.8492122,-3.8429227
-1.1362141,7.854878,0.043267988,-2.0807962,0.119706854,8.010189,-0.11295861,-0.36081344,-0.12457844,1.6006795,-0.15229803,-0.0677694,-3.878873,0.23030609,-0.84323806,0.4894329,0.42722398,-0.3624249,0.08058079,2.2396767,-4.237644
-1.1783812,7.000221,0.05288985,-9.349783,0.28089046,5.092787,-0.20172906,-0.19718625,-0.47292814,1.3111027,-1.3929808,0.17458014,-6.8888407,-1.9099927,-1.3910706,4.4854445,0.043129854,-1.8248597,-0.022893092,2.6020114,-3.7605462
-1.1461449,7.479936,0.07526835,-1.5233306,0.29323637,8.101747,0.07281156,0.094537824,-2.8348281,-0.068147466,1.6653956,-0.25662404,-3.7464552,1.7618614,-1.5609409,0.6094517,0.6686797,-2.032985,-0.11720744,3.331808,-2.4601834
-1.3145609,6.6494875,0.11503669,-3.1567404,0.3134319,5.060424,-2.5736272,0.07418307,1.3503021,1.4396182,-0.7774898,0.17354318,-4.383084,-1.5914583,-1.2113945,1.9818088,0.15539254,-2.5637808,0.019440567,2.4145787,-3.9874177
-1.1692609,9.8979025,0.07158286,-1.5066227,0.2930859,11.737396,-0.034773927,-0.038204744,-1.6263632,0.6496037,1.3563081,-0.22267482,-3.8761303,1.240966,-1.4420279,0.75451887,0.5887064,-1.9047544,-0.19328658,3.0782158,-3.249814
-3.9017432,1.4762231,0.17196514,0.13498488,0.6235563,1.2284497,-0.18883182,-0.15526803,-2.9988632,1.3062512,-2.2905107,-0.29573825,1.1458663,1.6912171,-4.2530684,-0.49185213,1.2008288,-5.7780323,0.014550793,-0.96953666,-11.968083
-0.64801174,-0.8565982,0.06327047,0.039647117,-0.13560499,-2.978644,-0.05084422,-0.045898333,-3.3636878,0.2249042,-1.1586536,-0.7700133,0.22641817,1.6287378,-0.31147915,-0.04224446,2.8429916,-0.5148862,0.34532982,3.6226928,-1.839998
-1.0932498,-0.2587914,-0.1819349,-0.5368875,0.14249614,1.780343,0.0012015892,0.13372788,-1.4637641,1.1258986,-2.7336133,-0.09575771,-0.94227123,2.0174723,-0.4109595,0.4026728,-0.10787975,-4.346157,0.0951328,2.710022,-3.0865743
-1.3963411,2.6919315,0.00031499163,1.5545151,0.28845343,0.72828484,0.1826966,0.1387608,-2.374355,-0.9869272,-2.0151384,-0.17722136,1.5052675,1.2672786,-0.33685192,-0.750883,0.14207506,-0.03266758,0.013154197,-2.508035,-2.509259
-0.91334724,1.2576643,0.32456064,-2.3489442,2.53711,1.1656735,-1.9294691,-1.6541495,-0.97698015,0.27679834,-2.284386,-1.4680812,-0.084191345,2.968645,-0.81248695,0.81480384,2.133885,-0.45985463,0.093331225,-0.28340676,-3.350333
-0.85754186,1.4062881,0.10762243,0.52556396,0.4180316,7.9003067,0.16232994,0.33188978,-1.4826534,-0.11711014,-2.0917888,-0.2679871,-1.1566806,1.4893621,-2.605851,-0.1621554,0.95902586,-4.0156956,-2.1081352,2.4079096,-2.5053806
-1.1843332,-0.64828503,0.08635133,0.53750116,-0.12128618,-0.682789,0.81807315,0.27491522,-0.51795626,-2.6316636,-1.2089748,0.39089715,-0.106773466,2.7849545,-1.1628808,-0.37416902,0.32130727,-1.4243923,0.0015743249,1.1676172,-6.363949
-0.012413053,2.515563,0.06635064,-3.750554,0.07328876,1.4953755,-0.034065664,-0.00093096914,0.5704909,-0.5215256,1.3067853,0.14976217,-3.712657,-0.7928343,-0.37018034,1.6157135,0.45261192,-0.57691866,0.15348953,-3.9800076,-0.12357624
-1.1095895,-0.1546724,0.12300498,-0.071608506,0.42665586,-0.11240885,0.24391171,0.091620095,-1.1234556,-4.5872393,-1.2629449,-3.0407195,-0.0019375775,3.1022325,-1.5077609,0.12401494,0.5647607,-1.9364142,-0.0078037404,0.78002155,-5.137626
