0,1,2,3,4,5,6,7,8,9
0.4226137,4.9376493,-8.979113,1.5461915,2.1572127,-0.27689475,-0.19844182,2.530766,2.3419144,-6.369671
5.812927,-1.2875893,-1.9553964,-0.36130238,0.50058395,-0.8077649,1.6419321,6.630213,1.3785391,4.3258457
0.95301837,6.516186,-8.277061,-1.5998361,2.9893625,1.2772497,-0.39094073,4.0188313,1.8961116,-4.631785
4.38747,0.8345322,-1.0839546,-1.3827715,3.7853458,-0.89047205,0.2513785,7.823884,0.020318849,4.3722296
0.75975,7.450328,-3.297948,-5.6389613,-0.863446,1.4550979,1.9212155,1.6499581,0.79609513,1.2296753
6.6995974,2.9531949,-2.0433517,-0.6177986,0.8692795,2.2091944,0.53693557,7.108067,0.45048377,4.566763
2.8827617,-1.200059,-8.62096,-0.16590118,-1.2575955,-2.0602937,-1.104907,6.185951,4.0147634,3.166769
5.061092,0.699867,0.25311178,4.917725,1.3661443,-4.935746,0.19461599,14.484788,9.779207,7.13604
6.1993866,-0.47536862,-0.577465,2.590437,-1.0519369,1.9302783,-0.5664492,11.659388,1.8811442,0.52789146
2.0758693,-1.2512596,-0.013657353,1.0415038,4.3222613,-5.0157037,0.14151587,3.5503001,-0.5064292,5.18329
7.106807,3.1132286,-3.5861833,0.87359273,0.052396495,-2.60135,-0.40846103,15.39432,3.4980838,0.5780105
-2.3610873,0.12886138,-4.6426992,-0.49483332,-0.6732203,-3.8002317,0.9437806,2.0786517,5.6323986,-0.604873
2.629843,-3.8073757,2.08637,2.3462873,1.8066962,-1.7185454,-0.1827867,1.0156059,4.230397,10.631618
3.594933,-0.2247312,4.6209083,5.1033974,3.033941,-2.5283563,0.12276284,4.0521746,2.9772995,7.3697124
-0.18438171,6.6577168,-3.557334,-2.533902,-3.2663846,-5.5105352,-0.027111944,1.9628651,0.40149787,-3.8344054
3.9792984,-0.9586516,5.0992026,5.961554,1.010869,-2.326235,0.36219338,10.0569725,5.5091395,3.7324345
1.2641643,-4.290322,-15.865408,0.68614346,0.24445644,-0.8937824,0.15220931,1.2029184,2.7791374,0.24374174
3.703823,1.681946,-7.228519,-1.8174576,0.94252175,3.93082,-0.21147573,2.268502,0.7755296,3.6673203
3.724485,-1.6176708,-14.670505,-0.5046146,-0.002337375,2.1124415,0.16719727,0.071247175,-0.31497937,3.749035
1.648302,-4.6778407,-12.513136,-0.36224928,-3.2898421,-0.3657188,0.037406076,2.5422854,2.435113,-1.3844849
2.0075836,5.32032,-10.616099,0.09044431,-0.27431577,-3.2520447,0.23935658,7.8664975,-0.34665293,2.7066085
1.2543851,5.4532857,-11.816704,-0.6438279,0.60064405,-0.8696758,-2.3848207,7.8677864,2.9461186,3.3163936
1.4489793,6.955836,-11.096315,0.46878335,0.9081559,-0.852408,2.278791,7.734528,2.6434915,4.1825094
1.2047619,6.6389203,-12.927096,-0.1483913,-2.4305809,-0.12803997,-0.100823276,8.880982,1.081858,1.3888655
0.61414325,8.05358,-8.06738,-3.9525251,-0.5070142,-1.2241588,0.08549831,8.901465,1.194372,2.1220636
4.8256173,5.502382,-10.782364,-2.4150023,0.3863882,-0.3906103,0.9491255,7.345475,2.3276303,1.797727
1.133657,3.8676486,-7.707746,-5.6393433,-1.2992439,-0.25972223,0.055573188,10.13082,1.3706738,1.4876878
5.116899,6.2300935,-12.069602,0.6514453,1.6775401,-2.579302,0.34413508,6.8534036,5.0595074,0.72368395
0.8869289,5.312765,-7.7130103,-2.2486515,-2.123134,1.3843079,0.2259748,8.532609,0.54624224,4.057599
6.7623434,6.8685403,-8.593472,0.46356565,3.4589386,-1.4408462,0.010861612,5.5182467,6.662462,1.3887217
3.969746,-0.6759838,8.189875,2.9867198,2.822395,-3.6269588,0.1182044,10.67787,5.6800613,5.014904
-0.116707474,-2.451905,-2.1407588,1.8201336,2.5135424,-0.07012118,1.0692524,0.8543482,1.1211659,7.764759
1.7488921,2.9620726,-0.46184987,-4.273509,0.7622051,3.8924644,-0.82230663,7.498635,-1.2020134,-2.4360476
3.8432832,1.1978225,4.5187583,-6.634451,-0.74408257,-0.14716002,2.5828402,1.3486207,1.7083665,0.7966688
2.002738,2.6610866,4.1010056,-0.80957097,-2.8168802,-2.2062924,0.015756434,7.838307,2.0401912,-5.314362
0.8956197,12.342982,-3.154876,4.401283,-0.51502573,-0.7131227,-1.689411,3.8365817,1.6862072,0.9226633
-1.1107773,7.7656918,5.1506763,0.9210107,0.67180115,-1.9816314,0.072726056,4.953865,3.1549633,-4.110312
-5.891837,-1.837091,0.05067387,-0.6701703,-0.44923583,0.7887204,-0.39243284,4.0556545,1.9371042,-8.149846
0.14328519,9.85062,4.622477,1.6244733,0.4690777,-2.6932535,0.45718223,6.618257,1.675741,-1.189572
1.5423502,7.4115925,-7.3165045,4.367975,-0.27201727,-0.4330765,-1.1798124,1.241623,3.0203319,4.6640024
3.5145223,2.6403565,-3.502804,0.81395394,-4.0007224,-4.0769463,-3.5002053,0.5230233,5.0338693,-0.09546332
4.507789,6.9742775,-4.705594,0.6302336,-0.7632426,-1.909395,-0.06980592,6.5373588,2.32265,-6.037111
4.3120217,-0.82604665,4.4279685,0.43347672,-2.9655716,1.7595826,0.20524354,-2.3914344,9.751047,0.64214885
5.348881,0.96820605,-0.50593644,7.32387,1.3582275,-3.509751,-0.0017699801,11.931047,6.2953916,6.9594474
2.287323,1.8286796,-0.70987844,-1.2246042,0.7708693,-2.2991865,0.11589875,8.226638,12.063846,2.094475
6.228617,1.0807593,-6.597201,-1.0614704,-1.1672608,-2.1159146,-0.88735557,12.652869,6.021752,2.6783278
2.371267,5.231851,-10.580491,2.2870257,1.1748495,-2.3476555,-0.53254217,13.945789,0.67801875,0.39637083
7.817523,1.6010898,-6.3601217,-0.3573735,0.23182777,-1.1246487,0.060380057,10.037651,6.7107935,-3.4384723
2.8246636,5.0223866,-4.9606338,0.29454324,4.628851,-2.2003527,-1.4650811,15.010604,6.8811126,-0.4892656
0.67328864,-0.09264697,2.6481307,-0.6822674,6.5487585,-0.5881967,0.21010043,5.453055,-4.4008255,-0.78404397
-5.5992947,5.8799357,-6.797862,1.4489193,2.8165383,-0.07054142,0.46003684,1.4325502,-0.8487917,-2.9676409
1.8903003,1.5494041,-7.1910834,0.015503582,1.044549,-1.2175804,0.31442016,14.861957,8.66776,1.116736
2.5768178,1.5368748,-5.452123,0.34962133,1.1285235,-2.1395202,-3.2343094,14.679681,4.0152183,0.9095238
5.129866,-0.05241146,-5.770013,2.7719483,-0.14166053,-3.081202,-0.5428712,14.700193,6.694647,-1.101623
6.6697226,1.0679854,-1.6740584,-3.617441,-1.7465686,-2.7401426,-0.08869006,9.657947,8.880914,-2.5830312
