0,1,2,3,4,5,6
11.708055,2.7762241,4.613523,5.1198225,-6.523985,2.1655076,5.865294
-0.039814092,3.4184399,6.8262525,-9.439374,-5.50515,-1.3668919,-1.2307503
9.3873005,4.7339835,5.8895836,3.3219523,-6.5716825,1.4251527,7.336866
0.4375894,2.5831456,10.317958,-8.392137,-3.3947878,-2.2848206,-0.9767575
0.19287936,0.7303977,3.4878979,-2.2783928,8.80934,7.5341887,-2.66005
1.1040667,1.4606603,9.897053,-9.0062,-5.6085606,1.9870789,-1.9162327
8.614927,2.3069384,13.435109,-2.0450068,-1.3798549,0.35575414,1.2910076
1.930236,3.6918828,13.993553,-11.877528,0.06880874,6.3099113,8.794791
5.48394,-2.5604632,9.131298,-5.042987,1.4248722,0.33019188,5.573876
-4.4485536,1.5888069,2.370174,2.9481242,4.2633085,10.240744,1.1829365
8.6776,0.39653888,21.142298,-7.43398,0.4255805,0.735373,9.484463
0.5181629,5.409266,3.058389,-7.880993,1.9418114,-2.6426578,-2.2472913
-1.6747754,-0.5337049,-0.80711854,-9.3245325,-0.83155656,12.5298605,2.6322021
-2.446619,2.4216769,0.9553456,-12.51748,-0.73060405,8.075244,0.13211216
9.087119,-1.022214,-4.3308625,-10.453612,1.154038,-4.1103263,0.19644445
0.78002185,-1.9704264,2.702177,-11.906121,-3.8549535,6.2834187,8.965003
2.2365444,-8.921302,6.473473,5.8146996,-3.3097198,4.5146656,3.4187224
3.9727356,-4.3267922,4.1988645,1.642565,-10.475628,-0.40854317,-0.60059065
6.536089,0.114414416,4.6405234,2.5904155,-11.654521,0.021156188,1.3410075
2.2582345,-10.144573,7.7605424,4.6569214,-0.5849211,1.1629351,1.6970432
14.102924,-2.4534624,7.1598682,3.5145447,0.7516611,1.292343,7.287974
14.385603,-5.2044773,8.22969,0.5680675,0.8591108,2.8035033,5.58509
16.209146,-2.102956,10.227373,2.833731,0.9898762,2.7868106,5.1726418
12.008486,-4.4500475,9.084957,3.6776965,2.86717,2.1366885,4.9685307
12.585249,-1.1554345,9.280181,1.7621335,-1.9464844,5.7946286,8.293474
14.35286,-1.962361,6.305234,2.805394,0.43417913,4.9824715,3.7366192
11.188881,-4.3290668,8.579767,4.2587447,-1.9983184,6.482563,7.737015
16.196646,-1.8094081,5.8314447,0.71174407,-3.1478693,3.64381,4.2909503
10.3380375,-1.7432426,8.299323,2.6188653,1.501557,6.504169,7.99472
18.133404,-0.65823346,6.0624137,-0.1682976,-1.8649724,0.7317565,2.3280542
1.3683485,-3.125306,4.6121974,-12.051212,-3.7958884,4.2400136,12.346336
1.4713105,0.75628155,-0.6981081,2.344023,2.2993433,12.439261,-1.0245689
3.9192562,-0.4203773,4.3160963,-6.2421947,4.629166,-4.2127,1.6612921
-6.022394,-7.3432837,3.8787696,-6.3206315,-4.354818,-0.26516768,-2.7556877
-2.4241269,0.22240798,2.2436748,-7.7091303,1.8211921,-9.627221,5.907068
