0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
-1.1369679,-1.036927,-0.92050195,0.12148914,1.0335352,-0.70518833,0.2548939,-0.21420607,2.5612094,-0.6140026,0.3025796,-0.098256506,1.0356642,-0.95555407,0.2991505,-8.398035,2.816337,-0.3268728,-0.75229865,-0.27958083,-0.5151569,-0.5184898,0.7713514,-1.5613731,-0.14204457,-0.8324503,0.3400112,-1.2190882,1.7084868
-0.61431485,-5.956443,-1.7448406,0.19563174,1.2664194,2.0186427,0.7898312,0.12694208,-1.0305665,-1.5924875,-1.215758,-2.796767,-0.41617948,-0.4945304,0.66905534,-0.71767706,2.114897,1.2740332,0.57407534,-0.5175539,-2.05392,0.23613624,0.8338726,-2.1922746,-0.19885735,-1.3620518,0.12882456,-3.0129962,-0.4310432
-1.5467484,-1.1915202,-0.85167116,0.057784613,0.8337435,-0.6652756,0.17648026,0.03938715,2.087646,-0.5438374,0.08743634,-0.14484239,0.23955634,-1.329882,1.3199638,-4.5835195,2.9728034,-0.16125698,-0.7811313,-0.31930423,0.47633752,-2.1056087,0.95566314,-1.3791796,-0.12303768,-1.8258071,0.43469656,-1.3302461,2.5064647
-1.0297288,-4.753698,-1.4617511,0.13256788,0.7621041,-1.0791638,-0.06390705,-0.79828644,-0.6362063,0.7458347,-3.033195,2.305951,-0.4665059,-1.2134407,0.81999165,-0.67903745,2.0327077,-1.2388963,-0.9099302,-0.49548483,-1.7339221,0.34530246,-0.038854484,-2.040735,-0.1919801,0.44560206,-0.39387026,-3.0895987,1.6402961
-2.9069307,-0.5645663,-0.6528304,0.005115642,0.1974829,0.032826453,0.040609717,0.118954614,-0.14290418,-0.21820433,0.055841736,0.06258538,3.168136,-0.4332422,2.2108004,-3.1876988,8.793175,-0.1633619,-0.21406567,-0.10179065,0.03155598,-0.1936419,0.07772701,0.09072477,-0.072862744,-0.5048135,0.33603224,-0.12439319,2.4005902
-0.40664557,-5.586146,-1.6236615,0.10145962,1.5604327,1.5017469,0.14872389,-0.25144312,-0.6741148,-0.6220263,-5.965065,0.67542154,-0.3251327,-0.9035147,0.5750556,-0.9162716,3.1843183,0.2359471,-1.1181623,-0.34972584,-2.606805,0.17952228,0.14091976,-2.256825,-0.1608659,0.780569,-0.12909172,-3.1785915,0.5762266
-2.6895802,-3.388875,-0.7608863,0.25812247,1.431226,-0.9822569,1.0951537,0.5164806,-0.757874,-0.70537287,-1.1551298,0.25337875,-1.7346944,-1.9468553,1.9597076,-4.280425,4.128875,0.018271571,-2.9620728,-0.90218943,-2.7123291,1.5037344,-0.4582827,-1.0485603,-0.3346208,-2.2354786,-0.81415,-4.390947,2.658456
-1.5831357,-6.440234,1.1135226,0.23253492,2.4177287,-1.0246315,0.79266554,1.5297093,-0.87708515,-0.70919,-3.1380763,0.71392214,-0.82891786,-1.6356294,1.7127506,-2.7141547,4.766413,0.49936882,-3.3332672,-1.207899,-3.3050327,0.43144104,0.8953817,-3.7389698,-0.48966095,-2.968631,-0.3239758,-6.303136,2.2793188
-0.7870754,-5.840751,-2.1685588,0.18117946,1.538667,-1.3781123,0.55219465,0.45412382,-0.76626647,-3.5976326,-0.6536884,-0.056733545,-0.71421,-3.6633081,0.8681673,-0.9216899,2.112478,0.0340943,-1.7005869,-3.2551644,-2.6723154,0.33267453,0.70290744,-2.7902796,-0.2719656,-1.5181185,-0.23258018,-6.762691,1.2182654
-0.62716657,-2.5412998,-0.53244126,0.11911121,0.21252243,-0.34544504,0.03249461,2.4791672,-0.54868627,0.4196477,-0.463267,0.3874053,0.34330565,-0.7681066,-2.2583354,-0.37530193,-0.11324571,-0.016839886,-0.5337978,-1.3966022,-0.11688738,0.019512793,0.07196551,-0.44158822,-0.23012456,0.2961576,0.06965526,-2.8476064,0.009002826
