0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
-0.24032089,-0.011432697,-1.0794256,0.8772093,10.045981,0.17745513,-0.09519729,-1.048308,0.3500616,2.108071,-0.011213033,0.19568,-4.1616616,4.217743,-0.6479527,-2.6207135,-1.9223368,-2.0551836,-3.0468268
-1.0826519,-0.0010432326,-0.6143079,3.7960246,-1.447943,-3.7993174,-0.03889116,0.32726488,0.9043663,3.782332,0.04657842,0.30949086,-1.1343865,-1.006562,-0.27153265,0.5415876,-2.8796985,-2.566816,0.5126512
-0.10814175,-0.008906094,-1.2361442,-0.25477758,6.361132,0.12994802,-0.10754033,-0.9472325,2.1087122,2.3550804,0.0011599228,0.2354097,-4.655205,4.4991865,-0.71604943,-2.8206265,-3.1409163,-1.5520011,-2.2914765
-2.0625482,0.0016027724,-0.3702672,3.7303047,-1.0811251,-0.46624044,0.110566705,0.07233264,0.30825984,2.3290498,-0.9350381,0.4235393,-1.8608042,-0.5048024,0.41659328,0.42647,-4.9525056,-1.6434085,0.96708643
-0.23807356,-0.0020931193,-2.7684002,-3.214461,-0.744066,-1.8910407,-0.062767215,-3.082981,-2.0199323,1.3295783,-0.059326727,0.30009758,-1.9395487,0.37753105,0.44196808,-0.03566527,-2.965505,-2.5069103,0.41999102
-1.0498807,0.00027960862,-0.92006636,3.7357676,-0.032152344,-1.1580337,-0.028864719,4.0761957,1.1344842,3.0436325,-0.0108971195,0.2529041,-1.0738628,0.051715508,0.1326645,0.30475295,-3.6693778,-2.6442494,-0.0356873
-2.847901,-0.003906555,-1.4019684,2.132831,3.0775838,0.24123934,-0.21355778,-1.1078812,0.5451207,7.424713,1.0280592,0.8375946,-3.8626122,3.9174676,-1.7128032,-1.0081549,-1.221609,-1.2479758,-0.6004286
-1.3106449,-0.0019846237,-0.83927584,6.710007,0.73304695,0.108288586,-0.054923695,-0.8427419,1.071781,13.111662,-0.013475853,1.8374107,-3.1125798,0.85585725,-1.0767488,-0.40512982,-2.2074401,-2.0119612,-0.15032895
-0.06767518,-0.0016915235,-3.6123986,4.657726,0.9480799,0.6946605,-0.08018102,-2.6564937,0.624905,3.9172542,-0.022416273,0.3272785,-7.5309744,0.7073846,0.9182108,-0.73913413,-2.7895324,-2.6998003,-0.36216062
-0.9909327,-0.0022018123,-2.53211,1.7612904,-0.07156395,-0.08165613,0.00934469,-3.6499069,0.2670874,2.8099344,-0.012820293,0.12884031,-0.14054233,-1.9118665,-0.22295259,-0.03486884,-0.6012848,0.26425406,-0.013363348
-4.3160725,-0.001309396,-1.5899432,6.6591325,1.5394485,0.2897132,-0.11891223,-2.2030923,-0.988767,9.968403,0.04599571,0.7927605,-5.175361,2.0686977,-1.1529663,-0.8033122,-3.367148,-3.35675,-0.3602297
-0.063188486,0.0001305293,-0.24171576,0.6742995,1.8806462,0.46653724,-0.059560362,0.51527333,0.21439476,1.3683631,0.089970596,-0.58845174,-2.43713,1.092542,-1.801713,-4.942429,0.5574967,0.13626036,-0.31938642
-0.7427444,0.0016140805,2.710129,4.772123,-0.9468756,-0.016881492,0.00662722,0.24290723,3.2523253,4.333644,-1.9007379,0.5241552,2.8271651,-1.2414988,1.2098792,-0.62792367,1.2477425,0.61055773,0.341676
-2.4109962,-0.005998452,-0.86199206,8.832648,0.10842716,0.20098671,0.25431833,0.43335217,5.0302114,3.057156,-0.37738582,-0.47348082,-0.53359485,0.2703919,-0.46748218,1.0673413,-0.35447234,0.1534632,-0.9850503
-1.4269079,0.00013877031,-2.380181,-2.6802487,1.0717571,0.9079139,-0.2033658,-0.4111581,2.152566,0.30732882,0.00066558924,0.08610479,-6.9219956,-1.81438,-1.0355374,-0.37127566,-1.5705479,-1.02934,-0.26456767
-1.5168812,-0.00058098254,-0.5232906,6.2019396,0.71566457,0.7580878,-0.86363894,-2.979262,1.8375742,5.0396805,-1.1792456,0.19095951,-2.7278054,-0.49803627,1.0239862,-0.79592425,-1.685728,-0.7150809,-0.52892584
0.16606133,-0.0070721153,2.0877156,-3.4837515,2.0869446,0.057893988,-0.1459472,-0.35249293,-1.375715,5.458742,-0.15002838,-0.25389215,-3.3081222,0.89373446,0.8801899,-1.4478104,-1.4381616,-1.3996484,-0.6147448
-0.4564246,-0.03875014,0.27289566,0.8425814,2.9650304,-0.663289,-0.16397747,-0.7409067,0.26215526,-0.5273758,-0.0013521806,0.12629339,-2.6778746,3.1642225,-0.18474376,-1.1319858,-2.4669197,-6.5153284,-1.8647994
-0.1737391,-0.0037255902,0.62677014,0.3418636,2.177034,-0.61144465,-0.41137594,-1.5703698,-0.54933506,1.2284784,-0.015664537,0.09290177,-1.9120486,0.97547466,3.2797227,-0.2434202,-2.5806477,-5.9825683,0.38646197
0.37399027,-0.010154825,-0.71605057,-0.4109163,4.9364376,0.6438196,-0.393628,-0.549567,-0.00024629166,4.832162,-0.007841644,0.09092215,-2.9425018,1.0063854,-1.5391757,-1.4955052,-1.2211246,-8.018228,-1.2608588
-1.3526099,0.00014542147,-0.13764328,-0.3619695,3.045838,-0.13388112,-0.0011142312,-2.8607683,0.9968958,4.2342424,-0.13615067,0.37703317,-6.488123,-0.18472263,-0.13907109,-0.26943925,-1.3962677,-3.004939,-0.11902953
0.09309312,-0.004080177,-0.7729033,-0.29072747,7.2433662,-0.28035352,-0.09900038,-1.8367089,0.006372639,4.366604,-0.0448317,0.41875586,-6.836702,0.37033734,0.560801,-0.03759433,-1.8235402,-2.33843,0.22100388
0.20392005,-0.0032622898,-1.396354,0.7438795,2.036556,0.2445438,-0.04501186,0.08218911,0.46738032,4.4340477,-0.1026316,0.3880239,-7.915175,-1.1464195,1.7146397,-0.58018464,-2.447138,-2.3295598,-0.37306398
-0.24217449,0.00020788205,-0.63452196,0.5547832,5.9684386,-0.42336226,-0.07151198,-5.6471877,0.35149407,4.5368643,-0.02602793,0.41646674,-4.947569,0.71681416,-0.2403259,-0.022553753,-2.5387435,-3.4877272,-0.2281629
0.5058775,-0.0012059435,-1.0959114,0.8551515,-0.01939217,0.7840032,-0.13057518,-4.8822913,0.5538296,3.7725,0.6551309,0.21429066,-5.2528224,2.3553927,-0.12867837,-0.73079807,-2.0514488,-5.486118,-0.6357179
-0.025338676,-0.00042427538,-0.5236706,0.46557793,3.4847317,0.07932812,-0.036784235,-3.235835,0.2584944,4.2589874,-0.017560417,0.3832115,-11.023011,-0.503642,0.80132425,-0.3919794,-2.2538776,-2.8820016,-0.024200955
0.741678,-0.000931809,-1.3859793,0.9740659,1.674483,0.18353371,-0.109441474,-8.900407,0.38870427,3.7918081,-0.04574908,0.32776627,-6.015166,1.5130155,-0.3123049,-0.57901573,-2.7174408,-4.8726125,-0.35314253
0.09112951,-0.0011552434,-1.4901946,1.5544816,3.9823914,-0.13326845,-0.08143246,-0.49970892,1.2540884,3.9215143,0.14932287,0.4493217,-10.4828,2.810579,0.36309886,-0.3494114,-1.5671608,-1.830558,-0.3580079
0.63212943,-0.001267229,-1.3752418,1.4109509,5.726093,-1.6861135,-0.09176953,-3.319943,0.48286262,2.5674303,-0.06733777,0.2529768,-8.530742,0.7684864,0.0804526,0.002314543,-3.037266,-5.7774544,-0.27487236
0.15624005,-0.0042068297,-2.1041286,2.2075458,5.909529,0.23016596,-0.13126904,0.19407615,1.0327959,4.9416776,-0.6382353,0.4583542,-8.588268,1.6130364,-0.30970594,-0.12384029,0.7291125,0.3757711,-0.29830673
-1.1648743,-0.00053373113,-1.10875,5.646309,-0.0006148474,0.285918,-0.4140632,-1.2564621,1.3521858,4.1655183,-1.1941787,0.8751224,-2.759654,-1.1441381,1.0942065,-0.45445788,-0.53172714,-4.597522,-0.12868126
-0.867495,0.00018059161,-4.1583476,2.84847,0.18474963,0.1647569,-0.57145387,0.49125576,1.2534883,2.1815867,-0.0035803972,1.3507715,0.3951796,0.7975011,-0.07387723,0.41098166,0.9011992,0.6019419,-0.21408093
1.737595,0.0034904478,-0.9495119,1.2293344,-2.0045164,-1.0641483,-0.059153132,-1.6283983,0.23831998,4.1771064,0.4764116,0.42495972,-3.29352,0.84515774,-2.4291308,1.4333578,-1.5878886,-4.821058,0.62859833
-1.7303319,0.000388529,2.167893,1.7461482,-0.2352044,3.891195,0.046406467,0.17711003,1.4456812,1.5423266,0.020230955,0.098814294,0.8246457,-0.76742977,0.39471805,0.97905326,-1.2043773,-1.7892283,0.24755362
-1.7883877,-0.001832136,-1.0788585,0.5495833,0.06941204,-0.08692403,-0.04262895,-1.0056351,1.0922623,7.732058,-0.07978043,0.7440076,1.8873565,0.9221198,-0.576616,0.77277005,-1.6638614,-2.0492861,-0.06352
-0.20711625,-0.0005632754,-2.0186846,1.0878445,1.2148829,1.4608954,-0.022428954,-2.472068,0.33179986,1.3098388,0.007107148,0.059546426,-9.527045,2.8496222,-5.8101234,-0.38131663,-4.1400704,-4.9509506,0.4076262
