0,1,2
-9.066219,-10.503979,-23.032759
25.533258,-16.856037,-20.05613
-7.4778767,-10.652832,-22.663076
25.578438,-18.454004,-21.285643
24.540228,6.7659135,-27.280367
28.307964,-17.559143,-20.496756
4.874102,-20.713593,-48.17226
13.082024,-46.100357,-25.68056
13.59588,-30.208858,-32.732582
21.893896,10.417897,-13.605861
30.791838,-33.74194,-38.768097
-0.3428209,-13.643698,-11.825828
25.409729,15.689699,-22.112883
-29.9226,-17.624144,-33.067936
17.261803,-11.349414,14.661016
5.660995,-50.43869,-10.597729
36.049953,-19.476751,16.659004
30.31369,2.1656435,-15.265519
39.411476,-17.008028,13.037556
34.658447,-21.016146,14.621637
22.192747,11.350164,-37.97675
22.648193,12.669862,-40.03725
20.498734,12.293881,-39.092358
23.541698,13.352648,-38.06355
25.706928,8.561999,-39.07255
21.436506,9.97358,-40.619102
25.355446,6.569598,-39.18769
20.122803,9.467102,-42.72649
25.246523,7.945099,-37.190998
18.853256,8.988577,-44.33415
3.833249,-49.197502,-10.635828
15.7012205,8.826692,-17.377235
0.6132745,-41.16738,-5.9955945
3.1542192,-18.192453,1.7519596
-11.655833,-34.677704,-12.653253
12.50527,-40.43782,9.726844
-3.1115375,-35.30613,4.3283668
17.81205,-11.498993,1.7292094
-2.6845937,-36.03853,3.0781286
-9.707602,-17.102829,-29.243378
18.469597,-24.957527,-7.4086094
4.7251115,-7.5393963,-51.986248
-26.164251,28.391638,-21.689526
12.76101,-46.376022,-28.15389
4.8346534,-30.631935,-29.170883
30.599773,-34.393536,-34.177906
21.129728,-10.451826,-48.602604
25.761803,-31.441475,-30.63597
29.33093,-32.359886,-42.011913
4.1976247,-25.432158,-0.47892937
32.31761,-3.0528073,17.697489
33.677483,-30.916803,-37.672882
33.076584,-32.219185,-40.69375
33.68295,-35.34458,-39.42279
24.129925,-32.18828,-25.235336
5.406716,-33.973362,-19.409935
22.982178,-27.348232,-23.827606
3.0405633,-2.6723483,-48.647392
35.438442,-20.76732,14.332731
17.61142,-42.54218,-16.540123
17.901619,-48.483963,-18.9833
15.735037,-42.66429,-18.599117
20.132063,-46.899155,-16.55213
17.339024,-45.15467,-17.901272
17.94764,-48.7036,-16.305014
16.707294,-49.621895,-17.996958
3.8551397,-4.194798,0.5040772
4.528338,-5.3110876,3.77916
6.4619164,-24.934383,-28.554678
10.91463,-0.023379894,-37.480843
7.8421464,0.9350902,-35.784035
41.34931,3.1577256,-17.22036
-26.75777,-1.408642,5.6690874
-23.678192,29.272066,39.463154
-23.868921,28.786922,41.06604
3.9408047,12.257204,-18.898668
-1.1391144,-24.952421,-36.7133
10.345474,1.9051149,-42.07515
10.3329315,17.645666,2.144737
23.642641,-24.25647,-35.585796
31.05523,-35.213253,-42.259125
28.104034,-26.410334,-35.60383
25.255909,-26.431253,-33.871872
26.31045,-23.69325,-34.31712
23.98319,-23.591015,-32.917297
-2.2569368,10.351001,-42.005093
-0.6794153,-6.952264,-5.4329686
8.141218,8.496196,-12.864087
11.208012,20.286236,-20.375519
-13.184517,-22.679623,-25.356237
8.009372,13.483728,-13.370366
2.022391,-13.690509,-11.088085
-34.110462,-42.625626,-9.337128
11.497072,-11.390361,3.7173133
14.38674,17.206205,-17.937904
24.783583,19.939663,-11.8534
15.0944395,-1.7006584,-0.5660049
23.649204,20.947073,-11.875852
-32.276505,-17.129747,-34.847885
6.266841,-22.286139,-6.205876
40.71093,1.9161848,1.7220523
21.070118,-28.351475,-35.721752
1.3343208,-24.010653,-28.79118
24.662395,-34.33654,-26.692932
8.745185,2.8710604,-13.710839
12.040673,35.526546,-25.058203
5.18671,-52.90223,-6.2741446
10.098538,-4.8278575,25.817787
6.213507,9.889511,-18.587194
4.5329747,-26.121962,8.884905
23.16706,-27.766167,-9.835603
22.865381,-27.452738,-13.329056
22.849289,-25.417059,-12.198316
21.302702,-24.227331,-11.117216
3.9524078,24.48812,-22.093487
4.761682,26.401316,-25.936789
4.1999345,25.157648,-23.982853
2.8610692,23.867586,-24.082563
17.246437,9.380179,-20.061447
3.6671932,-22.11212,-49.85873
6.996722,-22.69111,-47.856983
-4.8223233,-15.934947,-51.223484
-3.6389124,-22.674526,-43.85899
-22.580141,10.250793,52.653484
3.1807432,-25.545834,13.0683155
32.046925,16.446903,3.3871264
26.811628,-29.485697,-26.329868
-16.19658,6.3133464,37.157513
33.795162,-1.6205432,17.376747
0.9834858,-12.163081,-13.511322
24.116732,14.636264,-20.738098
27.624594,-34.85394,-40.55017
20.304312,9.937832,-14.84588
6.532009,-23.330822,-25.153053
9.217371,-2.3183339,-36.551323
7.031101,-23.869362,6.280956
-1.7187351,-15.030515,-48.295914
-2.7013254,-15.508616,-49.61536
2.05276,-15.146573,-47.959866
22.394855,-20.947762,-34.38831
4.092597,-13.627104,-25.448586
-11.601831,-2.9902005,-31.861757
15.757073,-29.62685,-38.899982
-33.379375,-27.684216,7.6443124
-33.965786,9.619908,26.369493
-4.7204614,-5.6805816,-28.518911
-6.022171,-5.020098,-26.970057
-4.286618,-4.3150487,-26.713503
-22.917875,18.763458,17.347466
-11.438823,34.339596,7.7268467
-13.275155,33.30072,9.581717
-17.299229,-16.739634,-19.507162
-2.0363626,-45.03721,8.939759
-2.974481,21.294983,-33.80843
-1.778246,20.436794,-34.705532
6.941914,-34.37685,-20.05008
-11.531049,29.364796,14.504158
-26.959272,32.43388,-5.4421945
-28.678225,32.637596,-7.3312836
13.564263,-2.5341198,13.472134
14.7438545,-3.7327125,12.672312
9.708005,20.51374,-39.010952
8.0826435,21.065107,-39.39967
5.967788,4.8515506,-27.102215
-7.348213,43.397484,-7.9888296
1.9004846,16.014889,-36.71055
4.4868493,-23.130924,-45.665806
8.916398,-40.612793,-26.61861
25.915224,7.056468,-26.545626
0.6953312,-9.309459,-12.229525
0.22773306,-11.817343,-10.540611
23.892702,16.408924,-22.04003
-25.174118,6.6970916,-27.448753
0.17025164,-23.016813,-32.19288
21.039232,-7.420633,-32.46785
-3.7048857,-24.021923,-44.59976
14.150554,-7.8685155,1.8841437
-0.7616821,20.40814,-1.5989444
19.936129,-12.720695,-22.69165
19.124544,-10.600825,-23.053719
-3.4151735,6.7154675,-46.375988
6.4432535,-51.054554,-7.476742
9.220148,-1.575663,-39.62442
30.72356,-29.985664,-39.3443
22.7987,-33.45852,-27.093645
22.909973,-38.589348,-21.0784
33.87637,-36.250565,9.592237
33.510715,-31.046436,10.716954
34.874905,-29.093065,5.435881
33.46115,-28.950802,3.998762
36.844788,-27.427485,1.9762186
38.238953,-28.862957,3.2222846
39.09903,-27.891518,1.0761269
37.590008,-29.618776,0.93596613
34.030235,-29.824104,-0.913789
32.01026,-31.930336,-1.0610139
37.48551,15.025511,13.16415
39.03261,13.977537,14.304222
38.60672,11.782672,12.957084
37.654045,10.870652,14.626986
38.557625,8.965533,14.634225
33.62931,-33.374687,9.337573
33.12349,-34.12875,7.4647675
32.806427,-32.346077,4.9055953
30.8355,-32.868637,4.268444
31.851215,-32.56647,2.4695132
33.259518,-30.22533,12.277064
26.93386,-33.133945,1.2170504
27.225784,-31.585747,-0.37044385
28.03188,-32.56581,-1.5845376
30.152971,-24.95102,-23.527382
36.773415,12.050046,10.223286
35.832645,10.493792,11.133339
33.88968,-20.159788,-6.516767
32.72976,-21.259129,-7.5660543
31.898188,-21.896646,-10.917118
28.636349,-23.838497,-24.697313
27.257904,-23.678026,-23.23762
30.905153,-28.622118,1.0528991
-3.5871406,-28.290659,28.383123
-2.734532,-27.023602,30.110182
-2.9196534,-29.33749,30.5227
-0.5145665,-28.62298,26.561241
0.12733543,-27.426155,28.374182
-0.35205853,-29.746758,28.764858
-0.15180005,-28.475927,31.322874
17.452805,-15.054509,-20.870478
15.698528,-15.347548,-23.345446
18.26113,-15.394147,-24.714577
17.026588,-17.84818,-25.05829
15.755367,-17.765806,-21.316458
19.792465,-16.616106,-19.8957
17.235346,-17.58393,-18.681385
18.608356,-19.905937,-19.80816
