0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.18943152,0.762954,-1.2768732,3.6231334,-2.3640027,1.0669934,1.1889178,0.90684444,-0.10811191,-1.066864,3.5740654,-2.0571454,1.1022828,-0.04433304,4.7056212,-0.28868812,-0.3500903,-0.40723687,5.5129066,1.4547309
0.25701004,0.35123813,-1.179302,1.2375071,-0.6178952,3.882833,1.2748662,0.2575869,2.683375,1.6277108,-2.525239,-2.3235214,0.02006718,0.031429034,0.95078474,-0.107577115,1.622764,-0.7552611,1.2238234,2.452179
0.37385166,0.32149044,-0.9388558,0.10790908,-2.148918,1.3540982,1.036958,0.17925324,0.54985756,0.14344703,2.399167,-2.1573284,0.9121664,-0.029868944,5.8097034,-0.54070157,-1.3224458,-0.42654616,4.145432,1.261204
0.7186871,0.42983413,-1.2401311,3.195724,-1.1903678,3.696415,1.3615683,0.6887426,2.4219813,1.9229387,0.51241744,-2.2420437,-1.6455758,-0.008561192,1.5035557,0.6131931,2.189697,-0.9483628,-0.9022576,2.2859433
0.20858315,4.0088058,-1.9404335,3.456012,-2.0559366,0.14321686,0.33152062,0.66182184,-1.5974919,-0.08047812,0.6835824,-3.9775496,0.71978146,-0.008618478,1.8368667,-0.3156718,-2.4478843,-0.13564768,2.3335245,0.4011891
0.3476389,0.100189455,-1.3754345,0.31685516,-1.0936718,4.355854,1.0932895,0.4822542,3.3911827,2.0595286,1.2851464,-2.5265532,-0.9830004,-0.0159191,1.2808092,0.24097134,2.4324617,-3.7718673,0.0124332,4.608765
0.34925243,2.9452515,-1.2745894,-3.619441,-2.9591649,2.613807,1.1315562,3.9656806,4.0952983,3.0740042,3.1616561,-3.4317474,1.2170624,-0.03526902,1.0463136,-0.9252744,3.6441424,-0.83349115,4.331818,1.6254387
0.62036335,0.62280864,-2.3144488,0.056342043,-0.64161706,3.9336224,2.4402125,0.25762877,10.115374,3.7405133,4.9941664,-4.4264483,1.0978413,-0.06208801,1.317755,-0.5812481,7.2908444,-1.4031036,2.4174426,3.4402816
0.036187343,-0.5090095,-1.9850746,-0.3630177,-2.0267138,6.478657,0.661277,0.32894176,3.6384192,3.0452497,5.3300967,-3.203019,0.32844824,-0.067330636,0.92307204,-0.14605367,2.9726322,-0.31854975,1.1577116,2.712627
-0.7352145,0.23398663,-1.2761986,1.268427,-0.17949682,0.5367,-0.86548537,-1.8654265,0.5892538,0.8297881,2.649988,-1.3502254,0.27512953,-0.035771247,0.75530803,-0.14621389,4.8310084,-0.07680726,-1.0845677,-0.4557937
0.49523875,1.1969618,-2.6906552,-0.6332407,-3.183652,4.8093233,3.5307071,1.5962647,6.882021,2.2777715,9.156034,-5.959969,1.1366482,-0.11502635,1.9917681,-0.73278415,2.582469,-1.9113256,3.3018117,6.9765186
0.012571901,0.98103493,0.24759029,4.741911,-5.4712596,0.43099868,0.36736485,0.07546834,0.36958015,-0.34422278,0.93585813,0.007941585,1.9506372,-0.011478461,-0.041833803,-1.6736373,-0.9235958,-0.13977006,1.7366525,0.4027554
-0.31387326,-2.3476849,0.1548604,3.400219,-0.63624626,1.2053531,0.61104393,-1.1577452,1.7097617,2.0039809,1.1387742,0.20197009,-0.19853929,-0.014024216,-2.2908509,0.4166878,5.3230224,-0.49771366,-3.074349,0.9256655
0.13343938,0.32489118,-0.77153933,2.04544,2.6610148,1.3415469,0.49335238,-1.4293541,2.6673913,3.9288244,1.6249566,-1.0935754,2.3036242,-0.019407649,-0.2543464,0.40424833,3.7647545,-0.8824575,-1.5415215,1.1802994
0.3529133,1.0831301,-3.0055227,6.9146185,-3.1840339,0.3555067,-0.006388406,0.5612456,0.42569256,-0.120112956,0.7214604,-3.0781748,1.3735723,-0.009055935,2.5437067,-0.3859241,-0.1999813,-0.13070633,1.8309072,0.504817
0.21824306,0.6516392,-1.1365361,0.018673308,1.4847172,2.148542,2.0148938,-2.8404617,4.3757987,1.6732697,6.4587097,-1.7640809,0.16037996,-0.07621614,0.85881644,0.07108935,3.5926857,-0.08768521,0.1110479,3.2632163
0.3463084,-1.1548669,-0.27687204,-3.705074,-1.9235381,1.4177184,0.64517194,1.1573956,0.8025244,0.44693694,0.5575565,-5.9333076,0.39767483,-0.011064436,3.9485917,-1.8552467,-0.020344477,-0.202931,1.5609381,-0.1159954
