0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
-0.034387816,0.1857093,0.6501457,-0.39259374,5.775444,-0.8415162,-0.32329553,2.6493866,-0.5583695,-0.24693702,-7.8138385,1.2200181,1.5066026,2.5947182,-0.13079229,-1.1252732,-0.6296222,-0.105027534,-0.008214029,0.5876027,-0.57184464,-3.7888,0.30333346,-0.45537502,-0.06408378,0.80333215,0.19338603,0.2144994
-0.4565827,0.41548362,1.2416493,1.184779,1.8674036,0.12420168,0.40958795,-1.5914075,-1.2056148,2.6672604,-0.2505446,0.6569933,4.3043103,3.6213593,0.61783725,1.0541308,-0.60807043,-0.102793224,-0.06447982,4.354144,0.11830678,-0.51170695,-0.22631352,-2.002358,-0.06917647,2.2345636,-2.6895094,0.28528082
-0.112700716,0.13526557,0.8462858,-0.48046315,5.768836,-0.7540318,-0.28255957,2.80955,-0.41976157,-0.21005808,-3.3238559,1.0266031,1.0119288,2.2544427,-0.03472868,-0.13456994,-0.78440046,-0.07948125,-0.030629694,0.47947928,-0.37407336,-4.309057,0.3920008,-0.376317,-0.040182736,0.60099673,-0.357404,0.31499913
-2.043855,0.2831566,0.47193336,0.93936664,1.7439386,-2.9566991,0.23360863,-1.2818174,-0.55435115,-1.8514428,-0.3832869,-1.9054996,2.8061862,2.5919325,0.74732876,0.41742867,-0.6542444,-0.02128606,-0.05081733,0.63814026,-0.43729395,-0.2901136,-0.14697154,-1.4685287,-0.08461458,4.4936576,-2.7098424,0.3407682
0.021213576,0.06185757,-4.736169,-0.6448095,7.9551754,-0.3181389,-0.11073893,0.83664995,-0.19310196,-0.0655549,-1.8997629,0.2642104,0.8604912,0.22341925,-0.40653902,-1.8229027,-0.18522473,-0.03388228,0.008158209,0.32626855,-0.13530189,-2.0905535,0.070435815,-0.2261772,-0.01795391,0.43867204,-0.23127021,-2.3770792
-5.9587836,0.22512774,0.70805323,1.528069,1.9263375,-2.0902154,0.23754536,-1.4060982,-1.1477872,-0.66891265,-0.24080952,0.6979006,0.42786378,2.7963326,0.5580818,0.59727114,-0.68505704,-0.1157903,-0.116864756,1.3304931,-0.53968036,-0.37939328,-0.15328465,-2.2570758,-0.073994905,3.7048495,-1.9415929,0.30088523
-1.6635498,0.26179528,2.6910567,1.5870161,5.6228614,-1.8454837,1.953929,0.80826634,-1.6855818,-0.20995677,-3.1652954,1.3653817,3.0996687,3.552036,-0.34734482,0.85280305,-0.811522,-0.108180486,-0.10061847,1.1362727,-0.53173596,-1.8804214,0.13129021,-0.43466982,-0.06353282,1.5710489,-1.8318733,1.5261382
-2.5140944,0.5490014,1.3134903,3.175554,7.033063,-2.6519606,0.5199739,-2.9607065,-1.730018,-0.4840611,-0.74209464,5.128786,4.5037804,6.1440973,1.2953752,1.0739915,-1.0392331,-0.21827994,-0.13909516,4.26913,-1.2619693,-1.4453562,-0.36148268,-1.6054028,-0.13289407,3.0779982,-6.645784,0.7439653
-0.6379659,0.5618941,0.81056184,1.2648234,2.941035,-3.4954832,0.33835778,-1.9166236,-1.5465775,-3.57016,-0.51974875,1.5664753,5.6569,3.860501,0.79293436,0.6692228,-0.91246676,-0.410617,-0.074703835,2.7693326,-1.1454552,-0.988743,-0.23283024,-3.6789484,-0.09545978,5.040526,-3.1104352,0.43292382
-0.48770833,1.6492838,-0.20155339,0.25176942,-0.28420767,-0.8368302,0.056848403,-0.54823726,0.8678897,-1.9807783,-0.4076398,0.43041724,1.4784185,1.0057993,0.089617245,-0.14535715,-0.231637,-0.0002748528,-0.033712786,2.0099258,-1.3138416,0.60594565,-0.06936615,-0.8695825,0.017778669,1.1085858,-1.6020471,0.07844841
-0.8619491,0.7079896,3.7989013,2.05767,6.2008657,-3.1942585,0.5620006,-3.2928495,-2.3418133,-0.7191697,-0.9946871,3.8383112,7.8096395,6.3810143,1.2824287,1.0684496,-1.5961671,-0.32348666,-0.1106569,3.5215771,-1.6099846,-1.4888755,-0.38992754,-2.5060499,-0.17416082,4.8501086,-5.022989,1.2539757
3.3039942,-0.06000087,2.708074,0.82650155,1.3455307,-0.74805194,0.1714692,-2.0229979,-0.39222157,-0.5724112,0.7160256,0.4605157,1.0704445,3.4525633,0.7004934,2.0213914,-0.18605295,-0.03372504,-0.080916375,0.8646979,-1.2486537,-1.6119289,-0.16283847,-0.5134444,-0.033767704,0.75492394,0.55185246,0.6106961
-3.102753,0.34640282,-1.2106822,0.040320646,-0.3932344,-1.5001769,0.019125666,-0.14650021,-1.0135152,-0.29140916,2.2816956,1.0733032,2.7636647,-3.0543022,-0.20933986,-0.22451289,-0.25006047,-0.12886526,-0.0011814615,1.5123061,-0.5982819,1.6197417,0.21128914,-1.2092412,-0.020994857,2.4716053,-10.39695,0.024593476
-1.2308801,0.35991296,0.42000955,-1.8102325,-0.7622987,-1.506833,0.21524934,-1.5751758,-0.8680089,-0.3148464,1.8807201,1.268758,3.179716,2.316476,0.62960863,0.18030083,-0.06427333,-0.12188643,-0.13026477,2.3724043,-0.64963853,0.15977117,-0.20093963,-1.2465864,-0.03668765,2.4828281,-4.703764,0.71289635
-0.04886523,0.12714411,-0.5257331,0.01146001,6.201958,-2.8449461,0.021792972,0.33954045,-0.20647506,0.011594552,-1.033295,0.28236705,0.4625933,0.86024225,-0.055370834,-0.34931803,-0.15688834,-0.018620552,0.035532013,2.1977217,0.013517129,-2.2499073,0.014849479,-1.2687654,-0.022117078,2.349708,1.5518346,-0.22930521
-1.6218929,0.1607862,0.57036173,1.2727714,-0.18715109,-1.8568679,0.32534143,-1.7325326,-1.15163,-0.3174714,-0.96705765,0.78664064,5.834322,4.5645485,0.6795147,0.59474593,-4.2942543,-0.11570549,-0.06774887,2.5116057,-0.46765715,-1.2313777,-0.21026684,-1.0084773,-0.11993651,3.938889,-3.9502926,0.33815533
0.023349114,-0.12165365,-0.91824657,0.23941311,5.845267,0.053391293,1.332585,0.0062132883,0.18502328,0.18078417,-6.1203165,0.41518536,1.0287188,6.1668487,-0.07084009,0.15177143,-0.3285564,0.119739294,0.09569416,-0.3235,1.4467586,-1.3068469,-1.0056956,0.19446014,0.049197864,0.07892886,0.7039757,-0.45695686
-0.067711085,0.12912242,1.4181035,1.7868657,4.6090064,-0.46057886,0.7208458,-1.0611311,-0.47243896,0.021100648,-5.683471,-0.23688248,-0.5484361,5.915386,0.657613,2.9334302,0.6154327,-0.026720366,-0.06454773,-0.19508226,-0.07782053,-0.876898,-0.48572397,0.11211823,0.06887469,-0.25569633,-0.5092107,0.63262635
0.06903164,-0.4157577,-0.6738855,1.1172215,4.9210615,-0.07259352,1.7987955,-0.35196042,0.069577985,0.5313076,-3.6281896,-1.1265426,-1.0662076,3.2902167,0.07087884,1.0388281,1.6494988,0.056073826,0.1775802,-0.6143817,1.2254636,-0.7536729,-1.3668959,0.3820607,0.2493381,-0.4896488,-1.0637988,-0.19514066
0.08550085,-0.055228747,-0.49653253,-0.64068013,5.6663074,0.06922071,-1.656387,-0.41485935,1.0172613,0.016966246,-2.9716551,0.47834948,1.5153952,2.2527282,0.104706466,-0.846478,-0.42761025,-0.0031499213,0.0035315114,-2.0773253,0.12113616,-1.5747602,-0.10676744,1.3829924,-0.04873839,-0.56075776,9.359853,-0.32763678
1.8385595,0.2645373,-0.6608185,1.5403116,7.0450215,-1.3122334,0.25905544,-3.0365727,-0.88099927,-0.2572075,0.18555932,1.2224681,2.7625957,3.2747295,0.8571775,0.87804455,-0.82119125,-0.14302553,0.00054409757,1.4964128,-0.5904906,-1.2797216,-0.25173116,-0.7360691,-0.05932108,1.4425662,-3.477893,-0.37754786
-0.27173775,0.24456821,0.30703273,-0.9630829,10.386533,-1.3370875,0.30715853,1.0395639,-0.89050627,-0.28830138,0.37081656,1.3906732,3.219195,3.6626287,-0.92709607,0.59270173,-0.783145,-0.1476468,0.04491213,1.430411,-0.61237997,-2.102244,-0.12615016,-0.8082571,-0.072568096,1.5850071,-1.1122383,0.20091687
0.26985967,0.24429733,0.44483653,0.19842517,13.071509,-1.1796093,-0.08753686,-1.0229133,-0.8608904,-0.2591041,-1.8487027,1.2901633,2.8172023,5.215077,0.9171196,0.69519037,-0.8170021,-0.12562428,0.0067451573,1.2383114,-0.6211956,-1.611783,-0.31397253,-0.6257208,-0.1013579,1.4343814,-1.2016826,0.17685235
0.37983775,0.2041778,0.34643528,0.5616888,7.093487,-1.1971345,0.22517744,-1.6070825,-0.9791501,-0.32380027,3.837967,1.3704358,2.600176,4.1001287,0.45890775,0.92031455,-0.8765416,-0.1463768,0.091440186,1.286192,-0.6389311,-1.2518029,-0.28063682,-0.7759647,-0.08445789,1.6421374,-1.3683709,0.09336831
-0.24399412,0.38636073,0.11412322,1.0808575,8.571514,-1.2113576,0.31089383,-3.429248,-1.1496832,-0.24373448,0.2538021,1.4558897,2.69014,3.0131364,0.7957348,1.1682163,-1.0968463,-0.12444668,-0.00022261508,2.263438,-0.56073725,-1.6125125,-0.24619934,-0.70106447,-0.07872695,1.4645591,1.3993946,-0.03014305
-0.24654447,0.2499442,-0.8620663,0.84744143,16.800112,-1.5903888,-0.2202876,-1.129765,-0.8780154,-0.21563198,-2.1985178,1.2669755,2.398215,2.5350194,0.3142597,0.65422314,-0.4904778,-0.13523889,-0.04360972,1.7143252,-0.6558931,-2.538458,0.026374493,-0.7785543,-0.019295763,1.6482254,-1.134546,-0.596379
-0.13208386,0.30898333,0.54403114,1.2579677,5.864622,-1.1945907,0.22564135,-6.5689263,-0.9964066,-0.25550947,2.4825394,1.4788938,2.752019,3.3839147,1.0491704,1.1303958,-1.2059813,-0.123105526,-0.03766776,1.6374234,-0.5914482,-1.296852,-0.30254766,-0.7674942,-0.08081751,1.5457271,0.6893913,0.21195765
0.013242084,0.27083638,-1.1649623,0.4716025,9.926544,-2.1286101,-0.20155023,-1.4665016,-0.90730065,-0.25191888,-3.0463278,1.2122564,2.746672,2.3166068,0.4612608,-0.016396694,-0.58952737,-0.18237887,-0.04878724,2.5634208,-0.6773768,-3.253992,-0.06690947,-0.786649,0.00029930798,1.8333323,-1.4477663,-1.0904031
-0.1962522,0.29600742,0.3881876,1.1352912,8.019054,-1.2620502,0.222862,-2.1759377,-0.9627327,-0.2643879,-0.12624894,1.4339849,2.8379323,3.4496338,0.79147136,1.0099545,-0.8749347,-0.12995577,-0.021099396,1.5156461,-0.6020012,-1.6481981,-0.24718083,-0.8008009,-0.077818625,1.6086652,5.939907,0.18100631
-0.2924699,0.28297314,-0.6763843,0.8420613,13.077864,-1.6103352,0.2131393,-0.8259528,-0.93058354,-0.2788465,-6.025359,1.3207716,2.837951,0.948427,0.30436873,0.667515,-0.6529129,-0.1389696,-0.06524117,2.0822926,-0.7618533,-3.3995492,-0.037846707,-1.025981,0.0434035,2.2741618,-2.2759566,-0.64604384
