0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0.24341995,-0.92219573,-1.9511526,0.9253504,-0.06782257,1.32024,-0.14616685,-0.39961794,0.006293895,-0.025612302,-1.13003,-0.19999966,-2.221719,0.46651316,-6.1397758,-7.4127407,-0.09038523,-1.6275465,2.2411287,-2.7818606,-0.30583462,-0.84231615,0.38380155,7.194579,-0.16391012,1.1247967,1.9869161
0.8594676,2.9507499,-2.0131164,0.62103564,-0.36660537,2.2003608,1.6926174,-0.32098716,-0.049748592,-0.04301648,-1.5774671,-0.10847919,0.25445074,0.15139346,-1.0734115,-0.45981276,-0.4958901,-2.5532477,1.4516598,-0.19285485,-0.33759585,-2.5887895,1.9796143,0.6776159,-0.23707442,-0.26586738,1.5740703
0.29800314,-1.1401162,-1.856291,0.95041925,-0.43505675,1.102875,0.19874747,-0.20271249,-0.21159987,-0.03421402,-1.1499481,-0.1834254,-2.6387339,0.2413034,-4.011948,-5.0161915,-0.12998553,-1.748793,2.1244943,-2.1862626,-0.22997206,-1.2552994,0.3093642,3.987677,-0.17381306,1.1638255,1.3876371
0.7757414,-2.3595636,-2.6024375,0.77604616,-0.30942264,4.7990627,-0.117038846,-0.51790553,-0.08106368,-0.075188935,1.27486,-1.2682428,-0.6636633,0.29980537,-2.128029,-0.7222985,-2.400102,-3.2110407,1.555373,-0.05045163,-0.59128463,-1.5725003,2.2743626,0.52594507,-0.16392067,0.0702321,1.0673432
-0.0046457825,0.006494555,-0.40437084,1.8567547,0.17270322,0.2537824,1.3993806,0.16984092,-0.01736386,0.031865776,-0.015597002,-0.04158714,-2.5639048,-0.053250235,-2.4284253,-2.0502913,-0.108207844,-0.5792531,-0.72674966,-0.7716763,-0.03346392,0.38869306,0.3067583,-1.0908744,-0.8503392,1.5405465,4.557591
0.6491872,-1.2797921,-0.42616382,0.6188537,-0.26173148,5.297565,1.2999337,-0.34240195,-0.09295439,-0.038095616,-1.3244593,-3.5242,-0.8727283,0.103720725,-0.75304675,-0.94260865,-1.397593,-2.4998538,1.5120494,-0.3757891,-0.46376747,-1.7960105,4.264767,0.5416223,-0.19038588,0.26614723,1.1564025
0.34981287,-1.8174841,-3.3411653,1.5769821,-0.545785,2.6672566,-0.956199,-0.5373693,-0.092402376,-0.068711914,-2.0119653,-0.55114824,-5.0044365,0.1864646,-1.0510908,-2.010076,-0.6641491,-2.9426413,2.7769034,-4.232106,-0.5171725,-2.6030822,1.4311186,2.2813952,-0.4234845,4.225846,2.3061821
0.68624324,-2.7019632,-5.1942334,1.8597183,-0.6636671,4.087504,-2.0155787,-0.8285327,-0.1028919,-0.11496507,-3.0013826,-1.0434563,-3.3792477,0.12501967,-1.3356302,-2.3371456,-5.4325113,-6.284041,5.025841,-0.97315043,-2.1990154,-4.0377793,2.8404386,0.84592754,-0.5220925,1.3159363,3.1550078
2.504107,-4.8404636,-3.10807,0.87572116,-0.30493987,7.991438,-0.5649339,-0.43946505,-0.08753593,-0.05267043,-1.3456595,-0.75671667,-1.3925834,0.07472955,-0.444402,-0.28967682,-1.4683166,-3.7166166,2.1562138,-0.08203868,-1.336282,-2.4661741,2.0175369,0.096897565,-0.27501696,0.4397426,1.8535469
0.6553634,-0.5094705,-1.3366604,0.040243063,-0.14422448,2.46925,-0.73323005,-0.081945695,-1.678939,-0.009682039,-0.4621546,-2.6382632,0.018497948,-0.11968516,-0.42540628,-0.46455017,-2.673202,-0.81645,-0.12704878,-0.38342184,-0.12159084,-1.0430343,0.6963883,-0.1545702,-0.021271685,-0.20745045,0.13813467
1.2876643,-4.4874997,-7.823956,2.2758913,1.1762516,7.360455,-1.2372183,-1.0196425,-0.1860544,0.21099333,-5.382991,-1.5338428,-2.9032917,0.19170336,-1.383043,-1.4928108,-2.9232576,-6.653214,5.338529,-0.59795356,-1.1661726,-4.460663,3.54861,0.8702558,-0.5719554,1.0838594,4.2488093
-0.09396986,-0.69195217,-1.1424464,1.485897,-0.37663925,4.5188375,2.8923233,-0.45941862,-0.01938094,-0.047915876,-0.39420772,-0.69715214,-0.932801,0.044993777,-2.2001638,-0.10958643,-0.05768966,-2.2236593,4.2914314,0.25285038,-0.07708265,-1.5988605,0.87165093,-1.1430341,0.08507426,0.33934915,3.0232174
0.4961529,-1.0280972,-1.4119829,-0.057219934,-0.035223246,4.3116336,-7.1983113,0.031562395,-0.0075105834,-0.0034512214,-1.3761954,-0.7757401,1.9806641,-0.0060108113,0.69791734,0.27439886,-8.714426,-0.70200866,-0.10035945,0.25010365,-0.26394933,1.2404338,2.4924877,-0.7059318,0.17858317,-0.70089364,-0.3354441
-0.18407737,-0.8398246,-3.1139092,-0.1731846,-0.2479694,4.9422126,-1.6283803,-0.41902992,0.033641495,-0.13391154,-0.6201695,-0.49786282,-0.88256705,0.0693013,1.2201761,1.2413187,-4.0704975,-2.0460396,-0.0017690847,0.9314687,-0.91881937,-1.3185724,0.8453868,-0.32102436,0.42359832,0.14421152,0.983958
0.18730654,-0.7227567,-1.652245,0.2782339,-0.064533256,2.4978383,-0.42539483,0.015429602,-0.09168313,-0.015753193,-0.8131476,-0.26966962,-2.5214593,-0.0116866985,0.035882495,-3.375326,1.2393905,-3.3538222,0.11002409,-1.8954041,-0.2656813,-0.96852803,-2.5667229,2.1295004,-0.100670926,0.8769173,0.73050016
0.54549706,-2.7595327,-6.60366,0.5488864,-0.29830536,3.6336715,-3.654774,-0.41070965,-0.07702672,-0.048610013,-2.4479296,-0.79554343,-0.35424602,0.042767815,-0.41532233,-0.3913982,-1.7892766,-6.0805516,1.1208249,-0.13036346,-1.1903838,-1.7716256,2.8037243,-1.2704262,-0.15680033,0.023306025,1.0098928
-0.059570976,-0.24205235,-2.7974608,0.8428253,-0.25526705,-0.22891462,1.6094683,-0.30724677,-0.07445082,-0.041155323,-0.16979276,0.008935469,-1.7472768,0.036326345,-0.2659412,-1.5332472,0.198728,-1.5094222,8.069593,-2.2001004,-0.13751629,-2.3159823,-0.1394576,0.8303152,-0.42968005,0.6192232,1.4180065
0.16162507,-0.41642857,0.6053905,0.8018213,-0.3165938,-1.0753598,-0.017485378,-0.29844993,-0.012012797,-0.053764395,-0.1682768,-0.119800456,-5.315423,-0.016866462,-0.38913986,-0.4874079,-0.034729145,-0.40796894,4.2950625,0.023360182,-0.055260453,-2.0408664,-0.041172184,-0.78075975,-0.28140667,0.9217487,1.5262096
-0.013544867,-0.36398563,-1.4738152,0.80633795,-0.3726076,0.6858952,-0.15172228,-0.31229705,-0.78405404,-0.056346077,-0.06407734,-0.29438016,-5.556617,-0.041421864,-0.15872848,-0.48927838,-0.5713778,-0.63050115,7.4981966,-1.4125177,-0.14143653,-4.1162257,0.48220783,0.32201433,-0.15045996,0.8791833,0.6900514
-0.038569182,-0.35685986,-1.703733,0.6246591,-0.2002611,-6.2290864,2.429948,-0.104968056,-0.036760677,-0.037557382,1.9619795,0.59550095,-2.2984912,-0.05470573,0.6160825,-1.5544758,0.13930932,-1.5122418,-1.6132184,-7.0079994,-0.1546083,-1.9407656,-1.180219,0.7654965,-0.32048765,0.7955923,0.9107366
0.2442885,-1.6952062,-2.9066613,2.6669235,-0.35657963,2.760015,-0.27522266,-0.2838219,-0.095912725,-0.12447347,-1.8539608,-0.4288762,-3.2841072,-0.12312726,-0.6401206,-4.387328,-0.36127982,-1.7877483,7.7012706,-1.9366139,-0.39098537,-1.944141,1.1689078,2.2565145,-0.21167706,0.99981076,5.1365995
0.28246996,-2.471521,-3.7034152,2.0595505,-0.31732324,1.9728763,-0.0045871483,0.01789087,-0.12250887,-0.08392865,-1.963204,-0.5568644,-3.3665311,-0.49681672,-0.8663328,-2.2713673,-0.6709011,-1.8013585,4.9581637,-0.9417624,-0.4161164,-1.183546,1.1510789,-0.15938261,-0.056052633,1.0027996,3.5248177
0.27842668,-1.7416606,-2.9446983,1.7402585,-0.56267965,2.0412154,-0.1186164,-0.72296965,-0.095495954,-0.061898723,-2.1864066,-0.6047481,-2.8582866,-0.97307837,-0.9955793,-4.818698,-0.60602677,-2.127547,5.294066,-4.7247095,-0.42685932,-1.7781832,0.8775107,0.62945366,-0.1266115,1.1690152,2.906985
