0,1,2,3,4,5,6,7,8,9,10,11
-6.39175,1.0927694,1.6535798,4.0299892,-6.9804215,2.8065677,2.0927513,-3.8116214,-0.16442254,-0.07600123,1.410399,-0.72736067
-1.009559,3.595752,4.7741184,3.9942489,-1.811176,-0.23979129,-4.6342106,2.2743833,1.3125457,-2.722368,-0.0023566438,-1.0471934
-6.279355,1.2703215,-0.13574837,6.85052,-3.8807592,2.301315,1.8202612,-3.9830077,0.67856556,-0.3853803,1.1131939,-1.7744282
0.19667606,2.2332988,6.0472474,4.155951,-1.957531,1.369125,-4.6314206,2.8676164,0.0063728066,0.7500934,1.8256787,-1.8039157
-4.6152015,-1.1489983,1.6891463,2.5734386,-2.1811478,10.125141,0.14102945,-0.70768744,-0.013257331,0.048505556,2.0719323,2.504567
0.39992446,1.6733671,3.5734837,3.0791247,-1.1756886,0.21664293,-5.146771,3.157125,1.0161942,-2.7632802,4.5805273,-1.5696663
-8.467672,-0.4743969,3.8846374,5.4301205,-5.3071837,1.0093092,-2.9402866,2.053991,0.021714997,-0.92215014,3.9393194,-1.8929498
-7.009186,2.3342397,5.973215,7.296514,-1.5378067,2.253527,-8.042803,0.70069665,-0.005684946,-0.5875829,2.6553578,-7.672631
-3.7527196,1.1683685,1.4047911,10.1088915,-0.5098817,1.9285264,-4.074707,-0.30692402,-1.4505228,0.026555223,3.482278,-1.2948153
-2.3421395,-3.1707423,-1.1439805,1.3223755,-0.0060710246,3.3215373,-6.287698,1.3508922,0.27757946,-2.7371516,-0.60354406,0.5604037
-6.7627687,3.0397112,7.4085135,13.912311,-2.6767967,3.5515816,-2.330748,2.0018647,0.4661125,-0.5854568,3.76453,-3.640247
-2.4895592,0.8776322,-0.22301137,3.8386288,-0.49584487,2.8458877,1.4871078,1.8597741,3.321174,-1.5853213,0.40524426,-1.0586407
3.9008234,0.08481791,-0.051188346,2.108684,0.037027806,-0.16929471,-14.041217,1.2364177,0.0734665,-0.3268549,0.26167235,-0.22239019
2.8412318,1.2771742,0.8002626,3.78175,-3.0583642,-2.6191769,-9.26839,1.13847,-0.21725036,-0.26319104,1.7919313,-1.4361391
-3.5706635,-1.5175745,1.1334025,5.620105,-4.703532,-2.2499065,2.5700328,-2.1869802,0.020290645,1.0575031,1.329385,2.278523
-3.4282258,2.2508147,6.02573,7.529746,1.9969201,-1.3945044,-6.905812,1.9934392,-0.7121188,-2.8092506,5.030368,-1.7689416
-4.530479,3.7576265,-0.4827687,1.2096723,-1.6463556,-3.077536,0.86305034,0.5352707,0.010918166,0.007844505,1.3982652,-8.701092
-5.631088,0.17626289,-2.754058,-0.2017283,-3.4640532,2.1384196,-2.2037573,0.9441215,0.023392603,0.23274243,-2.8264322,-5.6648765
-6.148503,4.35662,-2.3898683,-0.7349096,-1.3505362,0.78728527,-0.8472103,1.4418542,-0.13688123,2.1676457,-0.6975851,-6.557381
-5.9681177,1.60192,-1.0327834,2.1171377,-2.4970007,-1.3654777,3.5915756,1.3634678,-0.01407272,0.49925813,0.38372144,-5.5875344
-5.179319,0.16133405,0.99100125,6.1118402,-6.449268,8.488681,-2.5980341,0.7525375,0.20360814,-0.060806796,2.0029595,-0.14532267
-5.295361,-1.375999,1.7080262,8.870037,-4.471944,5.9269567,-0.80600715,0.6573785,-0.04229409,0.72778803,0.8666078,1.2308134
-4.4521337,0.4639672,2.0436053,8.884604,-7.7409463,5.5634527,-1.107241,1.0448682,0.027997054,0.27887785,1.3421203,-2.2293687
