0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0.114645906,-0.56000894,0.06453377,0.67404205,0.012160276,-0.02253339,-0.34696296,-0.0008780858,0.011343959,-0.9948564,0.817166,-1.7720058,1.2134861,-0.09534476,0.7852132,-1.2690094,-2.7943592,5.6005497,-4.2389083,5.764738,-0.4930489,-1.3454823,-0.34561437,1.2933213,1.1830884,1.497289
-1.3205178,-0.84408844,1.175788,0.23281354,0.68380874,-1.970107,1.4184495,0.06382496,0.0093088215,1.1402624,4.485302,0.11587653,0.31367353,-2.5682745,2.149052,-0.950749,0.5516788,2.9957867,0.2780976,0.029663196,-1.9958876,-0.29146022,-5.1705484,1.8662548,0.14646354,0.51042026
-0.05937794,-0.74380565,0.042343825,0.77799773,0.0011836814,0.01422447,-0.76969093,-0.0098698335,0.004532955,-0.59088516,0.14540182,-1.4293885,1.5935062,-0.07782243,1.0091772,-0.731496,-6.0212812,3.429782,-2.6677554,5.0625014,-0.65868306,-1.2895284,-0.5328226,1.6130939,0.11407677,0.49983987
-0.9527568,-0.7696149,0.92115396,0.29814297,-0.32026008,0.8896666,1.9675784,0.06284093,0.016123118,1.3752079,4.4733973,0.009739076,0.42872724,1.4277748,2.0448613,-0.99133,0.22901288,3.0402374,-0.21289767,0.07340493,-2.3204153,-0.6101022,-2.4205263,1.9681973,0.15079342,0.89466184
-0.2438938,-0.14532866,0.033840843,-1.8632882,-0.0048387954,0.008695411,-0.44241926,-0.0031391145,-0.023680255,-0.9154731,-0.040641066,-0.30086422,-3.8672817,-0.02507734,0.57636875,-2.762656,-2.2429962,0.8931385,-0.43381003,5.0288324,-1.8335532,-0.27428272,-0.004813074,0.48837417,0.5231209,1.0297899
-1.2639066,-0.7413844,0.5237791,0.27952293,0.32005212,-1.0109447,3.8171878,0.025811518,0.009670898,1.2752193,6.1024346,0.11767915,0.72641844,-0.21705084,1.4823437,-1.0320418,0.89467466,2.8873065,-1.9913839,-1.6682993,-1.7303628,-6.837299e-05,-0.023302466,1.8392202,0.15954268,1.0296931
-1.7002593,-0.9321985,0.18672872,1.6012743,0.025506524,-0.037020832,0.44681236,0.014799539,-0.007971339,1.0208416,2.8167624,1.2322539,5.628861,-0.1744612,0.65294284,-2.871662,0.0878755,4.731089,-2.6441596,5.4574084,-1.8432668,-0.9383337,-0.5613964,2.533704,0.073531225,1.8311175
-6.3018556,-1.6777639,0.6382636,0.380064,0.06805948,-0.19150579,1.4645727,0.04831027,0.01546977,5.542349,6.5403447,5.2270565,0.678047,-0.19619489,2.9526193,-2.5208948,-1.0118955,6.785475,-3.5793347,3.1826456,-2.8961627,-1.3409408,-0.64021754,5.1614146,0.38023165,0.63004035
-1.5181675,1.2123371,0.18052763,0.09231458,0.064063795,-0.18088084,3.2693424,0.01085275,0.010572961,1.6759918,5.0284443,2.5181935,0.19485897,-0.83609253,1.7378845,-1.1479886,-0.6637939,5.706337,-4.548664,1.8301451,-1.8391939,-1.8542484,-3.1250126,2.190937,0.18353598,0.35153985
-0.68157315,0.29458162,0.11044282,0.5380472,0.06948062,-0.49667698,0.8724177,0.016271526,0.0011292093,0.20906208,2.873026,1.627987,0.6653471,-0.45309246,0.37085596,1.165718,1.9470114,1.7073941,1.3268682,-0.0703976,-0.14165874,0.057111427,0.010100675,2.248041,-0.22872144,0.21527308
-1.6341203,-1.8928367,0.41342515,0.4386973,0.07948832,-0.22331493,0.8576225,0.014873556,0.018294327,0.97898275,6.963772,1.6332674,0.815677,-0.38961342,2.597654,-2.6392891,-1.3872939,9.33111,-6.3982673,4.406928,-2.8623736,-2.5112498,-0.58749455,5.1989436,0.2296292,1.1573625
-0.09588302,-0.18820745,-0.06484906,-0.58728987,0.017328028,-0.04758102,-0.6655677,-0.0021878106,-0.0024818273,-2.3404658,1.0491433,-1.0457627,-0.48060545,0.00022695579,0.017058907,-1.8015511,-0.6580782,1.5368555,-1.0644902,2.5790715,0.96558714,-0.38160065,-0.21587178,0.6425989,0.6804094,4.691864
-6.139773,0.6712026,0.5882297,-0.6012321,0.051699452,-0.054977227,1.5633695,-0.07800247,-0.013486096,1.328484,4.9101458,2.0740588,-1.3083676,0.337907,-0.9595393,0.6221206,-0.01701786,0.4369525,2.3029492,-1.7639323,0.47337314,-0.2618976,0.19705574,0.1457732,-0.06492015,-0.7860683
-1.6590459,-0.30482367,0.14545426,-0.09179846,-0.22354628,-0.9814026,1.120074,0.11089874,0.0032788431,3.3576438,7.700215,1.8454872,0.09081765,0.8551592,0.4219648,-0.36226493,-0.1516082,1.0253757,-0.9228632,0.34282884,-1.0347825,-0.17282525,0.36781952,-0.7130755,0.044341695,-0.052478567
-0.8589855,-0.25582448,0.19115785,-0.18288092,0.006266746,-0.009596415,1.1270158,0.0016173763,0.020655429,-3.2785532,0.50822383,-4.9429035,-0.4932656,-0.032416597,0.35953602,-1.293601,-0.5326715,1.0144718,-0.8788757,1.7886465,-3.5601377,-0.37557602,-0.25861832,0.5891037,0.3441021,0.19844174
-2.5498362,-0.6334896,0.8336765,-1.4872227,0.08670781,-0.25555047,0.42028525,0.03504551,0.0059518777,3.4384098,4.814966,2.178344,0.18369593,-0.32710508,1.0093107,-0.35315832,-0.4949353,2.280798,-5.2849693,1.1684793,-1.7011718,-2.0992646,-0.9310343,1.6169136,-0.38635737,0.23939133
-0.14931071,-0.8209798,0.1507436,0.35681984,0.020233456,-0.012075585,0.27169988,-0.011230737,0.029844878,-0.034439858,1.1051389,-0.3362816,0.6876455,0.011563809,0.6841597,-1.4319077,-1.7323203,-0.0008347384,-5.590428,5.743596,-1.1856629,-4.8879137,-0.12770897,-0.15799785,0.48869145,2.345231
-0.2631124,-4.34411,0.2234312,0.2941149,0.008536287,-0.040924992,0.3569338,0.009016557,0.011424707,0.52788013,0.6486133,0.9796998,0.680263,-0.03704644,2.3165026,-1.7474259,-2.5469077,0.63680494,-1.1436336,4.2120285,-1.755641,-3.4276667,-0.14821827,-0.267321,1.2740198,0.46584505
-0.5369524,-0.90539664,0.22633716,0.21436319,0.0052355304,-0.024430223,0.27516603,0.014156673,0.022761751,0.119254135,0.81946033,0.1196046,0.24364291,-0.24955621,4.4066553,-1.0457517,0.112621866,1.1032593,-3.9949477,3.3832319,-1.4278455,-2.8832955,-0.07691671,0.80103254,0.39867422,1.588517
-0.1471022,1.5335256,-0.05802319,0.44697964,0.013229581,0.00064261473,-0.09516416,-0.041995462,0.01235767,-0.17185338,1.2570189,-0.565228,0.86017406,0.0860963,0.1408045,-1.6385388,-1.5965694,0.9513032,0.075819716,10.065987,-0.7035764,-2.740931,-0.20894116,0.27731127,0.36595333,3.6642299
-1.6734316,-0.6253852,0.36057514,0.6451648,0.05504541,-0.18978263,0.57530016,0.014333527,0.016271621,0.4911245,4.4638915,0.213775,1.1437002,-0.091793,-0.39684042,-2.9743843,-3.788326,2.6628666,-1.9820102,6.182134,-2.2686942,-0.6665747,-0.41457793,1.6619743,1.8344343,1.7359605
-1.2772313,-0.71228325,0.26590306,0.81813085,0.04605475,-0.10925962,0.43173218,0.012538614,0.012334738,0.50909054,3.6263707,0.18980579,2.177497,-0.113770686,0.33002073,-2.8749902,-3.8606277,2.9329634,-1.8500625,7.4831657,-2.2271295,-0.68787414,-0.3661562,1.6718422,0.51334965,6.2861886
-1.1901582,-0.658003,0.24575576,0.7470481,0.042804666,-0.13544695,0.50862795,0.010041695,0.014019876,0.2533429,4.871895,0.00042665203,2.0780244,-0.07936538,-0.008960277,-3.0338566,-2.0179439,2.901665,-1.7463813,10.202489,-2.3910232,-0.546083,-0.29336876,1.5905666,0.5531321,2.9011874
-1.2214357,-0.85494816,0.33393162,0.4006995,0.05164216,-0.12604645,0.56693286,0.01391893,0.012222574,0.6226687,3.2062945,0.29954794,0.14049254,-0.1450002,-0.4606115,-2.6154988,-6.8214426,3.540123,-2.3124979,4.997913,-1.8564407,-1.0537745,-0.47248387,2.0128393,1.1747448,4.760469
-1.2332684,-0.7122898,0.2753712,-1.4379407,0.033380017,-0.098714255,-0.7376108,0.011904611,0.013868851,-2.4450195,2.8958883,0.3509786,0.91149676,-0.1389947,1.6177508,-5.0389094,-4.3146925,3.2868567,-2.5675828,5.898852,-3.1858332,-1.0417149,-0.49648044,1.8497638,1.5196118,2.0090413
-1.6282132,-0.7112181,0.30192158,-0.24580364,0.053877994,-0.1082522,0.33381614,0.012482553,0.01453969,0.29115695,3.3938742,0.23078431,5.101857,-0.113874055,1.1798202,-4.4178057,-3.3407612,2.8330464,-1.9834818,7.2936273,-2.9608533,-0.9239835,-0.42291155,1.6054589,0.6393509,2.5886602
-1.1347998,-0.72871226,0.24391656,-3.1787143,0.03322673,-0.10062076,-0.2954224,0.010662326,0.0140991425,-4.7373505,2.8573787,0.12644386,-0.25791848,-0.14229132,1.5076544,-7.9641194,-4.550445,3.2528837,-3.2204275,5.2756124,-3.3608096,-1.267052,-0.57449585,1.9010938,2.7959719,0.58245885
-2.4443536,-0.43720073,0.5194044,2.464411,0.03790139,-0.09273576,0.46690068,0.027213626,0.012267522,1.055778,3.8924913,0.8083589,2.9460657,-0.08483576,1.604954,-3.7342005,-2.9061463,1.3751217,0.311125,7.125864,-3.4127057,0.11631895,0.26325175,0.6955653,0.41734368,3.1207216
-1.9211395,-0.6558417,0.16698895,0.59054244,0.03835564,-0.13611881,0.086547196,0.011099015,0.017693141,0.6917935,2.951201,-0.5310307,0.38315535,-0.08413054,0.76232255,-1.7019941,-2.43482,3.1451147,-2.702955,3.0298293,-3.7551677,-1.1524596,-0.46464506,1.8840661,-2.0068355,2.9981484
-1.6791198,-0.19518684,0.38391098,2.6873822,0.03588672,-0.08724802,0.6235917,0.02107812,0.012327669,1.786099,3.403101,0.79122025,6.5691376,-0.09329778,1.414886,-3.734357,-2.152704,0.67902046,-0.41984048,9.661308,-3.261408,0.23388778,-0.20919184,0.27172142,0.39265648,2.5982492
-2.0454502,-0.7562641,0.55993396,-0.85057265,0.048531488,-0.13665785,1.6175063,0.025719121,0.008405773,2.8538725,4.471526,1.6550914,0.18280227,-0.4533522,1.4768096,-1.0543087,-0.5711251,3.6360438,-9.421634,1.5848207,-1.7553257,-2.906644,-1.5013844,1.8792851,-0.19397509,0.24583443
-2.1094353,-0.3405393,0.5799194,0.5809973,0.019815385,0.25680178,0.043412242,0.014231184,-0.010969461,1.3146751,1.9799532,1.8826014,1.6624622,-0.13129382,-0.008912717,0.6471952,-0.6700685,-1.6821927,-0.15667881,1.269434,-0.29753807,1.0340898,0.8841346,0.76943505,0.15454814,-0.008904366
-2.0948968,-0.6300923,0.58329177,-2.1659586,0.03322994,-0.13692845,1.4508991,0.011856416,0.012978994,-1.4550115,3.6520483,-0.6952646,-3.5150375,0.4572755,1.45591,-1.2630807,-0.57669604,3.1996026,-1.6502582,2.4088635,-2.514977,-0.38359365,-0.4192676,1.0450275,0.22412929,0.60564786
1.719821,-0.6071393,-0.65857536,-0.33110672,0.037573956,-0.023795072,0.0010509773,-0.09981941,0.0050616637,4.886504,2.5799582,0.06536572,-0.2553054,0.22738731,0.40455475,1.4749018,0.03724004,-0.072528794,-0.9957078,-0.23753029,0.32061243,-2.0693765,-1.1674218,-0.14620394,-0.09251297,-0.15098271
-0.90578574,-0.81654465,0.31380975,-2.1343548,0.03379022,-0.090572864,0.5093569,0.016902247,0.008050323,3.0035071,1.856957,-0.23291245,-2.7217786,-1.249421,0.76574075,-0.9743742,-0.25548485,4.1561174,-2.3776457,-0.24577257,-1.0842032,-2.383837,-3.0739086,2.3598855,-0.012838997,-0.6144572
-0.6016349,-1.0446582,0.18549398,-0.16679995,0.040296014,-0.11266089,1.4707181,0.013938692,0.0075043086,1.1617935,2.7786233,-0.36573654,0.13412167,-0.15495744,1.2081872,-1.6679418,-8.121734,2.435785,-2.1987228,2.1293995,-1.6763806,-2.1460783,-0.46806133,1.2166522,0.264244,1.3484294
1.3808085,0.024235815,-0.79529864,-2.1275423,0.0040450366,-0.013215513,0.008846835,0.009614116,0.0046730647,-1.1677547,0.57623464,-0.33036286,-2.869944,-0.33549267,1.666428,1.0187718,-0.5182194,2.87613,-1.3527361,0.6727529,-1.618374,-0.24798499,0.2608646,1.7129238,-0.06648854,-2.1087248
