0,1,2,3,4,5,6,7,8,9,10,11,12,13
1.7215769,-0.6124103,-6.0996,0.5623806,0.05018094,7.856706,5.399155,-1.782992,-2.999057,1.0342561,-0.42445695,-1.7229962,-0.05654657,-1.6540464
2.6017056,0.29535437,-0.9058047,-4.4106617,-0.055734057,2.3422005,4.4351025,0.8602987,-0.33597663,-1.107708,6.0980496,-1.0711784,-1.9501655,0.30690905
-0.9203009,-1.4934683,-5.292322,0.6160474,-0.2347186,4.87821,5.0735073,-3.0453663,-1.1258405,0.87084615,0.6579748,-1.7362329,0.007961231,-2.5848644
3.489067,-2.4307675,0.25146687,-3.4417367,-0.592706,5.2020097,4.0892496,1.3245112,-0.41799578,-1.3702009,3.8330956,-1.4811124,-0.49945796,0.7062645
1.6360482,-0.16086096,-5.3511724,0.11363998,-0.14943174,2.6463497,1.396122,-6.6564984,0.39406732,0.20236444,0.22613262,-1.5619308,0.004808719,0.08396041
3.1481798,-3.258765,-1.28189,-5.2324915,0.79575235,2.5088172,4.3769026,0.8159127,-0.17702189,-1.7640749,4.2245593,2.4074793,-0.70473987,0.29050273
2.2841446,-2.0425048,-6.5840025,-1.5275215,-0.20401403,4.422301,6.403718,0.10034343,0.20756008,0.473967,5.1134777,-1.7751116,0.20244883,-2.461428
1.2327307,-2.7017784,-7.6704693,-4.6092544,0.04590147,3.6221712,7.7290154,2.7871137,-0.28566605,-4.7791867,4.8678575,-5.4772105,-0.0592194,1.067969
7.1376286,-3.461119,-1.9639065,-0.4961355,0.6437313,0.77890503,7.0552764,1.4676546,0.43574533,-1.9049929,5.3385644,-0.8362094,1.5679095,-1.0149214
4.1163297,1.4179262,3.2745051,-1.1348782,0.5263256,-0.04950398,4.8106585,-2.8203635,-1.2705002,-0.25321394,3.4732141,-1.0233101,0.6480351,-0.5023474
8.025275,-0.978592,-5.1188607,-2.0297713,-0.061362617,2.526311,12.018569,3.793164,-0.17099321,-0.9324145,5.306282,-2.594421,-0.22082764,-0.5887257
0.8987588,-0.6622382,-1.7269092,-2.5713463,-1.0484905,-1.0369711,5.2134175,-0.40843946,-0.27668804,3.6408002,0.5403507,-1.6308684,-0.08893313,-1.2029556
2.244687,-2.952067,5.4637012,-1.996243,-0.0112278145,-2.7515686,5.490691,-2.8713958,0.8825884,-3.252495,4.295991,-0.65874374,0.16217387,0.083810784
3.297851,-0.79001236,2.5530899,-0.7918753,-2.0096257,0.02626739,3.8035862,1.0182055,-0.19402921,-4.053616,6.4181395,-2.1980474,0.00797889,1.546103
0.8978948,-0.091685474,-7.4113955,-0.78609604,0.0018946183,0.4732915,-0.4337313,-0.20358366,0.105336286,3.3768687,0.13792217,0.06500121,-0.13774231,-3.2885623
5.7193313,-2.4261389,1.6791164,-4.2571473,-0.8468017,2.0004961,9.951674,1.0009545,-0.016154313,-2.1278622,2.8650148,-3.3541653,-0.19702466,0.18698578
-4.1657133,-0.09820061,-10.131768,1.2138783,0.02160073,-0.028913522,3.9722989,-0.31952208,-0.41053638,2.0362186,0.05483255,0.5055419,-0.06656574,-0.023065299
-2.202362,-0.736786,-7.0782127,-0.55460036,0.5762617,1.5608925,1.5910189,0.35662198,-0.4760473,-0.54936886,1.8484317,2.6711483,-0.04986886,3.3717337
-0.2750873,0.30251694,-7.824188,0.39012745,0.001690895,-1.6702262,4.2940836,1.5167351,-0.0053662453,0.5277147,-0.52520907,1.3123176,-0.12890296,4.326692
-4.577517,-1.4097766,-5.6682553,1.4651726,0.052152034,0.06766385,3.8436542,-0.8153998,0.27314502,1.1993424,-2.5012984,1.5659881,-0.07534906,-0.67381585
-0.8927278,-1.4816281,-5.2784867,2.2010503,-0.1477764,6.2392488,8.759676,5.5597854,-0.3508817,0.6908748,3.0067768,-1.1726726,-0.48709273,0.10274165
1.4951205,-0.8160469,-5.063823,-0.13558571,-0.059238862,7.593919,7.728489,3.2466335,-0.6783551,3.1950736,2.353013,-1.1226497,-0.3652166,-1.474717
0.61236125,-2.0341735,-5.6157594,1.8991715,-0.11319621,7.4173174,7.3007293,3.0166092,-1.0606639,0.4238368,1.1171175,-1.0774164,2.8662438,0.023472132
-0.18510844,-0.48260915,-5.1235304,2.1190715,-0.08287323,5.173806,9.838768,3.4832852,-1.1181549,4.3958297,1.2218002,-0.881079,1.3350341,0.53558695
0.36789092,2.134521,-5.101047,2.2113514,-0.0961988,3.1104121,8.210174,5.250981,2.5320837,-0.4458333,1.2146412,-0.97836,0.16992149,0.76958317
1.8947175,0.28910792,-5.3753214,0.34462494,-0.084090725,9.0899105,7.201903,5.768675,-0.88336426,-1.2509038,1.2376863,-1.001601,-0.039429568,-0.61103547
0.37223205,2.3962333,-5.560978,3.0387154,-0.081281,2.6869867,8.215166,7.9791994,-1.4905883,-0.4774598,1.0075922,-1.2824082,-0.07303437,-0.5630865
0.92056286,-1.0591776,-6.8536925,-1.6327726,-0.20015962,9.680995,4.59047,3.666103,-2.0330253,-0.4419409,2.391019,-2.5445125,-0.0044214237,-2.4566982
1.4868827,1.3575262,-5.665264,1.5623914,-0.07624718,4.1719923,8.394479,3.960273,-3.418852,-0.20553878,0.94137913,-1.1952305,-0.15453568,-1.9552895
1.4189005,-1.2358651,-6.972883,-0.99061644,-0.08095268,13.726849,5.6561303,3.286667,-1.0631375,-1.4585606,2.074656,-1.8465426,-0.013492805,0.030770171
5.187863,-2.599753,3.853243,-0.62888265,-0.18257664,2.5735927,12.292784,1.7251048,-0.022027304,-3.578166,3.2738006,-2.6813855,0.16863021,0.47287306
2.369219,2.3473997,3.4471197,0.87703407,0.5720022,1.7365369,0.86195177,-2.796208,-2.1195817,-0.71482295,2.848962,-1.9601952,1.0481181,2.9268706
0.17372687,-0.121203125,-3.8913057,-1.253183,1.7574958,1.1495626,4.9586496,0.64222884,-0.47257733,-1.355057,1.0821375,-8.515615,0.95446867,0.91851467
0.47934848,-3.4888535,-0.36456633,-2.531198,0.30533665,-2.5428712,-0.5079183,3.7848217,0.19339499,-2.9288857,2.0221202,-3.2739854,1.3641274,-1.0434854
5.026606,-1.4686574,0.20618834,-1.1509864,1.2628118,-1.1366794,4.284181,1.1434447,0.0916421,-0.92992705,0.5446012,-7.7183075,0.34861824,-2.698505
0.6753849,-1.3575675,-6.7364764,-0.33490792,0.7440038,4.5574574,3.3847106,-2.345592,1.3557434,-4.3306613,3.2394445,-1.2903494,-0.012330221,-0.019010693
1.7401557,3.276371,0.12407924,3.9121687,0.04045923,-1.2158545,6.050917,2.0214622,-0.08810076,0.24260075,-0.6140069,-2.6050894,-0.051197655,-0.8725305
0.5963129,-2.6000333,0.41130883,3.3594003,0.53637224,-0.7816709,1.4920983,2.4745815,0.61219984,1.5230454,-3.4441319,-3.3601618,-0.33516592,0.004922287
1.4383944,6.0554295,0.05874914,0.97832215,0.0042848787,-0.8400288,5.998861,0.7046484,0.054000482,2.166555,-1.4855531,-1.7102796,-0.28078145,-0.34477016
1.3428606,0.23556414,-7.7218018,-3.2566211,-0.0004856292,2.0513399,1.8469234,2.0873613,0.041517213,-3.9406812,-1.5491207,-0.7596975,-0.2993831,-0.013945544
1.7296964,-3.3131893,-5.0401073,-2.1322281,0.13053127,-0.107198216,1.9817083,4.434312,0.02638608,2.8169246,3.8579302,-0.33981502,-0.06714119,0.26592538
5.0899425,0.8087342,-10.51315,2.7673745,-0.028872665,0.4081388,4.400509,1.553816,0.59181,1.2632918,0.008737738,-2.3338647,-0.094917096,-0.79556525
7.1062975,-5.5282702,4.5494704,-1.1962372,-0.4314624,-3.0248728,1.6316221,-2.16237,0.2245654,-2.2124732,2.3229024,-1.0499998,-0.39242244,-1.0438561
2.5493615,-3.4749029,-5.1733203,-7.845586,-0.25340042,2.0365436,8.538285,2.6653569,-0.16846833,-5.713595,5.632652,-3.1720135,-0.10435224,0.54433686
2.5770607,-2.1456263,-0.010702889,-3.0778182,-0.34234452,-0.79013973,12.164314,0.24309622,0.3807155,-7.43209,3.217145,-1.8448373,0.017379884,0.29789177
7.4687033,-3.4518776,-7.987796,-2.7348096,-0.08093703,1.7271413,10.752375,2.791804,-0.15322599,-4.2563057,7.5558014,-2.7085352,-0.13395123,0.64801586
1.6105331,-0.6567797,-12.072364,2.395059,-0.14598961,2.8971763,10.31939,5.628298,0.39894003,0.06291044,1.2193269,-1.5491803,-0.058329552,3.411712
4.8613315,-5.623196,-4.010871,-1.071393,-0.12395961,0.81786954,12.6737,1.6224767,-0.05838915,-5.963669,6.7877755,-1.7357627,-0.23829281,0.6670861
4.3345423,-1.8122457,-6.8880134,-0.81631315,-0.21069223,1.3369495,14.885326,7.0007176,-0.5029089,-0.9522581,1.2433462,-3.6425052,-0.03880246,0.077534415
-1.9359698,0.5515072,1.6184782,-0.114706986,0.030331742,-2.1860669,6.2738237,-0.5055219,4.124659,-0.22259279,2.0042331,-0.431719,-0.10004654,0.4003056
-0.37461042,5.1761847,-4.575213,-0.95854175,-0.16136546,4.3623786,1.8425077,1.7225944,-0.39248127,-1.4588189,-3.2429996,0.4391038,-0.0092692105,0.05579175
4.652142,-2.782549,-6.0210695,-0.39122277,-0.3192089,2.664861,11.483191,4.475723,-0.086399876,0.54216605,4.0381002,-6.371879,-0.113912314,-0.15227695
2.7028925,-1.0297842,-6.8083572,-1.1991899,-0.26660404,2.6756063,14.379756,1.9860625,0.018058648,-2.550203,2.1127152,-5.701763,-0.0034780167,0.9886717
7.7869453,-1.2825046,-5.6373286,-0.1739053,-0.30422857,1.5092736,14.130842,1.6342653,-0.022275396,-1.9904178,4.3144026,-6.9519105,-0.14252234,1.0878669
7.8939085,-3.0272872,-0.97428006,-2.236576,-0.9772602,0.5426737,15.333881,0.81382334,0.0025113947,-2.9627042,4.882997,-3.537821,-0.13187318,0.94651765
7.5400553,-2.255859,-3.8389764,-2.0336087,-0.13985518,0.394084,2.1064,-0.57489216,-0.18197614,-6.800129,-0.07772206,-1.2297887,-0.30327216,0.301687
2.2926266,-2.4421659,-0.12276399,-1.4659747,0.10955951,-0.03483348,16.11827,1.3708014,-0.024811488,-3.0616853,5.6474137,-2.0650928,-0.116287835,-0.07059264
1.227668,-2.5950985,-5.8004665,2.5646393,0.25108573,0.2318384,4.9457016,2.242493,-0.093574375,3.5097108,3.710551,-3.3592806,0.011525699,-0.18555532
-2.3468251,-0.051116582,-6.594951,0.63503706,0.061735958,-0.3498398,4.672672,0.26335824,-0.50259966,0.25306675,-1.3762051,1.1465561,-2.769595,-0.8239316
2.0508668,-0.7554416,-2.8835304,-0.3965244,-0.008941204,1.5083606,11.15796,1.3424323,-0.24065909,-0.0120941335,2.0442097,-2.2403638,0.018246364,5.817043
2.1123323,1.5425943,-5.8763666,1.4361573,-0.1760654,2.223875,11.851821,1.4148971,-0.3115916,1.8710608,-1.0124886,-4.3579264,-0.37812912,1.1784712
2.2460372,-0.96420467,-4.0961833,1.0688603,-0.8682921,-0.24471703,9.98938,3.002333,1.9581305,-0.97453153,3.5962243,-3.248213,-0.60479385,2.6909227
2.0115747,0.60769093,-5.1703963,0.24391682,0.20909612,0.9980314,13.895027,3.062614,-0.02174074,1.5944209,2.133974,-1.15377,-0.0048893834,1.2372227
3.667325,0.18274443,-4.6998124,-0.0688768,-0.6476504,0.4129593,11.205822,1.0938903,0.29726124,-2.500832,-0.533566,-2.364785,-0.12710872,2.442497
3.7345188,-0.14258316,-3.4482408,0.031638894,-0.19618587,1.9841163,11.10532,5.204113,-0.07846597,0.8981091,-0.9955809,-2.9427967,0.03225811,0.42857638
1.5893577,1.8517936,-4.6825147,1.1022062,-0.11067362,1.2829032,13.683419,3.69514,-0.14217569,-0.11322201,-3.4564033,-2.3694072,0.03730017,0.31951934
2.4645402,-4.801117,-0.18725748,0.27284268,-0.2760024,-0.08839633,-0.2653962,1.150361,-2.0800483,0.9677029,2.4058697,0.9554927,-2.8098404,-1.1974443
1.025388,-4.339144,-0.28935486,-0.21682093,-0.4007032,-1.3352184,-0.53874093,-0.73605067,0.06936105,1.8894708,4.97378,2.5331492,0.63720065,-0.6766225
1.5013598,-4.34776,-3.7321937,0.4761223,-0.010786714,-0.10652275,8.01873,0.2890621,-0.00273047,-7.006443,4.0574684,-1.1866422,0.14315064,0.1326239
-0.8050275,-0.3565614,-5.9555454,-0.37299475,-0.03821362,2.416122,6.304578,3.9018462,0.54262745,-0.93071234,-3.7925992,-1.2908015,-0.20290346,4.7607574
0.0026607614,-0.24380186,-4.637466,-1.7793517,-0.04223556,6.3901887,6.925118,-0.96576154,-0.14087042,-1.1940056,-3.6036615,-0.28519267,0.14725737,0.9373036
0.22134462,-0.63043207,-7.2325974,-1.7374665,0.7910263,-1.7398473,6.6759033,5.0784435,1.0619674,-2.8785284,0.4300974,2.0585415,0.011939984,0.42897725
2.2418108,3.6452308,2.8287237,-0.16922326,-1.3959908,-2.8873093,-0.43446532,-1.2845237,0.25084934,-0.38244003,-2.198179,-3.116416,-1.191392,0.25428867
-2.8439422,1.2981669,-0.04861548,0.65639025,0.752399,1.2069368,-14.039529,-1.7720553,0.23467186,-0.28052434,-3.663305,5.440116,0.0827315,-0.54401064
-4.0121512,1.9344163,0.85537624,0.74328697,0.1354119,-0.11505447,-15.956036,0.36104295,0.112337954,0.6584227,-2.263818,2.4315917,0.0055321017,-0.34868005
0.06783705,1.0477035,-0.39342725,-2.2268908,0.22550288,2.589048,0.39520866,1.2752934,0.97543186,-3.2155423,-0.053659063,-0.06354089,0.0013437384,5.8834004
-1.0673018,0.8377271,-2.8488219,-2.6482084,0.085050754,1.7146703,7.599376,2.1158235,0.5679292,-7.9278283,1.5479252,0.84681404,-0.120864846,0.70032763
-1.5237477,-1.1250019,-6.1989794,-3.046458,-0.0931176,3.1124668,7.971702,5.984817,-1.153762,-0.18431102,-1.4122611,-1.1911374,-0.0043723867,0.7426302
-2.7302217,0.70287675,-2.452926,2.9222958,0.12258838,1.2161175,-8.613016,0.33210665,0.07030847,-2.592636,-1.4511118,1.1315607,-0.5464093,0.067632616
4.502153,-1.0004363,-9.0716915,-1.3667117,-0.12307056,2.5782096,8.67955,2.7895925,2.962361,-2.265695,2.6807156,-3.96517,-0.08030771,-0.040688746
5.898191,-1.4123195,-7.1941004,-1.0431544,-0.33270526,1.9597605,18.256762,4.799906,0.3110904,-1.4872423,2.6811059,-7.045903,-0.06943663,0.99729365
4.272832,-2.8987808,-4.9500995,-0.7495697,-0.09937046,6.69908,12.374798,2.3499792,-0.38659996,-2.656754,3.5983872,-1.8233722,-0.1802693,1.2451203
2.9950733,-1.2131577,-5.6475396,-1.0192676,-0.36639115,4.492859,9.53026,3.644574,0.5554854,-3.4264655,3.1099925,-2.5978725,0.0525681,-2.20484
5.0515585,-1.1379523,-6.2292333,-0.9967968,-0.18579186,5.4785132,9.302874,0.1774528,0.70318204,-1.5736078,1.4220421,-4.5352373,-0.00020559171,0.29071063
6.0127964,-1.3181745,-7.856168,-1.4606583,-0.09238418,6.413965,8.4549265,4.2432623,0.62683725,-0.8296973,3.6784945,-2.522705,0.010123056,0.47993618
0.8609633,1.5119414,-7.0265822,1.7409965,-0.041313477,5.1751413,3.3707,3.2642877,-0.3135189,7.298804,0.05588662,-1.2987043,0.06545006,1.2623945
0.41907004,2.7083395,-0.9758364,1.8613614,-0.23332997,-4.969462,2.979018,1.9114621,0.88276964,3.3520796,-1.3611416,-0.98692626,-0.8232018,-0.3470223
3.4143856,0.018729681,4.1561832,0.07895945,0.5901973,4.7510443,0.38611344,-0.11028439,0.35517493,0.506899,-0.17565762,0.15632264,-0.7746102,-1.728337
-1.3225206,2.455544,-2.3727825,0.6378709,-0.03139178,6.7010784,0.51078075,0.5060348,0.42080152,1.1331018,-5.1347566,-0.51569575,-0.09252294,3.3544836
2.293969,-1.1742582,0.21064137,0.4299403,0.057430986,0.49862364,5.0868034,-0.777514,1.054194,2.1373248,9.017783,-1.871451,0.38847342,0.083768934
3.1851945,0.63965815,-2.205693,0.004621205,-0.015185297,3.4633386,0.32848474,0.48251697,-0.23167108,0.12557036,-5.562832,0.15560204,-0.45815054,-0.9822581
